,City,status,Number,rpt_date
128,Boise City,Recovered*,229,12/7/2021
129,Bokchito,Active,1 to 4,12/7/2021
130,Bokchito,Deceased,1 to 4,12/7/2021
131,Bokchito,Recovered*,392,12/7/2021
132,Bokoshe,Active,12,12/7/2021
133,Bokoshe,Deceased,5,12/7/2021
134,Bokoshe,Recovered*,324,12/7/2021
135,Boley,Deceased,11,12/7/2021
136,Boley,Recovered*,565,12/7/2021
137,Boswell,Active,1 to 4,12/7/2021
138,Boswell,Deceased,5,12/7/2021
139,Boswell,Recovered*,426,12/7/2021
140,Bowlegs,Deceased,1 to 4,12/7/2021
141,Bowlegs,Recovered*,24,12/7/2021
142,Boynton,Active,1 to 4,12/7/2021
143,Boynton,Deceased,1 to 4,12/7/2021
144,Boynton,Recovered*,102,12/7/2021
145,Bradley,Active,1 to 4,12/7/2021
146,Bradley,Deceased,1 to 4,12/7/2021
147,Bradley,Recovered*,46,12/7/2021
148,Braggs,Active,1 to 4,12/7/2021
149,Braggs,Deceased,1 to 4,12/7/2021
150,Braggs,Recovered*,183,12/7/2021
151,Braman,Deceased,1 to 4,12/7/2021
152,Braman,Recovered*,50,12/7/2021
153,Bray,Recovered*,1 to 4,12/7/2021
154,Bridge Creek,Recovered*,1 to 4,12/7/2021
155,Bridgeport,Recovered*,1 to 4,12/7/2021
156,Bristow,Active,20,12/7/2021
157,Bristow,Deceased,49,12/7/2021
158,Bristow,Recovered*,1510,12/7/2021
159,Broken Arrow,Active,535,12/7/2021
160,Broken Arrow,Deceased,347,12/7/2021
161,Broken Arrow,Recovered*,24081,12/7/2021
162,Broken Bow,Active,1 to 4,12/7/2021
163,Broken Bow,Deceased,57,12/7/2021
164,Broken Bow,Recovered*,1988,12/7/2021
165,Bromide,Deceased,1 to 4,12/7/2021
166,Bromide,Recovered*,39,12/7/2021
167,Buffalo,Active,5,12/7/2021
168,Buffalo,Deceased,7,12/7/2021
169,Buffalo,Recovered*,200,12/7/2021
170,Burbank,Active,1 to 4,12/7/2021
171,Burbank,Recovered*,65,12/7/2021
172,Burlington,Recovered*,47,12/7/2021
173,Burns Flat,Active,9,12/7/2021
174,Burns Flat,Deceased,1 to 4,12/7/2021
175,Burns Flat,Recovered*,208,12/7/2021
176,Butler,Active,1 to 4,12/7/2021
177,Butler,Recovered*,54,12/7/2021
178,Byars,Deceased,1 to 4,12/7/2021
179,Byars,Recovered*,146,12/7/2021
180,Byng,Recovered*,1 to 4,12/7/2021
181,Byron,Recovered*,5,12/7/2021
182,Cache,Active,17,12/7/2021
183,Cache,Deceased,14,12/7/2021
184,Cache,Recovered*,992,12/7/2021
185,Caddo,Active,1 to 4,12/7/2021
186,Caddo,Deceased,5,12/7/2021
187,Caddo,Recovered*,479,12/7/2021
188,Calera,Active,10,12/7/2021
189,Calera,Deceased,16,12/7/2021
190,Calera,Recovered*,1120,12/7/2021
191,Calumet,Active,7,12/7/2021
192,Calumet,Deceased,1 to 4,12/7/2021
193,Calumet,Recovered*,196,12/7/2021
194,Calvin,Active,1 to 4,12/7/2021
195,Calvin,Deceased,1 to 4,12/7/2021
196,Calvin,Recovered*,101,12/7/2021
197,Camargo,Recovered*,34,12/7/2021
198,Cameron,Active,9,12/7/2021
199,Cameron,Deceased,1 to 4,12/7/2021
200,Cameron,Recovered*,378,12/7/2021
201,Canadian,Active,1 to 4,12/7/2021
202,Canadian,Deceased,1 to 4,12/7/2021
203,Canadian,Recovered*,132,12/7/2021
204,Caney,Deceased,1 to 4,12/7/2021
205,Caney,Recovered*,159,12/7/2021
206,Canton,Active,7,12/7/2021
207,Canton,Deceased,1 to 4,12/7/2021
208,Canton,Recovered*,212,12/7/2021
209,Canute,Active,1 to 4,12/7/2021
210,Canute,Deceased,1 to 4,12/7/2021
211,Canute,Recovered*,186,12/7/2021
212,Carlton Landing,Recovered*,1 to 4,12/7/2021
213,Carmen,Active,1 to 4,12/7/2021
214,Carmen,Deceased,1 to 4,12/7/2021
215,Carmen,Recovered*,55,12/7/2021
216,Carnegie,Active,1 to 4,12/7/2021
217,Carnegie,Deceased,30,12/7/2021
218,Carnegie,Recovered*,569,12/7/2021
219,Carney,Active,1 to 4,12/7/2021
220,Carney,Deceased,1 to 4,12/7/2021
221,Carney,Recovered*,133,12/7/2021
222,Carrier,Recovered*,37,12/7/2021
223,Carter,Active,6,12/7/2021
224,Carter,Deceased,1 to 4,12/7/2021
225,Carter,Recovered*,69,12/7/2021
226,Cashion,Active,5,12/7/2021
227,Cashion,Deceased,1 to 4,12/7/2021
228,Cashion,Recovered*,331,12/7/2021
229,Castle,Active,1 to 4,12/7/2021
230,Castle,Deceased,1 to 4,12/7/2021
231,Castle,Recovered*,84,12/7/2021
232,Catoosa,Active,45,12/7/2021
233,Catoosa,Deceased,25,12/7/2021
234,Catoosa,Recovered*,1258,12/7/2021
235,Cement,Active,9,12/7/2021
236,Cement,Deceased,1 to 4,12/7/2021
237,Cement,Recovered*,321,12/7/2021
238,Centrahoma,Deceased,1 to 4,12/7/2021
239,Centrahoma,Recovered*,47,12/7/2021
240,Chandler,Active,27,12/7/2021
241,Chandler,Deceased,27,12/7/2021
242,Chandler,Recovered*,1049,12/7/2021
243,Chattanooga,Deceased,1 to 4,12/7/2021
244,Chattanooga,Recovered*,151,12/7/2021
245,Checotah,Active,6,12/7/2021
246,Checotah,Deceased,44,12/7/2021
247,Checotah,Recovered*,1332,12/7/2021
248,Chelsea,Active,23,12/7/2021
249,Chelsea,Deceased,22,12/7/2021
250,Chelsea,Recovered*,1048,12/7/2021
251,Cherokee,Active,12,12/7/2021
252,Cherokee,Deceased,1 to 4,12/7/2021
253,Cherokee,Recovered*,309,12/7/2021
254,Cheyenne,Active,20,12/7/2021
255,Cheyenne,Deceased,1 to 4,12/7/2021
256,Cheyenne,Recovered*,277,12/7/2021
257,Chickasha,Active,110,12/7/2021
258,Chickasha,Deceased,110,12/7/2021
259,Chickasha,Recovered*,3403,12/7/2021
260,Choctaw,Active,65,12/7/2021
261,Choctaw,Deceased,62,12/7/2021
262,Choctaw,Recovered*,3474,12/7/2021
263,Chouteau,Active,8,12/7/2021
264,Chouteau,Deceased,30,12/7/2021
265,Chouteau,Recovered*,793,12/7/2021
266,Claremore,Active,183,12/7/2021
267,Claremore,Deceased,186,12/7/2021
268,Claremore,Recovered*,9067,12/7/2021
269,Clayton,Active,1 to 4,12/7/2021
270,Clayton,Deceased,6,12/7/2021
271,Clayton,Recovered*,275,12/7/2021
272,Clearview,Recovered*,1 to 4,12/7/2021
273,Cleo Springs,Active,1 to 4,12/7/2021
274,Cleo Springs,Deceased,1 to 4,12/7/2021
275,Cleo Springs,Recovered*,97,12/7/2021
276,Cleveland,Active,19,12/7/2021
277,Cleveland,Deceased,26,12/7/2021
278,Cleveland,Recovered*,1226,12/7/2021
279,Clinton,Active,64,12/7/2021
280,Clinton,Deceased,78,12/7/2021
281,Clinton,Recovered*,2133,12/7/2021
282,Coalgate,Active,5,12/7/2021
283,Coalgate,Deceased,17,12/7/2021
284,Coalgate,Recovered*,792,12/7/2021
285,Colbert,Active,6,12/7/2021
