,zip,status,Number,rpt_date
0,,Active,425,12/7/2021
1,,Deceased,150,12/7/2021
2,,Recovered*,9134,12/7/2021
3,73002,Active,6,12/7/2021
4,73002,Deceased,5,12/7/2021
5,73002,Recovered*,176,12/7/2021
6,73003,Active,69,12/7/2021
7,73003,Deceased,38,12/7/2021
8,73003,Recovered*,3061,12/7/2021
9,73004,Active,9,12/7/2021
10,73004,Deceased,7,12/7/2021
11,73004,Recovered*,136,12/7/2021
12,73005,Active,50,12/7/2021
13,73005,Deceased,46,12/7/2021
14,73005,Recovered*,1774,12/7/2021
15,73006,Active,10,12/7/2021
16,73006,Deceased,11,12/7/2021
17,73006,Recovered*,684,12/7/2021
18,73007,Active,17,12/7/2021
19,73007,Deceased,1 to 4,12/7/2021
20,73007,Recovered*,440,12/7/2021
21,73008,Active,59,12/7/2021
22,73008,Deceased,57,12/7/2021
23,73008,Recovered*,2941,12/7/2021
24,73009,Active,1 to 4,12/7/2021
25,73009,Deceased,14,12/7/2021
26,73009,Recovered*,265,12/7/2021
27,73010,Active,48,12/7/2021
28,73010,Deceased,50,12/7/2021
29,73010,Recovered*,3449,12/7/2021
30,73011,Active,1 to 4,12/7/2021
31,73011,Deceased,1 to 4,12/7/2021
32,73011,Recovered*,49,12/7/2021
33,73012,Active,110,12/7/2021
34,73012,Deceased,55,12/7/2021
35,73012,Recovered*,5453,12/7/2021
36,73013,Active,156,12/7/2021
37,73013,Deceased,99,12/7/2021
38,73013,Recovered*,7715,12/7/2021
39,73014,Active,7,12/7/2021
40,73014,Deceased,1 to 4,12/7/2021
41,73014,Recovered*,203,12/7/2021
42,73015,Active,1 to 4,12/7/2021
43,73015,Deceased,30,12/7/2021
44,73015,Recovered*,566,12/7/2021
45,73016,Active,6,12/7/2021
46,73016,Deceased,1 to 4,12/7/2021
47,73016,Recovered*,344,12/7/2021
48,73017,Active,8,12/7/2021
49,73017,Deceased,1 to 4,12/7/2021
50,73017,Recovered*,327,12/7/2021
51,73018,Active,100,12/7/2021
52,73018,Deceased,105,12/7/2021
53,73018,Recovered*,3272,12/7/2021
54,73019,Recovered*,52,12/7/2021
55,73020,Active,64,12/7/2021
56,73020,Deceased,62,12/7/2021
57,73020,Recovered*,3469,12/7/2021
58,73021,Deceased,1 to 4,12/7/2021
59,73021,Recovered*,58,12/7/2021
60,73024,Active,1 to 4,12/7/2021
61,73024,Deceased,5,12/7/2021
62,73024,Recovered*,90,12/7/2021
63,73025,Active,42,12/7/2021
64,73025,Deceased,18,12/7/2021
65,73025,Recovered*,2225,12/7/2021
66,73026,Active,24,12/7/2021
67,73026,Deceased,19,12/7/2021
68,73026,Recovered*,1657,12/7/2021
69,73027,Active,7,12/7/2021
70,73027,Recovered*,129,12/7/2021
71,73028,Active,10,12/7/2021
72,73028,Deceased,6,12/7/2021
73,73028,Recovered*,406,12/7/2021
74,73029,Active,5,12/7/2021
75,73029,Deceased,1 to 4,12/7/2021
76,73029,Recovered*,275,12/7/2021
77,73030,Active,6,12/7/2021
78,73030,Deceased,19,12/7/2021
79,73030,Recovered*,961,12/7/2021
80,73032,Active,1 to 4,12/7/2021
81,73032,Recovered*,37,12/7/2021
82,73033,Active,1 to 4,12/7/2021
83,73033,Deceased,1 to 4,12/7/2021
84,73033,Recovered*,62,12/7/2021
85,73034,Active,171,12/7/2021
86,73034,Deceased,73,12/7/2021
87,73034,Recovered*,6469,12/7/2021
88,73036,Active,24,12/7/2021
89,73036,Deceased,61,12/7/2021
90,73036,Recovered*,3205,12/7/2021
91,73038,Active,1 to 4,12/7/2021
92,73038,Deceased,5,12/7/2021
93,73038,Recovered*,299,12/7/2021
94,73040,Active,7,12/7/2021
95,73040,Deceased,9,12/7/2021
96,73040,Recovered*,262,12/7/2021
97,73041,Active,1 to 4,12/7/2021
98,73041,Deceased,1 to 4,12/7/2021
99,73041,Recovered*,44,12/7/2021
100,73042,Active,5,12/7/2021
101,73042,Deceased,6,12/7/2021
102,73042,Recovered*,198,12/7/2021
103,73043,Deceased,1 to 4,12/7/2021
104,73043,Recovered*,23,12/7/2021
105,73044,Active,73,12/7/2021
106,73044,Deceased,91,12/7/2021
107,73044,Recovered*,3750,12/7/2021
108,73045,Active,19,12/7/2021
109,73045,Deceased,36,12/7/2021
110,73045,Recovered*,1961,12/7/2021
111,73047,Active,18,12/7/2021
