,City,status,Number,rpt_date
0,,Active,557,08/10/2022
1,,Deceased,243,08/10/2022
2,,Recovered*,34209,08/10/2022
3,Achille,Active,1 to 4,08/10/2022
4,Achille,Deceased,1 to 4,08/10/2022
5,Achille,Recovered*,121,08/10/2022
6,Ada,Active,301,08/10/2022
7,Ada,Deceased,127,08/10/2022
8,Ada,Recovered*,11008,08/10/2022
9,Adair,Active,8,08/10/2022
10,Adair,Deceased,5,08/10/2022
11,Adair,Recovered*,784,08/10/2022
12,Addington,Deceased,1 to 4,08/10/2022
13,Addington,Recovered*,15,08/10/2022
14,Afton,Active,35,08/10/2022
15,Afton,Deceased,16,08/10/2022
16,Afton,Recovered*,1528,08/10/2022
17,Agra,Active,1 to 4,08/10/2022
18,Agra,Deceased,1 to 4,08/10/2022
19,Agra,Recovered*,250,08/10/2022
20,Albion,Active,1 to 4,08/10/2022
21,Albion,Recovered*,36,08/10/2022
22,Alderson,Active,1 to 4,08/10/2022
23,Alderson,Deceased,1 to 4,08/10/2022
24,Alderson,Recovered*,105,08/10/2022
25,Alex,Active,1 to 4,08/10/2022
26,Alex,Deceased,8,08/10/2022
27,Alex,Recovered*,283,08/10/2022
28,Aline,Active,1 to 4,08/10/2022
29,Aline,Deceased,1 to 4,08/10/2022
30,Aline,Recovered*,122,08/10/2022
31,Allen,Active,1 to 4,08/10/2022
32,Allen,Deceased,6,08/10/2022
33,Allen,Recovered*,622,08/10/2022
34,Altus,Active,103,08/10/2022
35,Altus,Deceased,92,08/10/2022
36,Altus,Recovered*,5697,08/10/2022
37,Alva,Active,22,08/10/2022
38,Alva,Deceased,33,08/10/2022
39,Alva,Recovered*,1969,08/10/2022
40,Amber,Active,1 to 4,08/10/2022
41,Amber,Deceased,8,08/10/2022
42,Amber,Recovered*,246,08/10/2022
43,Ames,Active,1 to 4,08/10/2022
44,Ames,Recovered*,126,08/10/2022
45,Amorita,Recovered*,31,08/10/2022
46,Anadarko,Active,63,08/10/2022
47,Anadarko,Deceased,61,08/10/2022
