,zip,status,Number,rpt_date
0,,Active,189,08/10/2022
1,,Deceased,185,08/10/2022
2,,Recovered*,13201,08/10/2022
3,73002.0,Active,1 to 4,08/10/2022
4,73002.0,Deceased,8,08/10/2022
5,73002.0,Recovered*,285,08/10/2022
6,73003.0,Active,98,08/10/2022
7,73003.0,Deceased,53,08/10/2022
8,73003.0,Recovered*,6025,08/10/2022
9,73004.0,Active,1 to 4,08/10/2022
10,73004.0,Deceased,8,08/10/2022
11,73004.0,Recovered*,255,08/10/2022
12,73005.0,Active,64,08/10/2022
13,73005.0,Deceased,60,08/10/2022
14,73005.0,Recovered*,3229,08/10/2022
15,73006.0,Active,12,08/10/2022
16,73006.0,Deceased,12,08/10/2022
17,73006.0,Recovered*,1101,08/10/2022
18,73007.0,Active,7,08/10/2022
19,73007.0,Deceased,1 to 4,08/10/2022
20,73007.0,Recovered*,870,08/10/2022
21,73008.0,Active,105,08/10/2022
22,73008.0,Deceased,68,08/10/2022
23,73008.0,Recovered*,5126,08/10/2022
24,73009.0,Active,6,08/10/2022
25,73009.0,Deceased,16,08/10/2022
26,73009.0,Recovered*,411,08/10/2022
27,73010.0,Active,112,08/10/2022
28,73010.0,Deceased,68,08/10/2022
29,73010.0,Recovered*,5940,08/10/2022
30,73011.0,Deceased,1 to 4,08/10/2022
31,73011.0,Recovered*,94,08/10/2022
32,73012.0,Active,186,08/10/2022
33,73012.0,Deceased,65,08/10/2022
34,73012.0,Recovered*,11002,08/10/2022
35,73013.0,Active,262,08/10/2022
36,73013.0,Deceased,131,08/10/2022
37,73013.0,Recovered*,15323,08/10/2022
38,73014.0,Active,1 to 4,08/10/2022
39,73014.0,Deceased,5,08/10/2022
40,73014.0,Recovered*,386,08/10/2022
41,73015.0,Active,16,08/10/2022
42,73015.0,Deceased,36,08/10/2022
43,73015.0,Recovered*,948,08/10/2022
44,73016.0,Active,5,08/10/2022
45,73016.0,Deceased,5,08/10/2022
46,73016.0,Recovered*,550,08/10/2022
47,73017.0,Active,1 to 4,08/10/2022
48,73017.0,Deceased,1 to 4,08/10/2022
49,73017.0,Recovered*,489,08/10/2022
50,73018.0,Active,151,08/10/2022
51,73018.0,Deceased,122,08/10/2022
52,73018.0,Recovered*,5333,08/10/2022
53,73019.0,Active,1 to 4,08/10/2022
54,73019.0,Recovered*,77,08/10/2022
55,73020.0,Active,119,08/10/2022
56,73020.0,Deceased,79,08/10/2022
57,73020.0,Recovered*,6095,08/10/2022
58,73021.0,Active,1 to 4,08/10/2022
59,73021.0,Deceased,1 to 4,08/10/2022
60,73021.0,Recovered*,84,08/10/2022
61,73024.0,Active,1 to 4,08/10/2022
62,73024.0,Deceased,9,08/10/2022
63,73024.0,Recovered*,156,08/10/2022
64,73025.0,Active,52,08/10/2022
65,73025.0,Deceased,27,08/10/2022
66,73025.0,Recovered*,4009,08/10/2022
67,73026.0,Active,54,08/10/2022
68,73026.0,Deceased,29,08/10/2022
69,73026.0,Recovered*,3175,08/10/2022
70,73027.0,Active,1 to 4,08/10/2022
71,73027.0,Deceased,1 to 4,08/10/2022
72,73027.0,Recovered*,230,08/10/2022
73,73028.0,Active,19,08/10/2022
74,73028.0,Deceased,11,08/10/2022
75,73028.0,Recovered*,728,08/10/2022
76,73029.0,Active,5,08/10/2022
77,73029.0,Deceased,6,08/10/2022
78,73029.0,Recovered*,451,08/10/2022
79,73030.0,Active,24,08/10/2022
80,73030.0,Deceased,23,08/10/2022
81,73030.0,Recovered*,1580,08/10/2022
82,73032.0,Active,1 to 4,08/10/2022
83,73032.0,Deceased,1 to 4,08/10/2022
84,73032.0,Recovered*,61,08/10/2022
85,73033.0,Active,1 to 4,08/10/2022
86,73033.0,Deceased,1 to 4,08/10/2022
87,73033.0,Recovered*,102,08/10/2022
88,73034.0,Active,200,08/10/2022
89,73034.0,Deceased,95,08/10/2022
90,73034.0,Recovered*,12284,08/10/2022
91,73036.0,Active,56,08/10/2022
92,73036.0,Deceased,77,08/10/2022
93,73036.0,Recovered*,5468,08/10/2022
94,73038.0,Active,5,08/10/2022
95,73038.0,Deceased,8,08/10/2022
96,73038.0,Recovered*,519,08/10/2022
97,73040.0,Active,8,08/10/2022
98,73040.0,Deceased,10,08/10/2022
99,73040.0,Recovered*,416,08/10/2022
100,73041.0,Active,1 to 4,08/10/2022
101,73041.0,Deceased,1 to 4,08/10/2022
102,73041.0,Recovered*,73,08/10/2022
103,73042.0,Active,1 to 4,08/10/2022
104,73042.0,Deceased,7,08/10/2022
105,73042.0,Recovered*,299,08/10/2022
106,73043.0,Active,1 to 4,08/10/2022
107,73043.0,Deceased,1 to 4,08/10/2022
108,73043.0,Recovered*,38,08/10/2022
109,73044.0,Active,122,08/10/2022
110,73044.0,Deceased,110,08/10/2022
111,73044.0,Recovered*,6408,08/10/2022
112,73045.0,Active,45,08/10/2022
113,73045.0,Deceased,39,08/10/2022
114,73045.0,Recovered*,3432,08/10/2022
115,73047.0,Active,7,08/10/2022
116,73047.0,Deceased,8,08/10/2022
117,73047.0,Recovered*,923,08/10/2022
118,73048.0,Active,19,08/10/2022
119,73048.0,Deceased,12,08/10/2022
120,73048.0,Recovered*,553,08/10/2022
121,73049.0,Active,21,08/10/2022
122,73049.0,Deceased,27,08/10/2022
123,73049.0,Recovered*,1564,08/10/2022
124,73050.0,Active,1 to 4,08/10/2022
125,73050.0,Deceased,1 to 4,08/10/2022
126,73050.0,Recovered*,118,08/10/2022
127,73051.0,Active,36,08/10/2022
128,73051.0,Deceased,45,08/10/2022
129,73051.0,Recovered*,2588,08/10/2022
130,73052.0,Active,15,08/10/2022
131,73052.0,Deceased,33,08/10/2022
132,73052.0,Recovered*,1715,08/10/2022
133,73053.0,Active,6,08/10/2022
134,73053.0,Deceased,7,08/10/2022
135,73053.0,Recovered*,184,08/10/2022
136,73054.0,Active,18,08/10/2022
137,73054.0,Deceased,13,08/10/2022
138,73054.0,Recovered*,994,08/10/2022
139,73055.0,Active,30,08/10/2022
140,73055.0,Deceased,44,08/10/2022
141,73055.0,Recovered*,2401,08/10/2022
142,73056.0,Deceased,1 to 4,08/10/2022
143,73056.0,Recovered*,92,08/10/2022
