,Reporting period end date,Weekly total
0,11/29/2020,35
1,12/06/2020,38
2,12/13/2020,8992
3,12/20/2020,29247
4,12/27/2020,43777
5,01/03/2021,56075
6,01/10/2021,55126
7,01/17/2021,86321
8,01/24/2021,76554
9,01/31/2021,50029
10,02/07/2021,73797
11,02/14/2021,84370
12,02/21/2021,85935
13,02/28/2021,149277
14,03/07/2021,148201
15,03/14/2021,128761
16,03/21/2021,148635
17,03/28/2021,156172
18,04/04/2021,198731
19,04/11/2021,168522
20,04/18/2021,130842
21,04/25/2021,91527
22,05/02/2021,51922
23,05/09/2021,64869
24,05/16/2021,81275
25,05/23/2021,43598
26,05/30/2021,26403
27,06/06/2021,24261
28,06/13/2021,21108
29,06/20/2021,19832
30,06/27/2021,18138
31,07/04/2021,15678
32,07/11/2021,18104
33,07/18/2021,22226
34,07/25/2021,26007
35,08/01/2021,29171
36,08/08/2021,26021
37,08/15/2021,25087
38,08/22/2021,24475
39,08/29/2021,21180
40,09/05/2021,15784
41,09/12/2021,16453
42,09/19/2021,16159
43,09/26/2021,15826
44,10/03/2021,13062
45,10/10/2021,11540
46,10/17/2021,12266
47,10/24/2021,16949
48,10/31/2021,21926
49,11/07/2021,44223
50,11/14/2021,39819
51,11/21/2021,23696
52,11/28/2021,25129
53,12/05/2021,29002
54,12/12/2021,28445
55,12/19/2021,23404
56,12/26/2021,23622
57,01/02/2022,25300
58,01/09/2022,22074
59,01/16/2022,15918
60,01/23/2022,11495
61,01/30/2022,9263
62,02/06/2022,8502
63,02/13/2022,6594
64,02/20/2022,5075
65,02/27/2022,4137
66,03/06/2022,3470
67,03/13/2022,3010
68,03/20/2022,850
