,Reporting period end date,Weekly total
0,11/29/2020,36
1,12/06/2020,40
2,12/13/2020,9042
3,12/20/2020,29433
4,12/27/2020,44075
5,01/03/2021,56438
6,01/10/2021,55510
7,01/17/2021,86996
8,01/24/2021,77145
9,01/31/2021,50383
10,02/07/2021,74420
11,02/14/2021,85072
12,02/21/2021,86616
13,02/28/2021,150338
14,03/07/2021,149300
15,03/14/2021,129661
16,03/21/2021,149642
17,03/28/2021,157043
18,04/04/2021,199553
19,04/11/2021,169205
20,04/18/2021,131267
21,04/25/2021,91760
22,05/02/2021,52060
23,05/09/2021,65015
24,05/16/2021,81409
25,05/23/2021,43670
26,05/30/2021,26432
27,06/06/2021,24279
28,06/13/2021,21135
29,06/20/2021,19852
30,06/27/2021,18154
31,07/04/2021,15704
32,07/11/2021,18160
33,07/18/2021,22316
34,07/25/2021,26087
35,08/01/2021,29231
36,08/08/2021,26091
37,08/15/2021,25160
38,08/22/2021,24548
39,08/29/2021,21250
40,09/05/2021,15823
41,09/12/2021,16430
42,09/19/2021,16106
43,09/26/2021,15791
44,10/03/2021,13029
45,10/10/2021,11534
46,10/17/2021,12257
47,10/24/2021,16892
48,10/31/2021,21872
49,11/07/2021,44178
50,11/14/2021,39717
51,11/21/2021,23670
52,11/28/2021,25043
53,12/05/2021,28906
54,12/12/2021,28340
55,12/19/2021,23313
56,12/26/2021,23566
57,01/02/2022,25200
58,01/09/2022,22020
59,01/16/2022,15898
60,01/23/2022,11461
61,01/30/2022,9218
62,02/06/2022,8459
63,02/13/2022,6578
64,02/20/2022,5086
65,02/27/2022,4442
66,03/06/2022,3471
67,03/13/2022,3035
68,03/20/2022,2989
69,03/27/2022,3090
70,04/03/2022,879
