,City,status,Number,rpt_date
0,,Active,94,05/25/2022
1,,Deceased,235,05/25/2022
2,,Recovered*,32057,05/25/2022
3,Achille,Deceased,1 to 4,05/25/2022
4,Achille,Recovered*,115,05/25/2022
5,Ada,Active,15,05/25/2022
6,Ada,Deceased,125,05/25/2022
7,Ada,Recovered*,9939,05/25/2022
8,Adair,Active,5,05/25/2022
9,Adair,Deceased,5,05/25/2022
10,Adair,Recovered*,744,05/25/2022
11,Addington,Deceased,1 to 4,05/25/2022
12,Addington,Recovered*,15,05/25/2022
13,Afton,Active,8,05/25/2022
14,Afton,Deceased,16,05/25/2022
15,Afton,Recovered*,1425,05/25/2022
16,Agra,Deceased,1 to 4,05/25/2022
17,Agra,Recovered*,234,05/25/2022
18,Albion,Recovered*,34,05/25/2022
19,Alderson,Active,1 to 4,05/25/2022
20,Alderson,Deceased,1 to 4,05/25/2022
21,Alderson,Recovered*,91,05/25/2022
22,Alex,Deceased,7,05/25/2022
23,Alex,Recovered*,269,05/25/2022
24,Aline,Deceased,1 to 4,05/25/2022
25,Aline,Recovered*,121,05/25/2022
26,Allen,Active,1 to 4,05/25/2022
27,Allen,Deceased,6,05/25/2022
28,Allen,Recovered*,570,05/25/2022
29,Altus,Active,7,05/25/2022
30,Altus,Deceased,92,05/25/2022
31,Altus,Recovered*,5305,05/25/2022
32,Alva,Active,1 to 4,05/25/2022
33,Alva,Deceased,33,05/25/2022
34,Alva,Recovered*,1906,05/25/2022
35,Amber,Deceased,8,05/25/2022
36,Amber,Recovered*,228,05/25/2022
37,Ames,Recovered*,123,05/25/2022
38,Amorita,Recovered*,30,05/25/2022
39,Anadarko,Active,1 to 4,05/25/2022
40,Anadarko,Deceased,61,05/25/2022
41,Anadarko,Recovered*,2980,05/25/2022
42,Antlers,Deceased,27,05/25/2022
43,Antlers,Recovered*,1415,05/25/2022
44,Apache,Deceased,12,05/25/2022
45,Apache,Recovered*,1045,05/25/2022
46,Arapaho,Active,1 to 4,05/25/2022
47,Arapaho,Deceased,5,05/25/2022
48,Arapaho,Recovered*,299,05/25/2022
49,Arcadia,Active,12,05/25/2022
50,Arcadia,Deceased,1 to 4,05/25/2022
51,Arcadia,Recovered*,792,05/25/2022
52,Ardmore,Active,40,05/25/2022
53,Ardmore,Deceased,166,05/25/2022
54,Ardmore,Recovered*,10797,05/25/2022
55,Arkoma,Deceased,1 to 4,05/25/2022
56,Arkoma,Recovered*,370,05/25/2022
57,Arnett,Active,1 to 4,05/25/2022
58,Arnett,Deceased,1 to 4,05/25/2022
59,Arnett,Recovered*,138,05/25/2022
60,Asher,Deceased,7,05/25/2022
61,Asher,Recovered*,293,05/25/2022
62,Atoka,Active,1 to 4,05/25/2022
63,Atoka,Deceased,41,05/25/2022
64,Atoka,Recovered*,2972,05/25/2022
65,Atwood,Deceased,1 to 4,05/25/2022
66,Atwood,Recovered*,71,05/25/2022
67,Avant,Deceased,1 to 4,05/25/2022
68,Avant,Recovered*,69,05/25/2022
69,Barnsdall,Active,1 to 4,05/25/2022
70,Barnsdall,Deceased,11,05/25/2022
71,Barnsdall,Recovered*,548,05/25/2022
72,Bartlesville,Active,35,05/25/2022
73,Bartlesville,Deceased,207,05/25/2022
74,Bartlesville,Recovered*,9625,05/25/2022
75,Bearden,Recovered*,1 to 4,05/25/2022
76,Beaver,Active,1 to 4,05/25/2022
77,Beaver,Deceased,7,05/25/2022
78,Beaver,Recovered*,452,05/25/2022
79,Beggs,Active,1 to 4,05/25/2022
80,Beggs,Deceased,13,05/25/2022
81,Beggs,Recovered*,1173,05/25/2022
82,Bennington,Deceased,5,05/25/2022
83,Bennington,Recovered*,357,05/25/2022
84,Bernice,Active,1 to 4,05/25/2022
85,Bernice,Deceased,1 to 4,05/25/2022
86,Bernice,Recovered*,113,05/25/2022
87,Bessie,Deceased,1 to 4,05/25/2022
88,Bessie,Recovered*,60,05/25/2022
89,Bethany,Active,11,05/25/2022
90,Bethany,Deceased,66,05/25/2022
91,Bethany,Recovered*,4863,05/25/2022
92,Bethel Acres,Active,1 to 4,05/25/2022
93,Bethel Acres,Recovered*,5,05/25/2022
94,Big Cabin,Active,1 to 4,05/25/2022
95,Big Cabin,Deceased,8,05/25/2022
96,Big Cabin,Recovered*,504,05/25/2022
97,Billings,Active,1 to 4,05/25/2022
98,Billings,Deceased,1 to 4,05/25/2022
99,Billings,Recovered*,300,05/25/2022
100,Binger,Deceased,17,05/25/2022
101,Binger,Recovered*,363,05/25/2022
102,Bixby,Active,56,05/25/2022
103,Bixby,Deceased,73,05/25/2022
104,Bixby,Recovered*,8784,05/25/2022
105,Blackburn,Recovered*,14,05/25/2022
106,Blackwell,Active,1 to 4,05/25/2022
107,Blackwell,Deceased,43,05/25/2022
108,Blackwell,Recovered*,1537,05/25/2022
109,Blair,Active,1 to 4,05/25/2022
110,Blair,Deceased,7,05/25/2022
111,Blair,Recovered*,538,05/25/2022
112,Blanchard,Active,11,05/25/2022
113,Blanchard,Deceased,68,05/25/2022
114,Blanchard,Recovered*,5595,05/25/2022
115,Bluejacket,Deceased,1 to 4,05/25/2022
116,Bluejacket,Recovered*,338,05/25/2022
117,Boise City,Active,1 to 4,05/25/2022
118,Boise City,Deceased,5,05/25/2022
119,Boise City,Recovered*,380,05/25/2022
120,Bokchito,Active,1 to 4,05/25/2022
121,Bokchito,Deceased,1 to 4,05/25/2022
122,Bokchito,Recovered*,548,05/25/2022
123,Bokoshe,Deceased,5,05/25/2022
124,Bokoshe,Recovered*,492,05/25/2022
125,Boley,Deceased,11,05/25/2022
126,Boley,Recovered*,633,05/25/2022
127,Boswell,Deceased,6,05/25/2022
128,Boswell,Recovered*,583,05/25/2022
129,Bowlegs,Deceased,1 to 4,05/25/2022
130,Bowlegs,Recovered*,35,05/25/2022
131,Boynton,Deceased,1 to 4,05/25/2022
132,Boynton,Recovered*,158,05/25/2022
133,Bradley,Deceased,1 to 4,05/25/2022
134,Bradley,Recovered*,78,05/25/2022
135,Braggs,Deceased,5,05/25/2022
136,Braggs,Recovered*,248,05/25/2022
137,Braman,Deceased,1 to 4,05/25/2022
138,Braman,Recovered*,77,05/25/2022
139,Bray,Recovered*,1 to 4,05/25/2022
140,Bridge Creek,Recovered*,1 to 4,05/25/2022
141,Bridgeport,Recovered*,1 to 4,05/25/2022
142,Bristow,Active,1 to 4,05/25/2022
143,Bristow,Deceased,59,05/25/2022
144,Bristow,Recovered*,2264,05/25/2022
145,Broken Arrow,Active,193,05/25/2022
146,Broken Arrow,Deceased,421,05/25/2022
147,Broken Arrow,Recovered*,38198,05/25/2022
148,Broken Bow,Deceased,64,05/25/2022
149,Broken Bow,Recovered*,2646,05/25/2022
150,Bromide,Deceased,1 to 4,05/25/2022
151,Bromide,Recovered*,52,05/25/2022
152,Buffalo,Deceased,8,05/25/2022
153,Buffalo,Recovered*,261,05/25/2022
154,Burbank,Deceased,1 to 4,05/25/2022
155,Burbank,Recovered*,101,05/25/2022
156,Burlington,Deceased,1 to 4,05/25/2022
157,Burlington,Recovered*,60,05/25/2022
158,Burns Flat,Deceased,7,05/25/2022
159,Burns Flat,Recovered*,343,05/25/2022
160,Butler,Deceased,1 to 4,05/25/2022
161,Butler,Recovered*,99,05/25/2022
162,Byars,Deceased,1 to 4,05/25/2022
163,Byars,Recovered*,217,05/25/2022
164,Byng,Recovered*,8,05/25/2022
165,Byron,Recovered*,7,05/25/2022
166,Cache,Active,1 to 4,05/25/2022
167,Cache,Deceased,15,05/25/2022
168,Cache,Recovered*,1525,05/25/2022
169,Caddo,Deceased,6,05/25/2022
170,Caddo,Recovered*,724,05/25/2022
171,Calera,Active,8,05/25/2022
172,Calera,Deceased,19,05/25/2022
173,Calera,Recovered*,1711,05/25/2022
174,Calumet,Deceased,5,05/25/2022
175,Calumet,Recovered*,352,05/25/2022
176,Calvin,Active,1 to 4,05/25/2022
177,Calvin,Deceased,1 to 4,05/25/2022
178,Calvin,Recovered*,159,05/25/2022
179,Camargo,Deceased,1 to 4,05/25/2022
180,Camargo,Recovered*,46,05/25/2022
181,Cameron,Deceased,1 to 4,05/25/2022
182,Cameron,Recovered*,523,05/25/2022
183,Canadian,Deceased,1 to 4,05/25/2022
184,Canadian,Recovered*,196,05/25/2022
185,Caney,Deceased,1 to 4,05/25/2022
186,Caney,Recovered*,229,05/25/2022
187,Canton,Deceased,6,05/25/2022
188,Canton,Recovered*,341,05/25/2022
189,Canute,Active,1 to 4,05/25/2022
190,Canute,Deceased,1 to 4,05/25/2022
191,Canute,Recovered*,291,05/25/2022
192,Carlton Landing,Recovered*,1 to 4,05/25/2022
193,Carmen,Deceased,1 to 4,05/25/2022
194,Carmen,Recovered*,90,05/25/2022
195,Carnegie,Active,1 to 4,05/25/2022
196,Carnegie,Deceased,35,05/25/2022
197,Carnegie,Recovered*,882,05/25/2022
198,Carney,Active,1 to 4,05/25/2022
199,Carney,Deceased,1 to 4,05/25/2022
