,zip,status,Number,rpt_date
0,,Active,44,05/25/2022
1,,Deceased,184,05/25/2022
2,,Recovered*,12536,05/25/2022
3,73002.0,Deceased,7,05/25/2022
4,73002.0,Recovered*,271,05/25/2022
5,73003.0,Active,42,05/25/2022
6,73003.0,Deceased,52,05/25/2022
7,73003.0,Recovered*,5558,05/25/2022
8,73004.0,Active,1 to 4,05/25/2022
9,73004.0,Deceased,8,05/25/2022
10,73004.0,Recovered*,235,05/25/2022
11,73005.0,Active,1 to 4,05/25/2022
12,73005.0,Deceased,60,05/25/2022
13,73005.0,Recovered*,2991,05/25/2022
14,73006.0,Deceased,12,05/25/2022
15,73006.0,Recovered*,1053,05/25/2022
16,73007.0,Active,11,05/25/2022
17,73007.0,Deceased,1 to 4,05/25/2022
18,73007.0,Recovered*,792,05/25/2022
19,73008.0,Active,13,05/25/2022
20,73008.0,Deceased,67,05/25/2022
21,73008.0,Recovered*,4782,05/25/2022
22,73009.0,Deceased,16,05/25/2022
23,73009.0,Recovered*,389,05/25/2022
24,73010.0,Active,11,05/25/2022
25,73010.0,Deceased,68,05/25/2022
26,73010.0,Recovered*,5596,05/25/2022
27,73011.0,Deceased,1 to 4,05/25/2022
28,73011.0,Recovered*,85,05/25/2022
29,73012.0,Active,56,05/25/2022
30,73012.0,Deceased,64,05/25/2022
31,73012.0,Recovered*,10128,05/25/2022
32,73013.0,Active,104,05/25/2022
33,73013.0,Deceased,129,05/25/2022
34,73013.0,Recovered*,13911,05/25/2022
35,73014.0,Active,1 to 4,05/25/2022
36,73014.0,Deceased,5,05/25/2022
37,73014.0,Recovered*,374,05/25/2022
38,73015.0,Active,1 to 4,05/25/2022
39,73015.0,Deceased,36,05/25/2022
40,73015.0,Recovered*,880,05/25/2022
41,73016.0,Deceased,5,05/25/2022
42,73016.0,Recovered*,523,05/25/2022
43,73017.0,Deceased,1 to 4,05/25/2022
44,73017.0,Recovered*,447,05/25/2022
45,73018.0,Active,9,05/25/2022
46,73018.0,Deceased,120,05/25/2022
47,73018.0,Recovered*,4987,05/25/2022
48,73019.0,Recovered*,74,05/25/2022
49,73020.0,Active,29,05/25/2022
50,73020.0,Deceased,76,05/25/2022
51,73020.0,Recovered*,5604,05/25/2022
52,73021.0,Deceased,1 to 4,05/25/2022
53,73021.0,Recovered*,77,05/25/2022
54,73024.0,Active,1 to 4,05/25/2022
55,73024.0,Deceased,9,05/25/2022
56,73024.0,Recovered*,147,05/25/2022
57,73025.0,Active,27,05/25/2022
58,73025.0,Deceased,25,05/25/2022
59,73025.0,Recovered*,3749,05/25/2022
60,73026.0,Active,22,05/25/2022
61,73026.0,Deceased,28,05/25/2022
62,73026.0,Recovered*,2907,05/25/2022
63,73027.0,Deceased,1 to 4,05/25/2022
64,73027.0,Recovered*,220,05/25/2022
65,73028.0,Active,1 to 4,05/25/2022
66,73028.0,Deceased,11,05/25/2022
67,73028.0,Recovered*,660,05/25/2022
68,73029.0,Deceased,6,05/25/2022
69,73029.0,Recovered*,411,05/25/2022
70,73030.0,Active,1 to 4,05/25/2022
71,73030.0,Deceased,23,05/25/2022
72,73030.0,Recovered*,1470,05/25/2022
73,73032.0,Deceased,1 to 4,05/25/2022
74,73032.0,Recovered*,61,05/25/2022
75,73033.0,Deceased,1 to 4,05/25/2022
76,73033.0,Recovered*,97,05/25/2022
77,73034.0,Active,74,05/25/2022
78,73034.0,Deceased,94,05/25/2022
79,73034.0,Recovered*,11268,05/25/2022
80,73036.0,Active,6,05/25/2022
81,73036.0,Deceased,76,05/25/2022
82,73036.0,Recovered*,5257,05/25/2022
83,73038.0,Deceased,8,05/25/2022
84,73038.0,Recovered*,487,05/25/2022
85,73040.0,Deceased,10,05/25/2022
86,73040.0,Recovered*,406,05/25/2022
87,73041.0,Deceased,1 to 4,05/25/2022
