,City,status,Number,rpt_date
0,,Active,306,09/21/2022
1,,Deceased,246,09/21/2022
2,,Recovered*,35989,09/21/2022
3,Achille,Deceased,1 to 4,09/21/2022
4,Achille,Recovered*,133,09/21/2022
5,Ada,Active,128,09/21/2022
6,Ada,Deceased,130,09/21/2022
7,Ada,Recovered*,12019,09/21/2022
8,Adair,Active,1 to 4,09/21/2022
9,Adair,Deceased,5,09/21/2022
10,Adair,Recovered*,828,09/21/2022
11,Addington,Deceased,1 to 4,09/21/2022
12,Addington,Recovered*,14,09/21/2022
13,Afton,Active,5,09/21/2022
14,Afton,Deceased,16,09/21/2022
15,Afton,Recovered*,1614,09/21/2022
16,Agra,Active,1 to 4,09/21/2022
17,Agra,Deceased,1 to 4,09/21/2022
18,Agra,Recovered*,269,09/21/2022
19,Albion,Recovered*,38,09/21/2022
20,Alderson,Active,1 to 4,09/21/2022
21,Alderson,Deceased,1 to 4,09/21/2022
22,Alderson,Recovered*,113,09/21/2022
23,Alex,Active,1 to 4,09/21/2022
24,Alex,Deceased,8,09/21/2022
25,Alex,Recovered*,295,09/21/2022
26,Aline,Active,1 to 4,09/21/2022
27,Aline,Deceased,1 to 4,09/21/2022
28,Aline,Recovered*,128,09/21/2022
29,Allen,Active,1 to 4,09/21/2022
30,Allen,Deceased,6,09/21/2022
31,Allen,Recovered*,655,09/21/2022
32,Altus,Active,78,09/21/2022
33,Altus,Deceased,92,09/21/2022
34,Altus,Recovered*,6081,09/21/2022
35,Alva,Active,13,09/21/2022
36,Alva,Deceased,34,09/21/2022
37,Alva,Recovered*,2017,09/21/2022
38,Amber,Active,1 to 4,09/21/2022
39,Amber,Deceased,8,09/21/2022
40,Amber,Recovered*,255,09/21/2022
41,Ames,Active,1 to 4,09/21/2022
42,Ames,Recovered*,136,09/21/2022
43,Amorita,Recovered*,32,09/21/2022
44,Anadarko,Active,37,09/21/2022
45,Anadarko,Deceased,63,09/21/2022
46,Anadarko,Recovered*,3412,09/21/2022
47,Antlers,Active,11,09/21/2022
48,Antlers,Deceased,27,09/21/2022
49,Antlers,Recovered*,1618,09/21/2022
50,Apache,Active,7,09/21/2022
51,Apache,Deceased,12,09/21/2022
52,Apache,Recovered*,1132,09/21/2022
53,Arapaho,Active,1 to 4,09/21/2022
54,Arapaho,Deceased,5,09/21/2022
55,Arapaho,Recovered*,332,09/21/2022
56,Arcadia,Active,6,09/21/2022
57,Arcadia,Deceased,1 to 4,09/21/2022
58,Arcadia,Recovered*,905,09/21/2022
