,Reporting period end date,Weekly total
0,11/29/2020,26
1,12/06/2020,29
2,12/13/2020,9034
3,12/20/2020,29438
4,12/27/2020,44006
5,01/03/2021,56356
6,01/10/2021,55503
7,01/17/2021,87124
8,01/24/2021,77213
9,01/31/2021,50283
10,02/07/2021,74451
11,02/14/2021,85173
12,02/21/2021,86655
13,02/28/2021,150258
14,03/07/2021,149357
15,03/14/2021,129725
16,03/21/2021,149709
17,03/28/2021,157070
18,04/04/2021,199587
19,04/11/2021,169301
20,04/18/2021,131319
21,04/25/2021,91803
22,05/02/2021,51991
23,05/09/2021,65060
24,05/16/2021,81452
25,05/23/2021,43708
26,05/30/2021,26444
27,06/06/2021,24247
28,06/13/2021,21123
29,06/20/2021,19861
30,06/27/2021,18146
31,07/04/2021,15706
32,07/11/2021,18166
33,07/18/2021,22322
34,07/25/2021,26077
35,08/01/2021,29225
36,08/08/2021,26101
37,08/15/2021,25160
38,08/22/2021,24575
39,08/29/2021,21264
40,09/05/2021,15842
41,09/12/2021,16446
42,09/19/2021,16098
43,09/26/2021,15776
44,10/03/2021,13019
45,10/10/2021,11540
46,10/17/2021,12221
47,10/24/2021,16815
48,10/31/2021,21822
49,11/07/2021,44096
50,11/14/2021,39642
51,11/21/2021,23595
52,11/28/2021,24950
53,12/05/2021,28817
54,12/12/2021,28234
55,12/19/2021,23189
56,12/26/2021,23495
57,01/02/2022,25125
58,01/09/2022,21952
59,01/16/2022,15854
60,01/23/2022,11439
61,01/30/2022,9217
62,02/06/2022,8450
63,02/13/2022,6572
64,02/20/2022,5101
65,02/27/2022,4731
66,03/06/2022,3468
67,03/13/2022,3036
68,03/20/2022,2999
69,03/27/2022,3115
70,04/03/2022,3216
71,04/10/2022,3201
72,04/17/2022,787
