,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
8457,Monroe,15-44,No,6545.0,3576.0,54.64,2008.0,30.68,,,05/05/2021
8458,Monroe,45-64,No,6692.0,4361.0,65.17,3608.0,53.92,,,05/05/2021
8459,Monroe,65+,No,2960.0,2842.0,96.01,2626.0,88.72,,,05/05/2021
8460,Montville,15-44,Yes,8025.0,2630.0,32.77,1630.0,20.31,,,05/05/2021
8461,Montville,45-64,Yes,5607.0,3274.0,58.39,2728.0,48.65,,,05/05/2021
8462,Montville,65+,Yes,3033.0,2631.0,86.75,2487.0,82.0,,,05/05/2021
8463,Morris,15-44,No,676.0,291.0,43.05,159.0,23.52,,,05/05/2021
8464,Morris,45-64,No,871.0,446.0,51.21,366.0,42.02,,,05/05/2021
8465,Morris,65+,No,415.0,387.0,93.25,339.0,81.69,,,05/05/2021
8466,Naugatuck,15-44,No,12722.0,4943.0,38.85,2573.0,20.22,,,05/05/2021
8467,Naugatuck,45-64,No,9236.0,5511.0,59.67,4188.0,45.34,,,05/05/2021
8468,Naugatuck,65+,No,4117.0,3795.0,92.18,3350.0,81.37,,,05/05/2021
8469,New Britain,15-44,Yes,33476.0,9432.0,28.18,5194.0,15.52,,,05/05/2021
8470,New Britain,45-64,Yes,16700.0,9823.0,58.82,7396.0,44.29,,,05/05/2021
8471,New Britain,65+,Yes,8658.0,7206.0,83.23,6408.0,74.01,,,05/05/2021
8472,New Canaan,15-44,No,5714.0,4257.0,74.5,1739.0,30.43,,,05/05/2021
8473,New Canaan,45-64,No,6587.0,5405.0,82.06,4406.0,66.89,,,05/05/2021
8474,New Canaan,65+,No,3081.0,3015.0,97.86,2734.0,88.74,,,05/05/2021
8475,New Fairfield,15-44,No,4673.0,2175.0,46.54,1061.0,22.7,,,05/05/2021
8476,New Fairfield,45-64,No,4814.0,3021.0,62.75,2408.0,50.02,,,05/05/2021
8477,New Fairfield,65+,No,2004.0,2094.0,100.0,1939.0,96.76,,,05/05/2021
8478,New Hartford,15-44,No,2219.0,1011.0,45.56,607.0,27.35,,,05/05/2021
8479,New Hartford,45-64,No,2411.0,1455.0,60.35,1222.0,50.68,,,05/05/2021
8480,New Hartford,65+,No,1028.0,1210.0,100.0,1132.0,100.0,,,05/05/2021
8481,New Haven,15-44,Yes,67232.0,27194.0,40.45,16566.0,24.64,,,05/05/2021
8482,New Haven,45-64,Yes,26423.0,16591.0,62.79,13307.0,50.36,,,05/05/2021
8483,New Haven,65+,Yes,12676.0,10444.0,82.39,9414.0,74.27,,,05/05/2021
8484,New London,15-44,Yes,14133.0,4237.0,29.98,2245.0,15.88,,,05/05/2021
8485,New London,45-64,Yes,6006.0,3841.0,63.95,2974.0,49.52,,,05/05/2021
8486,New London,65+,Yes,2944.0,2815.0,95.62,2534.0,86.07,,,05/05/2021
8487,New Milford,15-44,No,9733.0,4664.0,47.92,2481.0,25.49,,,05/05/2021
8488,New Milford,45-64,No,9016.0,6158.0,68.3,4788.0,53.11,,,05/05/2021
8489,New Milford,65+,No,3969.0,4210.0,100.0,3783.0,95.31,,,05/05/2021
8490,Newington,15-44,No,11075.0,5870.0,53.0,3485.0,31.47,,,05/05/2021
8491,Newington,45-64,No,8866.0,6512.0,73.45,5335.0,60.17,,,05/05/2021
8492,Newington,65+,No,5999.0,5548.0,92.48,5170.0,86.18,,,05/05/2021
8493,Newtown,15-44,No,9019.0,5140.0,56.99,2786.0,30.89,,,05/05/2021
8494,Newtown,45-64,No,9768.0,6668.0,68.26,5456.0,55.86,,,05/05/2021
8495,Newtown,65+,No,4111.0,4375.0,100.0,4052.0,98.56,,,05/05/2021
8496,Norfolk,15-44,No,456.0,171.0,37.5,94.0,20.61,,,05/05/2021
8497,Norfolk,45-64,No,618.0,347.0,56.15,280.0,45.31,,,05/05/2021
8498,Norfolk,65+,No,345.0,327.0,94.78,287.0,83.19,,,05/05/2021
8499,North Branford,15-44,No,4624.0,2585.0,55.9,1553.0,33.59,,,05/05/2021
8500,North Branford,45-64,No,4653.0,3215.0,69.1,2722.0,58.5,,,05/05/2021
8501,North Branford,65+,No,2781.0,2788.0,100.0,2610.0,93.85,,,05/05/2021
8502,North Canaan,15-44,No,1151.0,433.0,37.62,192.0,16.68,,,05/05/2021
8503,North Canaan,45-64,No,906.0,398.0,43.93,263.0,29.03,,,05/05/2021
8504,North Canaan,65+,No,662.0,360.0,54.38,280.0,42.3,,,05/05/2021
8505,North Haven,15-44,No,7724.0,4762.0,61.65,2914.0,37.73,,,05/05/2021
8506,North Haven,45-64,No,7402.0,5574.0,75.3,4752.0,64.2,,,05/05/2021
8507,North Haven,65+,No,5086.0,5016.0,98.62,4726.0,92.92,,,05/05/2021
8508,North Stonington,15-44,No,1610.0,656.0,40.75,376.0,23.35,,,05/05/2021
8509,North Stonington,45-64,No,1916.0,966.0,50.42,816.0,42.59,,,05/05/2021
8510,North Stonington,65+,No,925.0,864.0,93.41,820.0,88.65,,,05/05/2021
8511,Norwalk,15-44,Yes,36349.0,17535.0,48.24,8128.0,22.36,,,05/05/2021
8512,Norwalk,45-64,Yes,24020.0,17656.0,73.51,13537.0,56.36,,,05/05/2021
8513,Norwalk,65+,Yes,12058.0,11970.0,99.27,10605.0,87.95,,,05/05/2021
8514,Norwich,15-44,Yes,16433.0,5050.0,30.73,2675.0,16.28,,,05/05/2021
8515,Norwich,45-64,Yes,10810.0,6402.0,59.22,5009.0,46.34,,,05/05/2021
8516,Norwich,65+,Yes,5586.0,5022.0,89.9,4562.0,81.67,,,05/05/2021
8517,Old Lyme,15-44,No,1924.0,1170.0,60.81,654.0,33.99,,,05/05/2021
8518,Old Lyme,45-64,No,2671.0,1800.0,67.39,1540.0,57.66,,,05/05/2021
8519,Old Lyme,65+,No,1861.0,1818.0,97.69,1746.0,93.82,,,05/05/2021
8520,Old Saybrook,15-44,No,2597.0,1713.0,65.96,922.0,35.5,,,05/05/2021
8521,Old Saybrook,45-64,No,3410.0,2713.0,79.56,2349.0,68.89,,,05/05/2021
8522,Old Saybrook,65+,No,2776.0,2885.0,100.0,2703.0,97.37,,,05/05/2021
8523,Orange,15-44,Yes,4187.0,2666.0,63.67,1604.0,38.31,,,05/05/2021
8524,Orange,45-64,Yes,4504.0,3147.0,69.87,2711.0,60.19,,,05/05/2021
8525,Orange,65+,Yes,2865.0,2698.0,94.17,2547.0,88.9,,,05/05/2021
8526,Oxford,15-44,No,3973.0,1960.0,49.33,1165.0,29.32,,,05/05/2021
8527,Oxford,45-64,No,4570.0,2861.0,62.6,2359.0,51.62,,,05/05/2021
8528,Oxford,65+,No,2147.0,2422.0,100.0,2235.0,100.0,,,05/05/2021
8529,Plainfield,15-44,Yes,5908.0,1490.0,25.22,830.0,14.05,,,05/05/2021
8530,Plainfield,45-64,Yes,4330.0,2486.0,57.41,1962.0,45.31,,,05/05/2021
8531,Plainfield,65+,Yes,2203.0,1998.0,90.69,1852.0,84.07,,,05/05/2021
8532,Plainville,15-44,No,6855.0,2960.0,43.18,1760.0,25.67,,,05/05/2021
8533,Plainville,45-64,No,5299.0,3387.0,63.92,2663.0,50.25,,,05/05/2021
8534,Plainville,65+,No,2986.0,2784.0,93.24,2564.0,85.87,,,05/05/2021
8535,Plymouth,15-44,No,4399.0,1446.0,32.87,771.0,17.53,,,05/05/2021
8536,Plymouth,45-64,No,3937.0,1998.0,50.75,1522.0,38.66,,,05/05/2021
8537,Plymouth,65+,No,1726.0,1560.0,90.38,1321.0,76.54,,,05/05/2021
8538,Pomfret,15-44,No,1476.0,608.0,41.19,314.0,21.27,,,05/05/2021
8539,Pomfret,45-64,No,1385.0,860.0,62.09,739.0,53.36,,,05/05/2021
8540,Pomfret,65+,No,585.0,662.0,100.0,625.0,100.0,,,05/05/2021
8541,Portland,15-44,No,3266.0,1756.0,53.77,1015.0,31.08,,,05/05/2021
8542,Portland,45-64,No,2994.0,2079.0,69.44,1726.0,57.65,,,05/05/2021
8543,Portland,65+,No,1610.0,1661.0,100.0,1559.0,96.83,,,05/05/2021
8544,Preston,15-44,No,1461.0,643.0,44.01,411.0,28.13,,,05/05/2021
8545,Preston,45-64,No,1688.0,901.0,53.38,782.0,46.33,,,05/05/2021
8546,Preston,65+,No,896.0,815.0,90.96,777.0,86.72,,,05/05/2021
8547,Prospect,15-44,No,3160.0,1507.0,47.69,934.0,29.56,,,05/05/2021
8548,Prospect,45-64,No,3253.0,2036.0,62.59,1726.0,53.06,,,05/05/2021
8549,Prospect,65+,No,1763.0,1753.0,99.43,1644.0,93.25,,,05/05/2021
8550,Putnam,15-44,No,3515.0,987.0,28.08,433.0,12.32,,,05/05/2021
8551,Putnam,45-64,No,2733.0,1463.0,53.53,1130.0,41.35,,,05/05/2021
8552,Putnam,65+,No,1540.0,1408.0,91.43,1271.0,82.53,,,05/05/2021
8553,Redding,15-44,No,2427.0,1447.0,59.62,686.0,28.27,,,05/05/2021
8554,Redding,45-64,No,3423.0,2149.0,62.78,1754.0,51.24,,,05/05/2021
8555,Redding,65+,No,1770.0,1460.0,82.49,1301.0,73.5,,,05/05/2021
8556,Resident out of state,15-44,,,26657.0,,13984.0,,,,05/05/2021
8557,Resident out of state,45-64,,,17253.0,,13605.0,,,,05/05/2021
8558,Resident out of state,65+,,,8643.0,,7222.0,,,,05/05/2021
8559,Ridgefield,15-44,No,7365.0,4667.0,63.37,2348.0,31.88,,,05/05/2021
8560,Ridgefield,45-64,No,8516.0,6517.0,76.53,5458.0,64.09,,,05/05/2021
8561,Ridgefield,65+,No,3902.0,3975.0,100.0,3706.0,94.98,,,05/05/2021
8562,Rocky Hill,15-44,No,7414.0,4454.0,60.08,2395.0,32.3,,,05/05/2021
8563,Rocky Hill,45-64,No,5793.0,4069.0,70.24,3404.0,58.76,,,05/05/2021
8564,Rocky Hill,65+,No,3897.0,3773.0,96.82,3472.0,89.09,,,05/05/2021
8565,Roxbury,15-44,No,517.0,295.0,57.06,154.0,29.79,,,05/05/2021
8566,Roxbury,45-64,No,856.0,546.0,63.79,450.0,52.57,,,05/05/2021
8567,Roxbury,65+,No,545.0,593.0,100.0,530.0,97.25,,,05/05/2021
8568,Salem,15-44,No,1485.0,683.0,45.99,428.0,28.82,,,05/05/2021
8569,Salem,45-64,No,1444.0,831.0,57.55,714.0,49.45,,,05/05/2021
8570,Salem,65+,No,526.0,595.0,100.0,572.0,100.0,,,05/05/2021
8571,Salisbury,15-44,No,822.0,777.0,94.53,307.0,37.35,,,05/05/2021
8572,Salisbury,45-64,No,1261.0,865.0,68.6,630.0,49.96,,,05/05/2021
8573,Salisbury,65+,No,1151.0,1067.0,92.7,966.0,83.93,,,05/05/2021
8574,Scotland,15-44,No,590.0,193.0,32.71,106.0,17.97,,,05/05/2021
8575,Scotland,45-64,No,556.0,306.0,55.04,259.0,46.58,,,05/05/2021
8576,Scotland,65+,No,258.0,251.0,97.29,235.0,91.09,,,05/05/2021
8577,Seymour,15-44,No,6199.0,2769.0,44.67,1529.0,24.67,,,05/05/2021
8578,Seymour,45-64,No,4937.0,3298.0,66.8,2581.0,52.28,,,05/05/2021
8579,Seymour,65+,No,2574.0,2291.0,89.01,2009.0,78.05,,,05/05/2021
8580,Sharon,15-44,No,625.0,272.0,43.52,126.0,20.16,,,05/05/2021
8581,Sharon,45-64,No,1047.0,611.0,58.36,422.0,40.31,,,05/05/2021
8582,Sharon,65+,No,744.0,735.0,98.79,647.0,86.96,,,05/05/2021
8583,Shelton,15-44,No,13784.0,6728.0,48.81,3824.0,27.74,,,05/05/2021
8584,Shelton,45-64,No,13126.0,8535.0,65.02,6834.0,52.06,,,05/05/2021
8585,Shelton,65+,No,7991.0,7572.0,94.76,6916.0,86.55,,,05/05/2021
8586,Sherman,15-44,No,960.0,417.0,43.44,205.0,21.35,,,05/05/2021
8587,Sherman,45-64,No,1402.0,832.0,59.34,639.0,45.58,,,05/05/2021
8588,Sherman,65+,No,740.0,686.0,92.7,637.0,86.08,,,05/05/2021
8589,Simsbury,15-44,No,7458.0,5463.0,73.25,3159.0,42.36,,,05/05/2021
8590,Simsbury,45-64,No,7966.0,6181.0,77.59,5284.0,66.33,,,05/05/2021
8591,Simsbury,65+,No,3877.0,4201.0,100.0,3956.0,100.0,,,05/05/2021
8592,Somers,15-44,No,4544.0,1635.0,35.98,1012.0,22.27,,,05/05/2021
8593,Somers,45-64,No,3636.0,2120.0,58.31,1782.0,49.01,,,05/05/2021
8594,Somers,65+,No,1633.0,1556.0,95.28,1443.0,88.36,,,05/05/2021
8595,South Windsor,15-44,No,8715.0,5930.0,68.04,3285.0,37.69,,,05/05/2021
8596,South Windsor,45-64,No,8150.0,5737.0,70.39,4828.0,59.24,,,05/05/2021
8597,South Windsor,65+,No,4417.0,4493.0,100.0,4179.0,94.61,,,05/05/2021
8598,Southbury,15-44,No,5054.0,2762.0,54.65,1621.0,32.07,,,05/05/2021
8599,Southbury,45-64,No,6365.0,4208.0,66.11,3529.0,55.44,,,05/05/2021
8600,Southbury,65+,No,5611.0,5278.0,94.07,4880.0,86.97,,,05/05/2021
8601,Southington,15-44,No,14600.0,8081.0,55.35,5020.0,34.38,,,05/05/2021
8602,Southington,45-64,No,13021.0,9028.0,69.33,7611.0,58.45,,,05/05/2021
8603,Southington,65+,No,8562.0,8116.0,94.79,7616.0,88.95,,,05/05/2021
8604,Sprague,15-44,No,1174.0,313.0,26.66,172.0,14.65,,,05/05/2021
8605,Sprague,45-64,No,869.0,447.0,51.44,373.0,42.92,,,05/05/2021
8606,Sprague,65+,No,360.0,383.0,100.0,360.0,100.0,,,05/05/2021
8607,Stafford,15-44,No,4390.0,1271.0,28.95,657.0,14.97,,,05/05/2021
8608,Stafford,45-64,No,3678.0,2136.0,58.08,1693.0,46.03,,,05/05/2021
8609,Stafford,65+,No,1915.0,1728.0,90.23,1551.0,80.99,,,05/05/2021
8610,Stamford,15-44,Yes,54890.0,28232.0,51.43,12708.0,23.15,,,05/05/2021
8611,Stamford,45-64,Yes,32402.0,25174.0,77.69,19100.0,58.95,,,05/05/2021
8612,Stamford,65+,Yes,18070.0,17438.0,96.5,15262.0,84.46,,,05/05/2021
8613,Sterling,15-44,No,1498.0,306.0,20.43,153.0,10.21,,,05/05/2021
8614,Sterling,45-64,No,1182.0,569.0,48.14,467.0,39.51,,,05/05/2021
8615,Sterling,65+,No,352.0,353.0,100.0,327.0,92.9,,,05/05/2021
8616,Stonington,15-44,No,5476.0,2547.0,46.51,1531.0,27.96,,,05/05/2021
8617,Stonington,45-64,No,6079.0,3913.0,64.37,3411.0,56.11,,,05/05/2021
8618,Stonington,65+,No,4232.0,4552.0,100.0,4330.0,100.0,,,05/05/2021
8619,Stratford,15-44,No,18999.0,8034.0,42.29,3994.0,21.02,,,05/05/2021
8620,Stratford,45-64,No,15454.0,9643.0,62.4,7507.0,48.58,,,05/05/2021
8621,Stratford,65+,No,9237.0,7470.0,80.87,6741.0,72.98,,,05/05/2021
8622,Suffield,15-44,No,6307.0,2729.0,43.27,1526.0,24.2,,,05/05/2021
8623,Suffield,45-64,No,4839.0,3348.0,69.19,2819.0,58.26,,,05/05/2021
8624,Suffield,65+,No,2427.0,2476.0,100.0,2242.0,92.38,,,05/05/2021
8625,Thomaston,15-44,No,2740.0,1092.0,39.85,611.0,22.3,,,05/05/2021
8626,Thomaston,45-64,No,2576.0,1552.0,60.25,1173.0,45.54,,,05/05/2021
8627,Thomaston,65+,No,1163.0,1046.0,89.94,885.0,76.1,,,05/05/2021
8628,Thompson,15-44,No,3226.0,741.0,22.97,341.0,10.57,,,05/05/2021
8629,Thompson,45-64,No,3105.0,1365.0,43.96,1097.0,35.33,,,05/05/2021
8630,Thompson,65+,No,1508.0,1225.0,81.23,1142.0,75.73,,,05/05/2021
8631,Tolland,15-44,No,5067.0,2789.0,55.04,1517.0,29.94,,,05/05/2021
8632,Tolland,45-64,No,4868.0,3416.0,70.17,2894.0,59.45,,,05/05/2021
8633,Tolland,65+,No,2135.0,2249.0,100.0,2109.0,98.78,,,05/05/2021
8634,Torrington,15-44,Yes,12501.0,4581.0,36.65,2327.0,18.61,,,05/05/2021
8635,Torrington,45-64,Yes,10743.0,6446.0,60.0,5040.0,46.91,,,05/05/2021
8636,Torrington,65+,Yes,6185.0,5507.0,89.04,4953.0,80.08,,,05/05/2021
8637,Trumbull,15-44,No,11569.0,7363.0,63.64,4109.0,35.52,,,05/05/2021
8638,Trumbull,45-64,No,11176.0,8244.0,73.77,6875.0,61.52,,,05/05/2021
8639,Trumbull,65+,No,6866.0,6092.0,88.73,5547.0,80.79,,,05/05/2021
8640,Union,15-44,No,237.0,79.0,33.33,40.0,16.88,,,05/05/2021
8641,Union,45-64,No,305.0,175.0,57.38,145.0,47.54,,,05/05/2021
8642,Union,65+,No,169.0,192.0,100.0,169.0,100.0,,,05/05/2021
8643,Vernon,15-44,Yes,11620.0,5533.0,47.62,2814.0,24.22,,,05/05/2021
8644,Vernon,45-64,Yes,7999.0,5373.0,67.17,4342.0,54.28,,,05/05/2021
8645,Vernon,65+,Yes,5032.0,4868.0,96.74,4508.0,89.59,,,05/05/2021
8646,Voluntown,15-44,No,903.0,258.0,28.57,146.0,16.17,,,05/05/2021
8647,Voluntown,45-64,No,948.0,524.0,55.27,441.0,46.52,,,05/05/2021
8648,Voluntown,65+,No,316.0,395.0,100.0,360.0,100.0,,,05/05/2021
8649,Wallingford,15-44,No,15993.0,8667.0,54.19,5184.0,32.41,,,05/05/2021
8650,Wallingford,45-64,No,13953.0,9450.0,67.73,7923.0,56.78,,,05/05/2021
8651,Wallingford,65+,No,8045.0,8061.0,100.0,7574.0,94.15,,,05/05/2021
8652,Warren,15-44,No,387.0,161.0,41.6,75.0,19.38,,,05/05/2021
8653,Warren,45-64,No,514.0,349.0,67.9,293.0,57.0,,,05/05/2021
8654,Warren,65+,No,325.0,305.0,93.85,283.0,87.08,,,05/05/2021
8655,Washington,15-44,No,910.0,591.0,64.95,323.0,35.49,,,05/05/2021
8656,Washington,45-64,No,1259.0,815.0,64.73,657.0,52.18,,,05/05/2021
8657,Washington,65+,No,846.0,853.0,100.0,773.0,91.37,,,05/05/2021
8658,Waterbury,15-44,Yes,45125.0,12147.0,26.92,5887.0,13.05,,,05/05/2021
8659,Waterbury,45-64,Yes,27429.0,15187.0,55.37,11103.0,40.48,,,05/05/2021
8660,Waterbury,65+,Yes,13896.0,11095.0,79.84,9771.0,70.32,,,05/05/2021
8661,Waterford,15-44,Yes,5975.0,3207.0,53.67,1978.0,33.1,,,05/05/2021
8662,Waterford,45-64,Yes,6259.0,4285.0,68.46,3667.0,58.59,,,05/05/2021
8663,Waterford,65+,Yes,4236.0,3988.0,94.15,3779.0,89.21,,,05/05/2021
8664,Watertown,15-44,No,7405.0,3477.0,46.95,2003.0,27.05,,,05/05/2021
8665,Watertown,45-64,No,7146.0,4492.0,62.86,3561.0,49.83,,,05/05/2021
8666,Watertown,65+,No,4055.0,3638.0,89.72,3192.0,78.72,,,05/05/2021
8667,West Hartford,15-44,Yes,23424.0,16012.0,68.36,9893.0,42.23,,,05/05/2021
8668,West Hartford,45-64,Yes,17430.0,14028.0,80.48,11815.0,67.79,,,05/05/2021
8669,West Hartford,65+,Yes,11042.0,10900.0,98.71,10080.0,91.29,,,05/05/2021
8670,West Haven,15-44,Yes,24321.0,9020.0,37.09,4501.0,18.51,,,05/05/2021
8671,West Haven,45-64,Yes,14336.0,9248.0,64.51,7381.0,51.49,,,05/05/2021
8672,West Haven,65+,Yes,7347.0,6692.0,91.08,6150.0,83.71,,,05/05/2021
8673,Westbrook,15-44,No,2201.0,1045.0,47.48,524.0,23.81,,,05/05/2021
8674,Westbrook,45-64,No,2201.0,1573.0,71.47,1305.0,59.29,,,05/05/2021
8675,Westbrook,65+,No,1633.0,1621.0,99.27,1487.0,91.06,,,05/05/2021
8676,Weston,15-44,No,2812.0,1964.0,69.84,1032.0,36.7,,,05/05/2021
8677,Weston,45-64,No,3769.0,2880.0,76.41,2464.0,65.38,,,05/05/2021
8678,Weston,65+,No,1323.0,1426.0,100.0,1331.0,100.0,,,05/05/2021
8679,Westport,15-44,No,7391.0,5237.0,70.86,2758.0,37.32,,,05/05/2021
8680,Westport,45-64,No,9291.0,7715.0,83.04,6509.0,70.06,,,05/05/2021
8681,Westport,65+,No,4605.0,4300.0,93.38,4016.0,87.21,,,05/05/2021
8682,Wethersfield,15-44,No,8897.0,5556.0,62.45,3475.0,39.06,,,05/05/2021
8683,Wethersfield,45-64,No,7852.0,5780.0,73.61,4915.0,62.6,,,05/05/2021
8684,Wethersfield,65+,No,5417.0,4796.0,88.54,4518.0,83.4,,,05/05/2021
8685,Willington,15-44,No,2706.0,952.0,35.18,447.0,16.52,,,05/05/2021
8686,Willington,45-64,No,1774.0,1045.0,58.91,852.0,48.03,,,05/05/2021
8687,Willington,65+,No,735.0,826.0,100.0,763.0,100.0,,,05/05/2021
8688,Wilton,15-44,No,5375.0,3710.0,69.02,1816.0,33.79,,,05/05/2021
8689,Wilton,45-64,No,6127.0,4894.0,79.88,4155.0,67.81,,,05/05/2021
8690,Wilton,65+,No,2814.0,3010.0,100.0,2752.0,97.8,,,05/05/2021
8691,Winchester,15-44,Yes,3745.0,1182.0,31.56,667.0,17.81,,,05/05/2021
8692,Winchester,45-64,Yes,3555.0,1903.0,53.53,1547.0,43.52,,,05/05/2021
8693,Winchester,65+,Yes,1998.0,1773.0,88.74,1630.0,81.58,,,05/05/2021
8694,Windham,15-44,Yes,11977.0,3497.0,29.2,1679.0,14.02,,,05/05/2021
8695,Windham,45-64,Yes,5600.0,3291.0,58.77,2500.0,44.64,,,05/05/2021
8696,Windham,65+,Yes,3234.0,2820.0,87.2,2546.0,78.73,,,05/05/2021
8697,Windsor,15-44,No,10316.0,4807.0,46.6,2476.0,24.0,,,05/05/2021
8698,Windsor,45-64,No,9084.0,6090.0,67.04,4987.0,54.9,,,05/05/2021
8699,Windsor,65+,No,4943.0,5309.0,100.0,4848.0,98.08,,,05/05/2021
8700,Windsor Locks,15-44,Yes,4509.0,1888.0,41.87,933.0,20.69,,,05/05/2021
8701,Windsor Locks,45-64,Yes,3887.0,2444.0,62.88,2000.0,51.45,,,05/05/2021
8702,Windsor Locks,65+,Yes,2185.0,2128.0,97.39,1981.0,90.66,,,05/05/2021
8703,Wolcott,15-44,No,5716.0,2545.0,44.52,1506.0,26.35,,,05/05/2021
8704,Wolcott,45-64,No,5558.0,3525.0,63.42,2832.0,50.95,,,05/05/2021
8705,Wolcott,65+,No,2780.0,2604.0,93.67,2394.0,86.12,,,05/05/2021
8706,Woodbridge,15-44,No,2483.0,1789.0,72.05,1072.0,43.17,,,05/05/2021
8707,Woodbridge,45-64,No,3010.0,2196.0,72.96,1895.0,62.96,,,05/05/2021
8708,Woodbridge,65+,No,1821.0,1799.0,98.79,1691.0,92.86,,,05/05/2021
8709,Woodbury,15-44,No,2885.0,1319.0,45.72,721.0,24.99,,,05/05/2021
8710,Woodbury,45-64,No,3458.0,2255.0,65.21,1868.0,54.02,,,05/05/2021
8711,Woodbury,65+,No,2015.0,1951.0,96.82,1776.0,88.14,,,05/05/2021
8712,Woodstock,15-44,No,2490.0,980.0,39.36,461.0,18.51,,,05/05/2021
8713,Woodstock,45-64,No,2804.0,1625.0,57.95,1394.0,49.71,,,05/05/2021
8714,Woodstock,65+,No,1217.0,1290.0,100.0,1225.0,100.0,,,05/05/2021
8715,Address pending validation,15-44,,,1677.0,,1077.0,,,,05/12/2021
8716,Address pending validation,45-64,,,1648.0,,1259.0,,,,05/12/2021
8717,Address pending validation,65+,,,893.0,,738.0,,,,05/12/2021
8718,Andover,15-44,No,1106.0,514.0,46.47,350.0,31.65,,,05/12/2021
8719,Andover,45-64,No,1217.0,814.0,66.89,711.0,58.42,,,05/12/2021
8720,Andover,65+,No,421.0,484.0,100.0,453.0,100.0,,,05/12/2021
8721,Ansonia,15-44,Yes,7532.0,2799.0,37.16,1848.0,24.54,,,05/12/2021
8722,Ansonia,45-64,Yes,5365.0,3297.0,61.45,2620.0,48.84,,,05/12/2021
8723,Ansonia,65+,Yes,2535.0,2036.0,80.32,1789.0,70.57,,,05/12/2021
8724,Ashford,15-44,No,1537.0,654.0,42.55,437.0,28.43,,,05/12/2021
8725,Ashford,45-64,No,1456.0,898.0,61.68,777.0,53.37,,,05/12/2021
8726,Ashford,65+,No,572.0,678.0,100.0,638.0,100.0,,,05/12/2021
8727,Avon,15-44,No,5426.0,4197.0,77.35,3048.0,56.17,,,05/12/2021
8728,Avon,45-64,No,5968.0,4807.0,80.55,4216.0,70.64,,,05/12/2021
8729,Avon,65+,No,3446.0,3522.0,100.0,3335.0,96.78,,,05/12/2021
8730,Barkhamsted,15-44,No,1103.0,530.0,48.05,342.0,31.01,,,05/12/2021
8731,Barkhamsted,45-64,No,1386.0,835.0,60.25,721.0,52.02,,,05/12/2021
8732,Barkhamsted,65+,No,616.0,670.0,100.0,636.0,100.0,,,05/12/2021
8733,Beacon Falls,15-44,No,2191.0,1033.0,47.15,738.0,33.68,,,05/12/2021
8734,Beacon Falls,45-64,No,1929.0,1270.0,65.84,1070.0,55.47,,,05/12/2021
8735,Beacon Falls,65+,No,951.0,1038.0,100.0,952.0,100.0,,,05/12/2021
8736,Berlin,15-44,No,6538.0,3656.0,55.92,2812.0,43.01,,,05/12/2021
8737,Berlin,45-64,No,6790.0,4526.0,66.66,3963.0,58.37,,,05/12/2021
8738,Berlin,65+,No,4012.0,4080.0,100.0,3856.0,96.11,,,05/12/2021
8739,Bethany,15-44,No,1640.0,1043.0,63.6,790.0,48.17,,,05/12/2021
8740,Bethany,45-64,No,2135.0,1328.0,62.2,1195.0,55.97,,,05/12/2021
8741,Bethany,65+,No,866.0,935.0,100.0,884.0,100.0,,,05/12/2021
8742,Bethel,15-44,No,6913.0,3763.0,54.43,2534.0,36.66,,,05/12/2021
8743,Bethel,45-64,No,6259.0,4144.0,66.21,3465.0,55.36,,,05/12/2021
8744,Bethel,65+,No,2874.0,2333.0,81.18,2107.0,73.31,,,05/12/2021
8745,Bethlehem,15-44,No,1011.0,444.0,43.92,311.0,30.76,,,05/12/2021
8746,Bethlehem,45-64,No,1390.0,689.0,49.57,574.0,41.29,,,05/12/2021
8747,Bethlehem,65+,No,646.0,678.0,100.0,603.0,93.34,,,05/12/2021
8748,Bloomfield,15-44,No,6503.0,3082.0,47.39,2083.0,32.03,,,05/12/2021
8749,Bloomfield,45-64,No,6268.0,4088.0,65.22,3446.0,54.98,,,05/12/2021
8750,Bloomfield,65+,No,5199.0,5371.0,100.0,4851.0,93.31,,,05/12/2021
8751,Bolton,15-44,No,1597.0,899.0,56.29,684.0,42.83,,,05/12/2021
8752,Bolton,45-64,No,1723.0,1078.0,62.57,944.0,54.79,,,05/12/2021
8753,Bolton,65+,No,850.0,880.0,100.0,837.0,98.47,,,05/12/2021
8754,Bozrah,15-44,No,887.0,327.0,36.87,238.0,26.83,,,05/12/2021
8755,Bozrah,45-64,No,902.0,539.0,59.76,449.0,49.78,,,05/12/2021
8756,Bozrah,65+,No,427.0,493.0,100.0,461.0,100.0,,,05/12/2021
8757,Branford,15-44,No,9118.0,5226.0,57.32,3799.0,41.66,,,05/12/2021
8758,Branford,45-64,No,9359.0,6391.0,68.29,5624.0,60.09,,,05/12/2021
8759,Branford,65+,No,6079.0,6260.0,100.0,5903.0,97.1,,,05/12/2021
8760,Bridgeport,15-44,Yes,67655.0,19659.0,29.06,10709.0,15.83,,,05/12/2021
8761,Bridgeport,45-64,Yes,34783.0,20939.0,60.2,16217.0,46.62,,,05/12/2021
