,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
578,Torrington,45-64,Yes,10743.0,7453.0,69.38,6961.0,64.8,,,07/21/2021
579,Torrington,65+,Yes,6185.0,5835.0,94.34,5596.0,90.48,,,07/21/2021
580,Trumbull,12-15,No,2294.0,1295.0,56.45,1145.0,49.91,,,07/21/2021
581,Trumbull,16-44,No,11041.0,9120.0,82.6,8443.0,76.47,,,07/21/2021
582,Trumbull,45-64,No,11176.0,8883.0,79.48,8410.0,75.25,,,07/21/2021
583,Trumbull,65+,No,6866.0,6228.0,90.71,5930.0,86.37,,,07/21/2021
584,Union,12-15,No,45.0,9.0,20.0,8.0,17.78,,,07/21/2021
585,Union,16-44,No,226.0,108.0,47.79,103.0,45.58,,,07/21/2021
586,Union,45-64,No,305.0,183.0,60.0,178.0,58.36,,,07/21/2021
587,Union,65+,No,169.0,194.0,100.0,178.0,100.0,,,07/21/2021
588,Vernon,12-15,Yes,1190.0,619.0,52.02,540.0,45.38,,,07/21/2021
589,Vernon,16-44,Yes,11294.0,7330.0,64.9,6780.0,60.03,,,07/21/2021
590,Vernon,45-64,Yes,7999.0,5968.0,74.61,5624.0,70.31,,,07/21/2021
591,Vernon,65+,Yes,5032.0,5032.0,100.0,4829.0,95.97,,,07/21/2021
592,Voluntown,12-15,No,136.0,45.0,33.09,36.0,26.47,,,07/21/2021
593,Voluntown,16-44,No,869.0,352.0,40.51,327.0,37.63,,,07/21/2021
594,Voluntown,45-64,No,948.0,589.0,62.13,553.0,58.33,,,07/21/2021
595,Voluntown,65+,No,316.0,410.0,100.0,388.0,100.0,,,07/21/2021
596,Wallingford,12-15,No,2113.0,1072.0,50.73,933.0,44.16,,,07/21/2021
597,Wallingford,16-44,No,15455.0,10953.0,70.87,10207.0,66.04,,,07/21/2021
598,Wallingford,45-64,No,13953.0,10250.0,73.46,9655.0,69.2,,,07/21/2021
599,Wallingford,65+,No,8045.0,8256.0,100.0,7936.0,98.65,,,07/21/2021
600,Warren,12-15,No,69.0,30.0,43.48,28.0,40.58,,,07/21/2021
601,Warren,16-44,No,370.0,213.0,57.57,196.0,52.97,,,07/21/2021
602,Warren,45-64,No,514.0,367.0,71.4,343.0,66.73,,,07/21/2021
603,Warren,65+,No,325.0,310.0,95.38,296.0,91.08,,,07/21/2021
604,Washington,12-15,No,156.0,123.0,78.85,88.0,56.41,,,07/21/2021
605,Washington,16-44,No,878.0,723.0,82.35,668.0,76.08,,,07/21/2021
606,Washington,45-64,No,1259.0,889.0,70.61,813.0,64.58,,,07/21/2021
607,Washington,65+,No,846.0,881.0,100.0,844.0,99.76,,,07/21/2021
608,Waterbury,12-15,Yes,5992.0,1612.0,26.9,1191.0,19.88,,,07/21/2021
609,Waterbury,16-44,Yes,43643.0,20238.0,46.37,17341.0,39.73,,,07/21/2021
610,Waterbury,45-64,Yes,27429.0,19010.0,69.31,17277.0,62.99,,,07/21/2021
611,Waterbury,65+,Yes,13896.0,12046.0,86.69,11369.0,81.81,,,07/21/2021
