,Reporting period end date,Weekly total
0,11/29/2020,27
1,12/06/2020,35
2,12/13/2020,9067
3,12/20/2020,29417
4,12/27/2020,43912
5,01/03/2021,56548
6,01/10/2021,55566
7,01/17/2021,87041
8,01/24/2021,77274
9,01/31/2021,50311
10,02/07/2021,74206
11,02/14/2021,84853
12,02/21/2021,86408
13,02/28/2021,149609
14,03/07/2021,148889
15,03/14/2021,129576
16,03/21/2021,149663
17,03/28/2021,157610
18,04/04/2021,200494
19,04/11/2021,169905
20,04/18/2021,131844
21,04/25/2021,92222
22,05/02/2021,52355
23,05/09/2021,65304
24,05/16/2021,82001
25,05/23/2021,44109
26,05/30/2021,26682
27,06/06/2021,24297
28,06/13/2021,21192
29,06/20/2021,19865
30,06/27/2021,18235
31,07/04/2021,15893
32,07/11/2021,18372
33,07/18/2021,22564
34,07/25/2021,26294
35,08/01/2021,29415
36,08/08/2021,26387
37,08/15/2021,25510
38,08/22/2021,24883
39,08/29/2021,21489
40,09/05/2021,16003
41,09/12/2021,16646
42,09/19/2021,16358
43,09/26/2021,16446
44,10/03/2021,13547
45,10/10/2021,12031
46,10/17/2021,12608
47,10/24/2021,18196
48,10/31/2021,23389
49,11/07/2021,44910
50,11/14/2021,41171
51,11/21/2021,25167
52,11/28/2021,26182
53,12/05/2021,30287
54,12/12/2021,29538
55,12/19/2021,24181
56,12/26/2021,24322
57,01/02/2022,25926
58,01/09/2022,22493
59,01/16/2022,16147
60,01/23/2022,11529
61,01/30/2022,9375
62,02/06/2022,8627
63,02/13/2022,6704
64,02/20/2022,5187
65,02/27/2022,4853
66,03/06/2022,3528
67,03/13/2022,3111
68,03/20/2022,3132
69,03/27/2022,3316
70,04/03/2022,3504
71,04/10/2022,3533
72,04/17/2022,3115
73,04/24/2022,3013
74,05/01/2022,2811
75,05/08/2022,3059
76,05/15/2022,3033
77,05/22/2022,1001
