,Reporting period end date,Weekly total
0,12/19/2020,8368
1,12/26/2020,28313
2,01/02/2021,42625
3,01/09/2021,62578
4,01/16/2021,68979
5,01/23/2021,103608
6,01/30/2021,121677
7,02/06/2021,94692
8,02/13/2021,146398
9,02/20/2021,156697
10,02/27/2021,143867
11,03/06/2021,195927
12,03/13/2021,218207
13,03/20/2021,213168
14,03/27/2021,232739
15,04/03/2021,280226
16,04/10/2021,316092
17,04/17/2021,300582
18,04/24/2021,280536
19,05/01/2021,234443
20,05/08/2021,208387
21,05/15/2021,194603
22,05/22/2021,182595
23,05/29/2021,100356
24,06/05/2021,79776
25,06/12/2021,89560
26,06/19/2021,62513
27,06/26/2021,44167
28,07/03/2021,36818
29,07/10/2021,31475
30,07/17/2021,33750
31,07/24/2021,36856
32,07/31/2021,39033
33,08/07/2021,42851
34,08/14/2021,42801
35,08/21/2021,50461
36,08/28/2021,51706
37,09/04/2021,47313
38,09/11/2021,37758
39,09/18/2021,39941
40,09/25/2021,43726
41,10/02/2021,71483
42,10/09/2021,64391
43,10/16/2021,59341
44,10/23/2021,66587
45,10/30/2021,118726
46,11/06/2021,121761
47,11/13/2021,130220
48,11/20/2021,143143
49,11/27/2021,111025
50,12/04/2021,158394
51,12/11/2021,170515
52,12/18/2021,144028
53,12/25/2021,104628
54,01/01/2022,98759
55,01/08/2022,109058
