,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
509,Woodbury,65+,No,2015.0,1936.0,96.08,1709.0,84.81,04/21/2021
510,Woodstock,15-44,No,2490.0,805.0,32.33,354.0,14.22,04/21/2021
511,Woodstock,45-64,No,2804.0,1621.0,57.81,1144.0,40.8,04/21/2021
512,Woodstock,65+,No,1217.0,1297.0,100.0,1208.0,99.26,04/21/2021
513,Address pending validation,15-44,,,1624.0,,762.0,,04/28/2021
514,Address pending validation,45-64,,,1595.0,,1069.0,,04/28/2021
515,Address pending validation,65+,,,890.0,,708.0,,04/28/2021
516,Andover,15-44,No,1106.0,436.0,39.42,183.0,16.55,04/28/2021
517,Andover,45-64,No,1217.0,785.0,64.5,613.0,50.37,04/28/2021
518,Andover,65+,No,421.0,479.0,100.0,442.0,100.0,04/28/2021
519,Ansonia,15-44,Yes,7532.0,2388.0,31.7,1069.0,14.19,04/28/2021
520,Ansonia,45-64,Yes,5365.0,3058.0,57.0,2181.0,40.65,04/28/2021
521,Ansonia,65+,Yes,2535.0,1965.0,77.51,1699.0,67.02,04/28/2021
522,Ashford,15-44,No,1537.0,563.0,36.63,245.0,15.94,04/28/2021
523,Ashford,45-64,No,1456.0,841.0,57.76,663.0,45.54,04/28/2021
524,Ashford,65+,No,572.0,670.0,100.0,625.0,100.0,04/28/2021
525,Avon,15-44,No,5426.0,3785.0,69.76,1769.0,32.6,04/28/2021
526,Avon,45-64,No,5968.0,4682.0,78.45,3907.0,65.47,04/28/2021
527,Avon,65+,No,3446.0,3492.0,100.0,3306.0,95.94,04/28/2021
528,Barkhamsted,15-44,No,1103.0,465.0,42.16,217.0,19.67,04/28/2021
529,Barkhamsted,45-64,No,1386.0,812.0,58.59,653.0,47.11,04/28/2021
530,Barkhamsted,65+,No,616.0,663.0,100.0,621.0,100.0,04/28/2021
531,Beacon Falls,15-44,No,2191.0,910.0,41.53,459.0,20.95,04/28/2021
532,Beacon Falls,45-64,No,1929.0,1198.0,62.1,951.0,49.3,04/28/2021
533,Beacon Falls,65+,No,951.0,1019.0,100.0,924.0,97.16,04/28/2021
534,Berlin,15-44,No,6538.0,3241.0,49.57,1706.0,26.09,04/28/2021
535,Berlin,45-64,No,6790.0,4331.0,63.78,3521.0,51.86,04/28/2021
536,Berlin,65+,No,4012.0,4018.0,100.0,3768.0,93.92,04/28/2021
537,Bethany,15-44,No,1640.0,944.0,57.56,471.0,28.72,04/28/2021
538,Bethany,45-64,No,2135.0,1299.0,60.84,1076.0,50.4,04/28/2021
539,Bethany,65+,No,866.0,924.0,100.0,866.0,100.0,04/28/2021
540,Bethel,15-44,No,6913.0,3270.0,47.3,1264.0,18.28,04/28/2021
541,Bethel,45-64,No,6259.0,3923.0,62.68,2914.0,46.56,04/28/2021
542,Bethel,65+,No,2874.0,2292.0,79.75,2039.0,70.95,04/28/2021
543,Bethlehem,15-44,No,1011.0,384.0,37.98,202.0,19.98,04/28/2021
544,Bethlehem,45-64,No,1390.0,654.0,47.05,490.0,35.25,04/28/2021
545,Bethlehem,65+,No,646.0,654.0,100.0,573.0,88.7,04/28/2021
546,Bloomfield,15-44,No,6503.0,2684.0,41.27,1238.0,19.04,04/28/2021
547,Bloomfield,45-64,No,6268.0,3866.0,61.68,3027.0,48.29,04/28/2021
548,Bloomfield,65+,No,5199.0,5267.0,100.0,4740.0,91.17,04/28/2021
549,Bolton,15-44,No,1597.0,796.0,49.84,402.0,25.17,04/28/2021
550,Bolton,45-64,No,1723.0,1040.0,60.36,807.0,46.84,04/28/2021
551,Bolton,65+,No,850.0,868.0,100.0,808.0,95.06,04/28/2021
552,Bozrah,15-44,No,887.0,284.0,32.02,159.0,17.93,04/28/2021
553,Bozrah,45-64,No,902.0,509.0,56.43,414.0,45.9,04/28/2021
554,Bozrah,65+,No,427.0,482.0,100.0,454.0,100.0,04/28/2021
555,Branford,15-44,No,9118.0,4690.0,51.44,2191.0,24.03,04/28/2021
556,Branford,45-64,No,9359.0,6172.0,65.95,4994.0,53.36,04/28/2021
557,Branford,65+,No,6079.0,6198.0,100.0,5793.0,95.3,04/28/2021
558,Bridgeport,15-44,Yes,67655.0,16092.0,23.79,6408.0,9.47,04/28/2021
559,Bridgeport,45-64,Yes,34783.0,19194.0,55.18,13460.0,38.7,04/28/2021
560,Bridgeport,65+,Yes,15163.0,12486.0,82.35,10696.0,70.54,04/28/2021
561,Bridgewater,15-44,No,372.0,205.0,55.11,91.0,24.46,04/28/2021
562,Bridgewater,45-64,No,635.0,414.0,65.2,311.0,48.98,04/28/2021
563,Bridgewater,65+,No,474.0,422.0,89.03,390.0,82.28,04/28/2021
564,Bristol,15-44,Yes,23116.0,8876.0,38.4,4223.0,18.27,04/28/2021
565,Bristol,45-64,Yes,17083.0,10774.0,63.07,8126.0,47.57,04/28/2021
566,Bristol,65+,Yes,9960.0,8940.0,89.76,8026.0,80.58,04/28/2021
567,Brookfield,15-44,No,5626.0,2742.0,48.74,1223.0,21.74,04/28/2021
568,Brookfield,45-64,No,5665.0,3807.0,67.2,2863.0,50.54,04/28/2021
569,Brookfield,65+,No,2746.0,2815.0,100.0,2565.0,93.41,04/28/2021
570,Brooklyn,15-44,No,3144.0,856.0,27.23,434.0,13.8,04/28/2021
571,Brooklyn,45-64,No,2471.0,1325.0,53.62,1085.0,43.91,04/28/2021
572,Brooklyn,65+,No,1310.0,1298.0,99.08,1215.0,92.75,04/28/2021
573,Burlington,15-44,No,3099.0,1754.0,56.6,900.0,29.04,04/28/2021
574,Burlington,45-64,No,3389.0,2277.0,67.19,1882.0,55.53,04/28/2021
575,Burlington,65+,No,1234.0,1399.0,100.0,1298.0,100.0,04/28/2021
576,Canaan,15-44,No,347.0,214.0,61.67,64.0,18.44,04/28/2021
577,Canaan,45-64,No,379.0,313.0,82.59,224.0,59.1,04/28/2021
578,Canaan,65+,No,321.0,276.0,85.98,223.0,69.47,04/28/2021
579,Canterbury,15-44,No,1746.0,535.0,30.64,282.0,16.15,04/28/2021
580,Canterbury,45-64,No,1764.0,901.0,51.08,694.0,39.34,04/28/2021
581,Canterbury,65+,No,734.0,771.0,100.0,702.0,95.64,04/28/2021
582,Canton,15-44,No,3224.0,1697.0,52.64,803.0,24.91,04/28/2021
583,Canton,45-64,No,3472.0,2329.0,67.08,1886.0,54.32,04/28/2021
584,Canton,65+,No,1844.0,1857.0,100.0,1763.0,95.61,04/28/2021
585,Chaplin,15-44,No,777.0,255.0,32.82,120.0,15.44,04/28/2021
586,Chaplin,45-64,No,825.0,402.0,48.73,317.0,38.42,04/28/2021
587,Chaplin,65+,No,329.0,320.0,97.26,294.0,89.36,04/28/2021
588,Cheshire,15-44,No,10378.0,5795.0,55.84,3328.0,32.07,04/28/2021
589,Cheshire,45-64,No,9264.0,6791.0,73.31,5717.0,61.71,04/28/2021
590,Cheshire,65+,No,4743.0,5021.0,100.0,4715.0,99.41,04/28/2021
591,Chester,15-44,No,1188.0,597.0,50.25,284.0,23.91,04/28/2021
592,Chester,45-64,No,1555.0,941.0,60.51,751.0,48.3,04/28/2021
593,Chester,65+,No,1015.0,929.0,91.53,870.0,85.71,04/28/2021
594,Clinton,15-44,No,4292.0,2167.0,50.49,935.0,21.78,04/28/2021
595,Clinton,45-64,No,4373.0,3023.0,69.13,2335.0,53.4,04/28/2021
596,Clinton,65+,No,2391.0,2566.0,100.0,2362.0,98.79,04/28/2021
597,Colchester,15-44,No,5920.0,2667.0,45.05,1349.0,22.79,04/28/2021
598,Colchester,45-64,No,5117.0,3374.0,65.94,2735.0,53.45,04/28/2021
599,Colchester,65+,No,2144.0,2249.0,100.0,2139.0,99.77,04/28/2021
600,Colebrook,15-44,No,436.0,145.0,33.26,68.0,15.6,04/28/2021
601,Colebrook,45-64,No,555.0,306.0,55.14,230.0,41.44,04/28/2021
602,Colebrook,65+,No,261.0,269.0,100.0,244.0,93.49,04/28/2021
603,Columbia,15-44,No,1727.0,758.0,43.89,389.0,22.52,04/28/2021
604,Columbia,45-64,No,1863.0,1159.0,62.21,926.0,49.7,04/28/2021
605,Columbia,65+,No,1018.0,1019.0,100.0,949.0,93.22,04/28/2021
606,Cornwall,15-44,No,323.0,169.0,52.32,51.0,15.79,04/28/2021
607,Cornwall,45-64,No,553.0,364.0,65.82,238.0,43.04,04/28/2021
608,Cornwall,65+,No,360.0,375.0,100.0,335.0,93.06,04/28/2021
609,Coventry,15-44,No,4477.0,2017.0,45.05,946.0,21.13,04/28/2021
610,Coventry,45-64,No,4160.0,2622.0,63.03,2085.0,50.12,04/28/2021
611,Coventry,65+,No,1674.0,1786.0,100.0,1654.0,98.81,04/28/2021
612,Cromwell,15-44,No,5030.0,2654.0,52.76,1374.0,27.32,04/28/2021
613,Cromwell,45-64,No,4301.0,3134.0,72.87,2456.0,57.1,04/28/2021
614,Cromwell,65+,No,2499.0,2735.0,100.0,2511.0,100.0,04/28/2021
615,Danbury,15-44,Yes,37157.0,12712.0,34.21,4179.0,11.25,04/28/2021
616,Danbury,45-64,Yes,22092.0,14201.0,64.28,9102.0,41.2,04/28/2021
617,Danbury,65+,Yes,9823.0,9819.0,99.96,8492.0,86.45,04/28/2021
618,Darien,15-44,No,6841.0,4394.0,64.23,1507.0,22.03,04/28/2021
619,Darien,45-64,No,6257.0,5556.0,88.8,4350.0,69.52,04/28/2021
620,Darien,65+,No,2605.0,2608.0,100.0,2303.0,88.41,04/28/2021
621,Deep River,15-44,No,1558.0,711.0,45.64,319.0,20.47,04/28/2021
622,Deep River,45-64,No,1439.0,1075.0,74.7,831.0,57.75,04/28/2021
623,Deep River,65+,No,848.0,892.0,100.0,813.0,95.87,04/28/2021
624,Derby,15-44,Yes,5045.0,1853.0,36.73,816.0,16.17,04/28/2021
625,Derby,45-64,Yes,3559.0,2172.0,61.03,1510.0,42.43,04/28/2021
626,Derby,65+,Yes,2052.0,1599.0,77.92,1407.0,68.57,04/28/2021
627,Durham,15-44,No,2462.0,1283.0,52.11,672.0,27.29,04/28/2021
628,Durham,45-64,No,2482.0,1721.0,69.34,1378.0,55.52,04/28/2021
629,Durham,65+,No,1099.0,1191.0,100.0,1123.0,100.0,04/28/2021
630,East Granby,15-44,No,1766.0,916.0,51.87,388.0,21.97,04/28/2021
631,East Granby,45-64,No,1669.0,1167.0,69.92,933.0,55.9,04/28/2021
632,East Granby,65+,No,793.0,754.0,95.08,714.0,90.04,04/28/2021
633,East Haddam,15-44,No,2955.0,1180.0,39.93,524.0,17.73,04/28/2021
634,East Haddam,45-64,No,3322.0,1730.0,52.08,1285.0,38.68,04/28/2021
635,East Haddam,65+,No,1470.0,1510.0,100.0,1214.0,82.59,04/28/2021
636,East Hampton,15-44,No,4410.0,1972.0,44.72,1018.0,23.08,04/28/2021
637,East Hampton,45-64,No,4432.0,2740.0,61.82,2107.0,47.54,04/28/2021
638,East Hampton,65+,No,1852.0,1969.0,100.0,1828.0,98.7,04/28/2021
639,East Hartford,15-44,Yes,20388.0,6374.0,31.26,2630.0,12.9,04/28/2021
640,East Hartford,45-64,Yes,14093.0,8493.0,60.26,5595.0,39.7,04/28/2021
641,East Hartford,65+,Yes,6971.0,6206.0,89.03,5352.0,76.78,04/28/2021
642,East Haven,15-44,Yes,10947.0,3740.0,34.16,1767.0,16.14,04/28/2021
643,East Haven,45-64,Yes,8555.0,5023.0,58.71,3746.0,43.79,04/28/2021
644,East Haven,65+,Yes,5413.0,4187.0,77.35,3837.0,70.88,04/28/2021
645,East Lyme,15-44,No,6585.0,3155.0,47.91,1702.0,25.85,04/28/2021
646,East Lyme,45-64,No,5827.0,4055.0,69.59,3407.0,58.47,04/28/2021
647,East Lyme,65+,No,3939.0,4081.0,100.0,3889.0,98.73,04/28/2021
648,East Windsor,15-44,No,4216.0,1384.0,32.83,538.0,12.76,04/28/2021
649,East Windsor,45-64,No,3548.0,2125.0,59.89,1537.0,43.32,04/28/2021
650,East Windsor,65+,No,1954.0,1794.0,91.81,1610.0,82.4,04/28/2021
651,Eastford,15-44,No,522.0,169.0,32.38,78.0,14.94,04/28/2021
652,Eastford,45-64,No,654.0,329.0,50.31,259.0,39.6,04/28/2021
653,Eastford,65+,No,282.0,301.0,100.0,277.0,98.23,04/28/2021
654,Easton,15-44,No,2122.0,1290.0,60.79,551.0,25.97,04/28/2021
655,Easton,45-64,No,2731.0,1830.0,67.01,1515.0,55.47,04/28/2021
656,Easton,65+,No,1291.0,1142.0,88.46,1076.0,83.35,04/28/2021
657,Ellington,15-44,No,5720.0,2850.0,49.83,1251.0,21.87,04/28/2021
658,Ellington,45-64,No,4846.0,3428.0,70.74,2711.0,55.94,04/28/2021
659,Ellington,65+,No,2226.0,2356.0,100.0,2152.0,96.68,04/28/2021
660,Enfield,15-44,Yes,18395.0,5591.0,30.39,2315.0,12.58,04/28/2021
661,Enfield,45-64,Yes,12806.0,7380.0,57.63,5414.0,42.28,04/28/2021
662,Enfield,65+,Yes,6727.0,6011.0,89.36,5416.0,80.51,04/28/2021
663,Essex,15-44,No,1659.0,945.0,56.96,428.0,25.8,04/28/2021
664,Essex,45-64,No,2360.0,1669.0,70.72,1377.0,58.35,04/28/2021
665,Essex,65+,No,1711.0,1930.0,100.0,1811.0,100.0,04/28/2021
666,Fairfield,15-44,No,23265.0,11745.0,50.48,4545.0,19.54,04/28/2021
667,Fairfield,45-64,No,16983.0,13914.0,81.93,11005.0,64.8,04/28/2021
668,Fairfield,65+,No,9292.0,8682.0,93.44,8060.0,86.74,04/28/2021
669,Farmington,15-44,No,8743.0,5628.0,64.37,2800.0,32.03,04/28/2021
670,Farmington,45-64,No,7913.0,6020.0,76.08,4924.0,62.23,04/28/2021
671,Farmington,65+,No,4759.0,4929.0,100.0,4615.0,96.97,04/28/2021
672,Franklin,15-44,No,675.0,258.0,38.22,127.0,18.81,04/28/2021
673,Franklin,45-64,No,669.0,380.0,56.8,313.0,46.79,04/28/2021
674,Franklin,65+,No,358.0,352.0,98.32,327.0,91.34,04/28/2021
675,Glastonbury,15-44,No,11016.0,7310.0,66.36,3418.0,31.03,04/28/2021
676,Glastonbury,45-64,No,11374.0,8544.0,75.12,7022.0,61.74,04/28/2021
677,Glastonbury,65+,No,5766.0,5927.0,100.0,5538.0,96.05,04/28/2021
678,Goshen,15-44,No,821.0,325.0,39.59,155.0,18.88,04/28/2021
679,Goshen,45-64,No,1092.0,665.0,60.9,518.0,47.44,04/28/2021
680,Goshen,65+,No,602.0,617.0,100.0,570.0,94.68,04/28/2021
681,Granby,15-44,No,3397.0,1737.0,51.13,736.0,21.67,04/28/2021
682,Granby,45-64,No,4055.0,2694.0,66.44,2172.0,53.56,04/28/2021
683,Granby,65+,No,1824.0,1956.0,100.0,1849.0,100.0,04/28/2021
684,Greenwich,15-44,No,20116.0,10266.0,51.03,3244.0,16.13,04/28/2021
685,Greenwich,45-64,No,18950.0,14288.0,75.4,10755.0,56.75,04/28/2021
686,Greenwich,65+,No,10466.0,9514.0,90.9,8638.0,82.53,04/28/2021
687,Griswold,15-44,Yes,4677.0,1153.0,24.65,592.0,12.66,04/28/2021
688,Griswold,45-64,Yes,3686.0,1962.0,53.23,1543.0,41.86,04/28/2021
689,Griswold,65+,Yes,1480.0,1511.0,100.0,1386.0,93.65,04/28/2021
690,Groton,15-44,Yes,18008.0,5188.0,28.81,2271.0,12.61,04/28/2021
691,Groton,45-64,Yes,9135.0,5632.0,61.65,4425.0,48.44,04/28/2021
