,Reporting period end date,Weekly total
0,12/05/2020,24
1,12/12/2020,30
2,12/19/2020,8915
3,12/26/2020,29330
4,01/02/2021,44097
5,01/09/2021,65617
6,01/16/2021,72834
7,01/23/2021,107462
8,01/30/2021,125805
9,02/06/2021,99776
10,02/13/2021,152190
11,02/20/2021,161451
12,02/27/2021,149356
13,03/06/2021,203633
14,03/13/2021,224992
15,03/20/2021,220023
16,03/27/2021,240193
17,04/03/2021,288936
18,04/10/2021,325110
19,04/17/2021,308107
20,04/24/2021,287244
21,05/01/2021,240671
22,05/08/2021,213595
23,05/15/2021,198958
24,05/22/2021,186396
25,05/29/2021,102619
26,06/05/2021,81828
27,06/12/2021,91630
28,06/19/2021,63948
29,06/26/2021,45382
30,07/03/2021,37926
31,07/10/2021,32281
32,07/17/2021,34639
33,07/24/2021,37707
34,07/31/2021,39935
35,08/07/2021,43910
36,08/14/2021,43777
37,08/21/2021,51677
38,08/28/2021,52905
39,09/04/2021,48525
40,09/11/2021,38734
41,09/18/2021,41096
42,09/25/2021,45041
43,10/02/2021,73661
44,10/09/2021,66312
45,10/16/2021,61254
46,10/23/2021,68437
47,10/30/2021,121432
48,11/06/2021,124618
49,11/13/2021,133667
50,11/20/2021,146784
51,11/27/2021,113519
52,12/04/2021,163158
53,12/11/2021,174701
54,12/18/2021,153646
55,12/25/2021,110982
56,01/01/2022,103139
57,01/08/2022,113486
58,01/15/2022,99097
59,01/22/2022,71312
60,01/29/2022,54046
