,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
1401,Cromwell,No,13839.0,9879,71.39,9053,65.42,06/16/2021
1402,Danbury,Yes,84694.0,49858,58.87,42317,49.96,06/16/2021
1403,Darien,No,21728.0,15697,72.24,13789,63.46,06/16/2021
1404,Deep River,No,4443.0,3104,69.86,2813,63.31,06/16/2021
1405,Derby,Yes,12339.0,7749,62.8,6527,52.9,06/16/2021
1406,Durham,No,7165.0,4834,67.47,4442,62.0,06/16/2021
1407,East Granby,No,5140.0,3368,65.53,3099,60.29,06/16/2021
1408,East Haddam,No,8997.0,5366,59.64,4578,50.88,06/16/2021
1409,East Hampton,No,12800.0,7912,61.81,7255,56.68,06/16/2021
1410,East Hartford,Yes,49872.0,28199,56.54,23943,48.01,06/16/2021
1411,East Haven,Yes,28569.0,15667,54.84,14154,49.54,06/16/2021
1412,East Lyme,No,18462.0,12804,69.35,11846,64.16,06/16/2021
1413,East Windsor,No,11668.0,6489,55.61,5681,48.69,06/16/2021
1414,Eastford,No,1790.0,950,53.07,865,48.32,06/16/2021
1415,Easton,No,7521.0,5052,67.17,4581,60.91,06/16/2021
1416,Ellington,No,16467.0,10082,61.23,9123,55.4,06/16/2021
1417,Enfield,Yes,43659.0,23235,53.22,20715,47.45,06/16/2021
1418,Essex,No,6668.0,5008,75.1,4636,69.53,06/16/2021
1419,Fairfield,No,62045.0,40886,65.9,36886,59.45,06/16/2021
1420,Farmington,No,25497.0,19177,75.21,17501,68.64,06/16/2021
1421,Franklin,No,1920.0,1130,58.85,1048,54.58,06/16/2021
1422,Glastonbury,No,34482.0,25133,72.89,22905,66.43,06/16/2021
1423,Goshen,No,2863.0,1862,65.04,1687,58.92,06/16/2021
1424,Granby,No,11507.0,7401,64.32,6787,58.98,06/16/2021
1425,Greenwich,No,62840.0,41752,66.44,37312,59.38,06/16/2021
1426,Griswold,Yes,11534.0,5570,48.29,5088,44.11,06/16/2021
1427,Groton,Yes,38436.0,20085,52.26,18147,47.21,06/16/2021
1428,Guilford,No,22133.0,16247,73.41,15014,67.84,06/16/2021
1429,Haddam,No,8193.0,5743,70.1,5257,64.16,06/16/2021
1430,Hamden,No,60556.0,35859,59.22,32730,54.05,06/16/2021
1431,Hampton,No,1842.0,1027,55.75,947,51.41,06/16/2021
1432,Hartford,Yes,122105.0,51092,41.84,42710,34.98,06/16/2021
1433,Hartland,No,2120.0,1117,52.69,1029,48.54,06/16/2021
1434,Harwinton,No,5420.0,3312,61.11,3095,57.1,06/16/2021
1435,Hebron,No,9504.0,6133,64.53,5690,59.87,06/16/2021
1436,Kent,No,2777.0,2215,79.76,1966,70.8,06/16/2021
1437,Killingly,Yes,17336.0,8255,47.62,7445,42.95,06/16/2021
1438,Killingworth,No,6364.0,4285,67.33,3984,62.6,06/16/2021
1439,Lebanon,No,7144.0,4228,59.18,3935,55.08,06/16/2021
1440,Ledyard,No,14621.0,8557,58.53,7963,54.46,06/16/2021
1441,Lisbon,No,4220.0,2334,55.31,2135,50.59,06/16/2021
1442,Litchfield,No,8094.0,5370,66.35,4849,59.91,06/16/2021
1443,Lyme,No,2316.0,1876,81.0,1733,74.83,06/16/2021
1444,Madison,No,18030.0,13394,74.29,12339,68.44,06/16/2021
1445,Manchester,Yes,57584.0,33884,58.84,30078,52.23,06/16/2021
1446,Mansfield,No,25487.0,8728,34.24,8048,31.58,06/16/2021
1447,Marlborough,No,6335.0,4140,65.35,3816,60.24,06/16/2021
1448,Meriden,Yes,59395.0,33129,55.78,28878,48.62,06/16/2021
1449,Middlebury,No,7798.0,5258,67.43,4826,61.89,06/16/2021
1450,Middlefield,No,4374.0,2830,64.7,2609,59.65,06/16/2021
1451,Middletown,Yes,46258.0,30499,65.93,27571,59.6,06/16/2021
1452,Milford,Yes,54747.0,34862,63.68,32182,58.78,06/16/2021
1453,Monroe,No,19434.0,12419,63.9,11242,57.85,06/16/2021
1454,Montville,Yes,18508.0,9886,53.41,9091,49.12,06/16/2021
1455,Morris,No,2254.0,1292,57.32,1191,52.84,06/16/2021
1456,Naugatuck,No,31108.0,16942,54.46,15087,48.5,06/16/2021
1457,New Britain,Yes,72495.0,32516,44.85,28185,38.88,06/16/2021
1458,New Canaan,No,20233.0,14918,73.73,13087,64.68,06/16/2021
1459,New Fairfield,No,13878.0,8253,59.47,7468,53.81,06/16/2021
1460,New Hartford,No,6656.0,4153,62.39,3834,57.6,06/16/2021
1461,New Haven,Yes,130250.0,65863,50.57,58300,44.76,06/16/2021
1462,New London,Yes,26858.0,13535,50.39,11881,44.24,06/16/2021
1463,New Milford,No,26805.0,17498,65.28,15777,58.86,06/16/2021
1464,Newington,No,30014.0,20067,66.86,18279,60.9,06/16/2021
1465,Newtown,No,27891.0,18579,66.61,16585,59.46,06/16/2021
1466,Norfolk,No,1630.0,992,60.86,922,56.56,06/16/2021
1467,North Branford,No,14146.0,9512,67.24,8795,62.17,06/16/2021
1468,North Canaan,No,3251.0,1752,53.89,1545,47.52,06/16/2021
1469,North Haven,No,23683.0,17601,74.32,16048,67.76,06/16/2021
1470,North Stonington,No,5196.0,2819,54.25,2615,50.33,06/16/2021
1471,Norwalk,Yes,88816.0,56898,64.06,49428,55.65,06/16/2021
1472,Norwich,Yes,38768.0,20056,51.73,17945,46.29,06/16/2021
1473,Old Lyme,No,7306.0,5295,72.47,4877,66.75,06/16/2021
1474,Old Saybrook,No,10061.0,8091,80.42,7487,74.42,06/16/2021
1475,Orange,Yes,13926.0,9432,67.73,8767,62.95,06/16/2021
1476,Oxford,No,13255.0,8180,61.71,7519,56.73,06/16/2021
1477,Plainfield,Yes,15125.0,7080,46.81,6428,42.5,06/16/2021
1478,Plainville,No,17534.0,10427,59.47,9455,53.92,06/16/2021
1479,Plymouth,No,11598.0,5917,51.02,5259,45.34,06/16/2021
1480,Pomfret,No,4203.0,2485,59.12,2253,53.6,06/16/2021
1481,Portland,No,9267.0,6177,66.66,5647,60.94,06/16/2021
1482,Preston,No,4625.0,2650,57.3,2474,53.49,06/16/2021
1483,Prospect,No,9702.0,5903,60.84,5469,56.37,06/16/2021
1484,Putnam,No,9389.0,4646,49.48,4145,44.15,06/16/2021
1485,Redding,No,9116.0,5737,62.93,5154,56.54,06/16/2021
1486,Resident out of state,,,64593,,52021,,06/16/2021
1487,Ridgefield,No,24959.0,17414,69.77,15482,62.03,06/16/2021
1488,Rocky Hill,No,20115.0,13791,68.56,12621,62.74,06/16/2021
1489,Roxbury,No,2152.0,1590,73.88,1424,66.17,06/16/2021
1490,Salem,No,4083.0,2398,58.73,2225,54.49,06/16/2021
1491,Salisbury,No,3600.0,3141,87.25,2837,78.81,06/16/2021
1492,Scotland,No,1672.0,830,49.64,773,46.23,06/16/2021
1493,Seymour,No,16437.0,9631,58.59,8686,52.84,06/16/2021
1494,Sharon,No,2689.0,1749,65.04,1587,59.02,06/16/2021
1495,Shelton,No,41129.0,25731,62.56,23348,56.77,06/16/2021
1496,Sherman,No,3630.0,2176,59.94,1967,54.19,06/16/2021
1497,Simsbury,No,25395.0,17931,70.61,16324,64.28,06/16/2021
1498,Somers,No,10784.0,5956,55.23,5472,50.74,06/16/2021
1499,South Windsor,No,26162.0,18377,70.24,16758,64.05,06/16/2021
1500,Southbury,No,19571.0,13655,69.77,12512,63.93,06/16/2021
1501,Southington,No,43834.0,28500,65.02,26086,59.51,06/16/2021
1502,Sprague,No,2859.0,1418,49.6,1286,44.98,06/16/2021
1503,Stafford,No,11893.0,5962,50.13,5406,45.46,06/16/2021
1504,Stamford,Yes,129638.0,86364,66.62,74229,57.26,06/16/2021
1505,Sterling,No,3782.0,1480,39.13,1321,34.93,06/16/2021
1506,Stonington,No,18559.0,12216,65.82,11335,61.08,06/16/2021
1507,Stratford,No,51849.0,29492,56.88,26478,51.07,06/16/2021
1508,Suffield,No,15814.0,9599,60.7,8652,54.71,06/16/2021
1509,Thomaston,No,7535.0,4356,57.81,3950,52.42,06/16/2021
1510,Thompson,No,9379.0,3884,41.41,3534,37.68,06/16/2021
1511,Tolland,No,14618.0,9642,65.96,8863,60.63,06/16/2021
1512,Torrington,Yes,34044.0,19640,57.69,17612,51.73,06/16/2021
1513,Trumbull,No,35673.0,24776,69.45,22574,63.28,06/16/2021
1514,Union,No,839.0,486,57.93,451,53.75,06/16/2021
1515,Vernon,Yes,29359.0,18222,62.07,16535,56.32,06/16/2021
1516,Voluntown,No,2510.0,1334,53.15,1236,49.24,06/16/2021
1517,Wallingford,No,44326.0,29649,66.89,27116,61.17,06/16/2021
1518,Warren,No,1395.0,911,65.3,829,59.43,06/16/2021
1519,Washington,No,3428.0,2557,74.59,2297,67.01,06/16/2021
1520,Waterbury,Yes,107568.0,48938,45.49,41545,38.62,06/16/2021
1521,Waterford,Yes,18746.0,12815,68.36,11961,63.81,06/16/2021
1522,Watertown,No,21578.0,13366,61.94,12151,56.31,06/16/2021
1523,West Hartford,Yes,62965.0,46628,74.05,41999,66.7,06/16/2021
1524,West Haven,Yes,54620.0,29984,54.9,26795,49.06,06/16/2021
1525,Westbrook,No,6869.0,4732,68.89,4338,63.15,06/16/2021
1526,Weston,No,10252.0,7310,71.3,6570,64.09,06/16/2021
1527,Westport,No,28491.0,19983,70.14,17906,62.85,06/16/2021
1528,Wethersfield,No,26008.0,18336,70.5,16772,64.49,06/16/2021
1529,Willington,No,5864.0,3214,54.81,2966,50.58,06/16/2021
1530,Wilton,No,18343.0,13454,73.35,12017,65.51,06/16/2021
1531,Winchester,Yes,10604.0,5592,52.73,5076,47.87,06/16/2021
1532,Windham,Yes,24561.0,11624,47.33,10467,42.62,06/16/2021
1533,Windsor,No,28733.0,18561,64.6,16773,58.38,06/16/2021
1534,Windsor Locks,Yes,12854.0,7462,58.05,6752,52.53,06/16/2021
1535,Wolcott,No,16587.0,9794,59.05,8857,53.4,06/16/2021
1536,Woodbridge,No,8750.0,6436,73.55,5950,68.0,06/16/2021
1537,Woodbury,No,9502.0,6203,65.28,5732,60.32,06/16/2021
1538,Woodstock,No,7858.0,4495,57.2,4104,52.23,06/16/2021
1539,Address pending validation,,,16551,,15055,,06/23/2021
1540,Andover,No,3236.0,2013,62.21,1860,57.48,06/23/2021
1541,Ansonia,Yes,18654.0,9392,50.35,8397,45.01,06/23/2021
1542,Ashford,No,4255.0,2481,58.31,2333,54.83,06/23/2021
1543,Avon,No,18276.0,13966,76.42,12762,69.83,06/23/2021
1544,Barkhamsted,No,3606.0,2263,62.76,2115,58.65,06/23/2021
1545,Beacon Falls,No,6222.0,3679,59.13,3340,53.68,06/23/2021
1546,Berlin,No,20436.0,13187,64.53,12272,60.05,06/23/2021
1547,Bethany,No,5548.0,3600,64.89,3350,60.38,06/23/2021
1548,Bethel,No,19800.0,11771,59.45,10614,53.61,06/23/2021
1549,Bethlehem,No,3402.0,2005,58.94,1839,54.06,06/23/2021
1550,Bloomfield,No,21211.0,13809,65.1,12471,58.79,06/23/2021
1551,Bolton,No,4884.0,3162,64.74,2950,60.4,06/23/2021
1552,Bozrah,No,2726.0,1484,54.44,1391,51.03,06/23/2021
1553,Branford,No,27900.0,19472,69.79,17939,64.3,06/23/2021
1554,Bridgeport,Yes,144399.0,66260,45.89,57146,39.58,06/23/2021
1555,Bridgewater,No,1635.0,1180,72.17,1089,66.61,06/23/2021
1556,Bristol,Yes,59947.0,35364,58.99,31966,53.32,06/23/2021
1557,Brookfield,No,16973.0,11280,66.46,10239,60.33,06/23/2021
1558,Brooklyn,No,8272.0,4178,50.51,3856,46.62,06/23/2021
1559,Burlington,No,9704.0,6317,65.1,5836,60.14,06/23/2021
1560,Canaan,No,1053.0,1033,98.1,933,88.6,06/23/2021
1561,Canterbury,No,5079.0,2614,51.47,2371,46.68,06/23/2021
1562,Canton,No,10254.0,6906,67.35,6353,61.96,06/23/2021
1563,Chaplin,No,2239.0,1179,52.66,1087,48.55,06/23/2021
1564,Cheshire,No,28937.0,20508,70.87,19131,66.11,06/23/2021
1565,Chester,No,4213.0,2844,67.51,2639,62.64,06/23/2021
1566,Clinton,No,12925.0,9177,71.0,8459,65.45,06/23/2021
1567,Colchester,No,15809.0,9871,62.44,9081,57.44,06/23/2021
1568,Colebrook,No,1400.0,888,63.43,818,58.43,06/23/2021
1569,Columbia,No,5379.0,3370,62.65,3131,58.21,06/23/2021
1570,Cornwall,No,1362.0,1065,78.19,975,71.59,06/23/2021
1571,Coventry,No,12407.0,7624,61.45,7093,57.17,06/23/2021
1572,Cromwell,No,13839.0,9933,71.78,9164,66.22,06/23/2021
1573,Danbury,Yes,84694.0,50598,59.74,43538,51.41,06/23/2021
1574,Darien,No,21728.0,15781,72.63,14033,64.58,06/23/2021
1575,Deep River,No,4443.0,3126,70.36,2860,64.37,06/23/2021
1576,Derby,Yes,12339.0,7890,63.94,6773,54.89,06/23/2021
1577,Durham,No,7165.0,4854,67.75,4479,62.51,06/23/2021
1578,East Granby,No,5140.0,3398,66.11,3153,61.34,06/23/2021
1579,East Haddam,No,8997.0,5418,60.22,4645,51.63,06/23/2021
1580,East Hampton,No,12800.0,7985,62.38,7358,57.48,06/23/2021
1581,East Hartford,Yes,49872.0,28662,57.47,24790,49.71,06/23/2021
1582,East Haven,Yes,28569.0,15846,55.47,14439,50.54,06/23/2021
1583,East Lyme,No,18462.0,12883,69.78,11991,64.95,06/23/2021
1584,East Windsor,No,11668.0,6559,56.21,5820,49.88,06/23/2021
1585,Eastford,No,1790.0,956,53.41,880,49.16,06/23/2021
1586,Easton,No,7521.0,5084,67.6,4650,61.83,06/23/2021
1587,Ellington,No,16467.0,10164,61.72,9303,56.49,06/23/2021
1588,Enfield,Yes,43659.0,23474,53.77,21271,48.72,06/23/2021
1589,Essex,No,6668.0,5028,75.4,4665,69.96,06/23/2021
1590,Fairfield,No,62045.0,41139,66.31,37425,60.32,06/23/2021
1591,Farmington,No,25497.0,19336,75.84,17735,69.56,06/23/2021
1592,Franklin,No,1920.0,1133,59.01,1059,55.16,06/23/2021
1593,Glastonbury,No,34482.0,25286,73.33,23220,67.34,06/23/2021
1594,Goshen,No,2863.0,1867,65.21,1701,59.41,06/23/2021
1595,Granby,No,11507.0,7450,64.74,6871,59.71,06/23/2021
1596,Greenwich,No,62840.0,42043,66.9,37773,60.11,06/23/2021
1597,Griswold,Yes,11534.0,5641,48.91,5179,44.9,06/23/2021
1598,Groton,Yes,38436.0,20280,52.76,18546,48.25,06/23/2021
1599,Guilford,No,22133.0,16306,73.67,15180,68.59,06/23/2021
1600,Haddam,No,8193.0,5800,70.79,5326,65.01,06/23/2021
1601,Hamden,No,60556.0,36201,59.78,33228,54.87,06/23/2021
1602,Hampton,No,1842.0,1025,55.65,956,51.9,06/23/2021
1603,Hartford,Yes,122105.0,52350,42.87,44203,36.2,06/23/2021
1604,Hartland,No,2120.0,1122,52.92,1045,49.29,06/23/2021
1605,Harwinton,No,5420.0,3338,61.59,3133,57.8,06/23/2021
1606,Hebron,No,9504.0,6176,64.98,5758,60.59,06/23/2021
1607,Kent,No,2777.0,2229,80.27,1981,71.34,06/23/2021
1608,Killingly,Yes,17336.0,8343,48.13,7609,43.89,06/23/2021
1609,Killingworth,No,6364.0,4308,67.69,4019,63.15,06/23/2021
1610,Lebanon,No,7144.0,4254,59.55,3980,55.71,06/23/2021
1611,Ledyard,No,14621.0,8609,58.88,8077,55.24,06/23/2021
1612,Lisbon,No,4220.0,2357,55.85,2177,51.59,06/23/2021
1613,Litchfield,No,8094.0,5406,66.79,4918,60.76,06/23/2021
1614,Lyme,No,2316.0,1880,81.17,1758,75.91,06/23/2021
1615,Madison,No,18030.0,13480,74.76,12508,69.37,06/23/2021
1616,Manchester,Yes,57584.0,34252,59.48,30737,53.38,06/23/2021
1617,Mansfield,No,25487.0,8776,34.43,8173,32.07,06/23/2021
1618,Marlborough,No,6335.0,4173,65.87,3872,61.12,06/23/2021
1619,Meriden,Yes,59395.0,33621,56.61,29617,49.86,06/23/2021
1620,Middlebury,No,7798.0,5281,67.72,4894,62.76,06/23/2021
1621,Middlefield,No,4374.0,2844,65.02,2648,60.54,06/23/2021
1622,Middletown,Yes,46258.0,30761,66.5,28038,60.61,06/23/2021
1623,Milford,Yes,54747.0,35097,64.11,32587,59.52,06/23/2021
1624,Monroe,No,19434.0,12509,64.37,11473,59.04,06/23/2021
1625,Montville,Yes,18508.0,9963,53.83,9240,49.92,06/23/2021
1626,Morris,No,2254.0,1346,59.72,1229,54.53,06/23/2021
1627,Naugatuck,No,31108.0,17114,55.01,15410,49.54,06/23/2021
1628,New Britain,Yes,72495.0,33042,45.58,29008,40.01,06/23/2021
1629,New Canaan,No,20233.0,15009,74.18,13266,65.57,06/23/2021
1630,New Fairfield,No,13878.0,8305,59.84,7557,54.45,06/23/2021
1631,New Hartford,No,6656.0,4187,62.91,3881,58.31,06/23/2021
1632,New Haven,Yes,130250.0,66755,51.25,59664,45.81,06/23/2021
1633,New London,Yes,26858.0,13751,51.2,12219,45.49,06/23/2021
1634,New Milford,No,26805.0,17614,65.71,15944,59.48,06/23/2021
1635,Newington,No,30014.0,20214,67.35,18540,61.77,06/23/2021
1636,Newtown,No,27891.0,18734,67.17,16858,60.44,06/23/2021
1637,Norfolk,No,1630.0,997,61.17,930,57.06,06/23/2021
1638,North Branford,No,14146.0,9572,67.67,8894,62.87,06/23/2021
1639,North Canaan,No,3251.0,1769,54.41,1589,48.88,06/23/2021
1640,North Haven,No,23683.0,17712,74.79,16242,68.58,06/23/2021
1641,North Stonington,No,5196.0,2836,54.58,2643,50.87,06/23/2021
1642,Norwalk,Yes,88816.0,57669,64.93,50474,56.83,06/23/2021
1643,Norwich,Yes,38768.0,20324,52.42,18387,47.43,06/23/2021
1644,Old Lyme,No,7306.0,5314,72.73,4920,67.34,06/23/2021
1645,Old Saybrook,No,10061.0,8127,80.78,7540,74.94,06/23/2021
1646,Orange,Yes,13926.0,9503,68.24,8853,63.57,06/23/2021
1647,Oxford,No,13255.0,8244,62.2,7625,57.53,06/23/2021
1648,Plainfield,Yes,15125.0,7139,47.2,6517,43.09,06/23/2021
1649,Plainville,No,17534.0,10531,60.06,9615,54.84,06/23/2021
1650,Plymouth,No,11598.0,5968,51.46,5435,46.86,06/23/2021
1651,Pomfret,No,4203.0,2497,59.41,2283,54.32,06/23/2021
1652,Portland,No,9267.0,6212,67.03,5718,61.7,06/23/2021
1653,Preston,No,4625.0,2665,57.62,2503,54.12,06/23/2021
1654,Prospect,No,9702.0,5930,61.12,5540,57.1,06/23/2021
1655,Putnam,No,9389.0,4701,50.07,4238,45.14,06/23/2021
1656,Redding,No,9116.0,5776,63.36,5227,57.34,06/23/2021
1657,Resident out of state,,,65696,,53160,,06/23/2021
1658,Ridgefield,No,24959.0,17520,70.2,15770,63.18,06/23/2021
1659,Rocky Hill,No,20115.0,13883,69.02,12815,63.71,06/23/2021
1660,Roxbury,No,2152.0,1598,74.26,1437,66.78,06/23/2021
1661,Salem,No,4083.0,2425,59.39,2267,55.52,06/23/2021
1662,Salisbury,No,3600.0,3147,87.42,2868,79.67,06/23/2021
1663,Scotland,No,1672.0,837,50.06,788,47.13,06/23/2021
1664,Seymour,No,16437.0,9715,59.1,8812,53.61,06/23/2021
1665,Sharon,No,2689.0,1752,65.15,1602,59.58,06/23/2021
1666,Shelton,No,41129.0,26059,63.36,23879,58.06,06/23/2021
1667,Sherman,No,3630.0,2184,60.17,1990,54.82,06/23/2021
1668,Simsbury,No,25395.0,18035,71.02,16577,65.28,06/23/2021
1669,Somers,No,10784.0,5991,55.55,5541,51.38,06/23/2021
1670,South Windsor,No,26162.0,18521,70.79,17082,65.29,06/23/2021
1671,Southbury,No,19571.0,13720,70.1,12655,64.66,06/23/2021
1672,Southington,No,43834.0,28720,65.52,26488,60.43,06/23/2021
1673,Sprague,No,2859.0,1431,50.05,1315,46.0,06/23/2021
1674,Stafford,No,11893.0,6013,50.56,5494,46.2,06/23/2021
1675,Stamford,Yes,129638.0,87405,67.42,75874,58.53,06/23/2021
1676,Sterling,No,3782.0,1489,39.37,1347,35.62,06/23/2021
1677,Stonington,No,18559.0,12267,66.1,11448,61.68,06/23/2021
1678,Stratford,No,51849.0,29819,57.51,27031,52.13,06/23/2021
1679,Suffield,No,15814.0,9652,61.03,8792,55.6,06/23/2021
1680,Thomaston,No,7535.0,4401,58.41,4035,53.55,06/23/2021
1681,Thompson,No,9379.0,3937,41.98,3590,38.28,06/23/2021
1682,Tolland,No,14618.0,9700,66.36,8996,61.54,06/23/2021
1683,Torrington,Yes,34044.0,19849,58.3,17961,52.76,06/23/2021
1684,Trumbull,No,35673.0,24963,69.98,22883,64.15,06/23/2021
1685,Union,No,839.0,487,58.05,453,53.99,06/23/2021
1686,Vernon,Yes,29359.0,18397,62.66,16851,57.4,06/23/2021
1687,Voluntown,No,2510.0,1347,53.67,1250,49.8,06/23/2021
1688,Wallingford,No,44326.0,29862,67.37,27523,62.09,06/23/2021
1689,Warren,No,1395.0,914,65.52,839,60.14,06/23/2021
1690,Washington,No,3428.0,2570,74.97,2319,67.65,06/23/2021
1691,Waterbury,Yes,107568.0,49880,46.37,43012,39.99,06/23/2021
1692,Waterford,Yes,18746.0,12876,68.69,12068,64.38,06/23/2021
1693,Watertown,No,21578.0,13479,62.47,12348,57.22,06/23/2021
1694,West Hartford,Yes,62965.0,46930,74.53,42594,67.65,06/23/2021
1695,West Haven,Yes,54620.0,30376,55.61,27403,50.17,06/23/2021
1696,Westbrook,No,6869.0,4774,69.5,4391,63.92,06/23/2021
1697,Weston,No,10252.0,7360,71.79,6666,65.02,06/23/2021
1698,Westport,No,28491.0,20110,70.58,18137,63.66,06/23/2021
1699,Wethersfield,No,26008.0,18479,71.05,17078,65.66,06/23/2021
1700,Willington,No,5864.0,3238,55.22,3006,51.26,06/23/2021
1701,Wilton,No,18343.0,13555,73.9,12230,66.67,06/23/2021
1702,Winchester,Yes,10604.0,5661,53.39,5165,48.71,06/23/2021
1703,Windham,Yes,24561.0,11734,47.77,10742,43.74,06/23/2021
1704,Windsor,No,28733.0,18729,65.18,17027,59.26,06/23/2021
1705,Windsor Locks,Yes,12854.0,7535,58.62,6877,53.5,06/23/2021
1706,Wolcott,No,16587.0,9863,59.46,9005,54.29,06/23/2021
1707,Woodbridge,No,8750.0,6466,73.9,6000,68.57,06/23/2021
1708,Woodbury,No,9502.0,6234,65.61,5775,60.78,06/23/2021
1709,Woodstock,No,7858.0,4517,57.48,4156,52.89,06/23/2021
1710,Address pending validation,,,16550,,15135,,06/30/2021
1711,Andover,No,3236.0,2020,62.42,1910,59.02,06/30/2021
1712,Ansonia,Yes,18654.0,9525,51.06,8569,45.94,06/30/2021
1713,Ashford,No,4255.0,2500,58.75,2378,55.89,06/30/2021
1714,Avon,No,18276.0,14076,77.02,13079,71.56,06/30/2021
1715,Barkhamsted,No,3606.0,2276,63.12,2159,59.87,06/30/2021
1716,Beacon Falls,No,6222.0,3715,59.71,3403,54.69,06/30/2021
1717,Berlin,No,20436.0,13251,64.84,12526,61.29,06/30/2021
1718,Bethany,No,5548.0,3615,65.16,3411,61.48,06/30/2021
1719,Bethel,No,19800.0,11842,59.81,10855,54.82,06/30/2021
1720,Bethlehem,No,3402.0,2014,59.2,1879,55.23,06/30/2021
1721,Bloomfield,No,21211.0,13921,65.63,12728,60.01,06/30/2021
1722,Bolton,No,4884.0,3181,65.13,2996,61.34,06/30/2021
1723,Bozrah,No,2726.0,1496,54.88,1412,51.8,06/30/2021
1724,Branford,No,27900.0,19614,70.3,18421,66.03,06/30/2021
1725,Bridgeport,Yes,144399.0,67511,46.75,59310,41.07,06/30/2021
1726,Bridgewater,No,1635.0,1181,72.23,1103,67.46,06/30/2021
1727,Bristol,Yes,59947.0,35701,59.55,32784,54.69,06/30/2021
1728,Brookfield,No,16973.0,11350,66.87,10479,61.74,06/30/2021
1729,Brooklyn,No,8272.0,4217,50.98,3925,47.45,06/30/2021
1730,Burlington,No,9704.0,6357,65.51,5966,61.48,06/30/2021
1731,Canaan,No,1053.0,1044,99.15,961,91.26,06/30/2021
1732,Canterbury,No,5079.0,2645,52.08,2466,48.55,06/30/2021
1733,Canton,No,10254.0,6938,67.66,6541,63.79,06/30/2021
1734,Chaplin,No,2239.0,1191,53.19,1104,49.31,06/30/2021
1735,Cheshire,No,28937.0,20618,71.25,19383,66.98,06/30/2021
1736,Chester,No,4213.0,2859,67.86,2698,64.04,06/30/2021
1737,Clinton,No,12925.0,9238,71.47,8637,66.82,06/30/2021
1738,Colchester,No,15809.0,9952,62.95,9308,58.88,06/30/2021
1739,Colebrook,No,1400.0,900,64.29,838,59.86,06/30/2021
1740,Columbia,No,5379.0,3385,62.93,3183,59.17,06/30/2021
1741,Cornwall,No,1362.0,1072,78.71,994,72.98,06/30/2021
1742,Coventry,No,12407.0,7660,61.74,7237,58.33,06/30/2021
1743,Cromwell,No,13839.0,9992,72.2,9334,67.45,06/30/2021
1744,Danbury,Yes,84694.0,51355,60.64,45030,53.17,06/30/2021
1745,Darien,No,21728.0,15867,73.03,14354,66.06,06/30/2021
1746,Deep River,No,4443.0,3137,70.61,2924,65.81,06/30/2021
1747,Derby,Yes,12339.0,7984,64.71,6934,56.2,06/30/2021
1748,Durham,No,7165.0,4880,68.11,4561,63.66,06/30/2021
1749,East Granby,No,5140.0,3417,66.48,3216,62.57,06/30/2021
1750,East Haddam,No,8997.0,5613,62.39,4982,55.37,06/30/2021
1751,East Hampton,No,12800.0,8050,62.89,7568,59.13,06/30/2021
1752,East Hartford,Yes,49872.0,29025,58.2,25620,51.37,06/30/2021
1753,East Haven,Yes,28569.0,16063,56.23,14890,52.12,06/30/2021
1754,East Lyme,No,18462.0,12953,70.16,12204,66.1,06/30/2021
1755,East Windsor,No,11668.0,6614,56.68,6003,51.45,06/30/2021
1756,Eastford,No,1790.0,961,53.69,893,49.89,06/30/2021
1757,Easton,No,7521.0,5131,68.22,4774,63.48,06/30/2021
1758,Ellington,No,16467.0,10245,62.22,9513,57.77,06/30/2021
1759,Enfield,Yes,43659.0,23677,54.23,21884,50.12,06/30/2021
1760,Essex,No,6668.0,5056,75.82,4741,71.1,06/30/2021
1761,Fairfield,No,62045.0,41398,66.72,38289,61.71,06/30/2021
1762,Farmington,No,25497.0,19467,76.35,18091,70.95,06/30/2021
1763,Franklin,No,1920.0,1140,59.38,1077,56.09,06/30/2021
1764,Glastonbury,No,34482.0,25444,73.79,23711,68.76,06/30/2021
1765,Goshen,No,2863.0,1881,65.7,1750,61.12,06/30/2021
1766,Granby,No,11507.0,7488,65.07,7013,60.95,06/30/2021
1767,Greenwich,No,62840.0,42329,67.36,38419,61.14,06/30/2021
1768,Griswold,Yes,11534.0,5707,49.48,5339,46.29,06/30/2021
1769,Groton,Yes,38436.0,20472,53.26,19065,49.6,06/30/2021
1770,Guilford,No,22133.0,16391,74.06,15491,69.99,06/30/2021
1771,Haddam,No,8193.0,5846,71.35,5446,66.47,06/30/2021
1772,Hamden,No,60556.0,36506,60.28,33998,56.14,06/30/2021
1773,Hampton,No,1842.0,1030,55.92,973,52.82,06/30/2021
1774,Hartford,Yes,122105.0,53395,43.73,45839,37.54,06/30/2021
1775,Hartland,No,2120.0,1130,53.3,1066,50.28,06/30/2021
1776,Harwinton,No,5420.0,3356,61.92,3172,58.52,06/30/2021
1777,Hebron,No,9504.0,6210,65.34,5860,61.66,06/30/2021
1778,Kent,No,2777.0,2241,80.7,2032,73.17,06/30/2021
1779,Killingly,Yes,17336.0,8429,48.62,7851,45.29,06/30/2021
1780,Killingworth,No,6364.0,4343,68.24,4097,64.38,06/30/2021
1781,Lebanon,No,7144.0,4280,59.91,4048,56.66,06/30/2021
