,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
731,Easton,No,7521.0,4736,62.97,3997,53.14,05/19/2021
732,Ellington,No,16467.0,9399,57.08,8062,48.96,05/19/2021
733,Enfield,Yes,43659.0,21301,48.79,17880,40.95,05/19/2021
734,Essex,No,6668.0,4845,72.66,4282,64.22,05/19/2021
735,Fairfield,No,62045.0,38541,62.12,31946,51.49,05/19/2021
736,Farmington,No,25497.0,17714,69.47,15278,59.92,05/19/2021
737,Franklin,No,1920.0,1075,55.99,947,49.32,05/19/2021
738,Glastonbury,No,34482.0,23606,68.46,20495,59.44,05/19/2021
739,Goshen,No,2863.0,1733,60.53,1492,52.11,05/19/2021
740,Granby,No,11507.0,6850,59.53,5950,51.71,05/19/2021
741,Greenwich,No,62840.0,39065,62.17,31962,50.86,05/19/2021
742,Griswold,Yes,11534.0,5188,44.98,4345,37.67,05/19/2021
743,Groton,Yes,38436.0,18607,48.41,15545,40.44,05/19/2021
744,Guilford,No,22133.0,15467,69.88,13554,61.24,05/19/2021
745,Haddam,No,8193.0,5441,66.41,4742,57.88,05/19/2021
746,Hamden,No,60556.0,33409,55.17,28721,47.43,05/19/2021
747,Hampton,No,1842.0,972,52.77,841,45.66,05/19/2021
748,Hartford,Yes,122105.0,44261,36.25,34402,28.17,05/19/2021
749,Hartland,No,2120.0,1024,48.3,901,42.5,05/19/2021
750,Harwinton,No,5420.0,3105,57.29,2722,50.22,05/19/2021
751,Hebron,No,9504.0,5748,60.48,5017,52.79,05/19/2021
752,Kent,No,2777.0,2066,74.4,1722,62.01,05/19/2021
753,Killingly,Yes,17336.0,7432,42.87,6163,35.55,05/19/2021
754,Killingworth,No,6364.0,4114,64.64,3642,57.23,05/19/2021
755,Lebanon,No,7144.0,4005,56.06,3507,49.09,05/19/2021
756,Ledyard,No,14621.0,8041,55.0,6931,47.4,05/19/2021
757,Lisbon,No,4220.0,2179,51.64,1878,44.5,05/19/2021
758,Litchfield,No,8094.0,4942,61.06,4113,50.82,05/19/2021
759,Lyme,No,2316.0,1795,77.5,1588,68.57,05/19/2021
