,zip,status,Number,rpt_date
0,,Active,101,01/04/2023
1,,Deceased,192,01/04/2023
2,,Recovered*,14485,01/04/2023
3,73002.0,Active,1 to 4,01/04/2023
4,73002.0,Deceased,8,01/04/2023
5,73002.0,Recovered*,323,01/04/2023
6,73003.0,Active,40,01/04/2023
7,73003.0,Deceased,53,01/04/2023
8,73003.0,Recovered*,6670,01/04/2023
9,73004.0,Active,1 to 4,01/04/2023
10,73004.0,Deceased,8,01/04/2023
11,73004.0,Recovered*,278,01/04/2023
12,73005.0,Active,17,01/04/2023
13,73005.0,Deceased,63,01/04/2023
14,73005.0,Recovered*,3623,01/04/2023
15,73006.0,Active,6,01/04/2023
16,73006.0,Deceased,15,01/04/2023
17,73006.0,Recovered*,1196,01/04/2023
18,73007.0,Active,6,01/04/2023
19,73007.0,Deceased,1 to 4,01/04/2023
20,73007.0,Recovered*,951,01/04/2023
21,73008.0,Active,37,01/04/2023
22,73008.0,Deceased,77,01/04/2023
23,73008.0,Recovered*,5631,01/04/2023
24,73009.0,Deceased,16,01/04/2023
25,73009.0,Recovered*,458,01/04/2023
26,73010.0,Active,46,01/04/2023
27,73010.0,Deceased,71,01/04/2023
28,73010.0,Recovered*,6585,01/04/2023
29,73011.0,Deceased,1 to 4,01/04/2023
30,73011.0,Recovered*,104,01/04/2023
31,73012.0,Active,82,01/04/2023
32,73012.0,Deceased,70,01/04/2023
33,73012.0,Recovered*,12059,01/04/2023
34,73013.0,Active,103,01/04/2023
35,73013.0,Deceased,141,01/04/2023
36,73013.0,Recovered*,16927,01/04/2023
37,73014.0,Deceased,5,01/04/2023
38,73014.0,Recovered*,412,01/04/2023
39,73015.0,Active,1 to 4,01/04/2023
40,73015.0,Deceased,39,01/04/2023
41,73015.0,Recovered*,1046,01/04/2023
42,73016.0,Active,6,01/04/2023
43,73016.0,Deceased,5,01/04/2023
44,73016.0,Recovered*,604,01/04/2023
45,73017.0,Active,1 to 4,01/04/2023
46,73017.0,Deceased,1 to 4,01/04/2023
47,73017.0,Recovered*,535,01/04/2023
48,73018.0,Active,31,01/04/2023
49,73018.0,Deceased,125,01/04/2023
50,73018.0,Recovered*,6069,01/04/2023
51,73019.0,Recovered*,94,01/04/2023
52,73020.0,Active,81,01/04/2023
53,73020.0,Deceased,82,01/04/2023
54,73020.0,Recovered*,6894,01/04/2023
55,73021.0,Active,1 to 4,01/04/2023
56,73021.0,Deceased,1 to 4,01/04/2023
57,73021.0,Recovered*,90,01/04/2023
58,73024.0,Active,1 to 4,01/04/2023
59,73024.0,Deceased,10,01/04/2023
60,73024.0,Recovered*,179,01/04/2023
61,73025.0,Active,15,01/04/2023
62,73025.0,Deceased,28,01/04/2023
63,73025.0,Recovered*,4355,01/04/2023
