,EventWk_ending_date,Jurisdictions,DoD_cases_7dy,DoD_cases_7dy_ave,cases
0,01/04/2020,ALL OK Counties,6.0,0.8571428571,6
1,01/11/2020,ALL OK Counties,1.0,0.1428571429,7
2,01/18/2020,ALL OK Counties,3.0,0.4285714286,10
3,01/25/2020,ALL OK Counties,1.0,0.1428571429,11
4,02/01/2020,ALL OK Counties,2.0,0.2857142857,13
5,02/08/2020,ALL OK Counties,2.0,0.2857142857,15
6,02/15/2020,ALL OK Counties,2.0,0.2857142857,17
7,02/22/2020,ALL OK Counties,9.0,1.2857142857,26
8,02/29/2020,ALL OK Counties,19.0,2.7142857143,45
9,03/07/2020,ALL OK Counties,60.0,8.5714285714,105
10,03/14/2020,ALL OK Counties,250.0,35.714285714,355
11,03/21/2020,ALL OK Counties,584.0,83.428571429,939
12,03/28/2020,ALL OK Counties,611.0,87.285714286,1550
13,04/04/2020,ALL OK Counties,596.0,85.142857143,2146
14,04/11/2020,ALL OK Counties,632.0,90.285714286,2778
15,04/18/2020,ALL OK Counties,553.0,79.0,3331
16,04/25/2020,ALL OK Counties,621.0,88.714285714,3952
17,05/02/2020,ALL OK Counties,749.0,107.0,4701
18,05/09/2020,ALL OK Counties,628.0,89.714285714,5329
19,05/16/2020,ALL OK Counties,807.0,115.28571429,6136
20,05/23/2020,ALL OK Counties,548.0,78.285714286,6684
21,05/30/2020,ALL OK Counties,676.0,96.571428571,7360
22,06/06/2020,ALL OK Counties,1160.0,165.71428571,8520
23,06/13/2020,ALL OK Counties,2190.0,312.85714286,10710
24,06/20/2020,ALL OK Counties,3297.0,471.0,14007
25,06/27/2020,ALL OK Counties,3682.0,526.0,17689
26,07/04/2020,ALL OK Counties,4841.0,691.57142857,22530
27,07/11/2020,ALL OK Counties,6078.0,868.28571429,28608
28,07/18/2020,ALL OK Counties,5779.0,825.57142857,34387
29,07/25/2020,ALL OK Counties,4930.0,704.28571429,39317
30,08/01/2020,ALL OK Counties,4251.0,607.28571429,43568
31,08/08/2020,ALL OK Counties,4416.0,630.85714286,47984
32,08/15/2020,ALL OK Counties,4739.0,677.0,52723
33,08/22/2020,ALL OK Counties,4443.0,634.71428571,57166
34,08/29/2020,ALL OK Counties,5586.0,798.0,62752
35,09/05/2020,ALL OK Counties,6216.0,888.0,68968
36,09/12/2020,ALL OK Counties,6352.0,907.42857143,75320
37,09/19/2020,ALL OK Counties,8095.0,1156.4285714,83415
38,09/26/2020,ALL OK Counties,7598.0,1085.4285714,91013
39,10/03/2020,ALL OK Counties,7766.0,1109.4285714,98779
40,10/10/2020,ALL OK Counties,8568.0,1224.0,107347
41,10/17/2020,ALL OK Counties,8410.0,1201.4285714,115757
42,10/24/2020,ALL OK Counties,9571.0,1367.2857143,125328
43,10/31/2020,ALL OK Counties,10290.0,1470.0,135618
44,11/07/2020,ALL OK Counties,17343.0,2477.5714286,152961
45,11/14/2020,ALL OK Counties,23126.0,3303.7142857,176087
46,11/21/2020,ALL OK Counties,22854.0,3264.8571429,198941
47,11/28/2020,ALL OK Counties,19239.0,2748.4285714,218180
48,12/05/2020,ALL OK Counties,22727.0,3246.7142857,240907
