,City,status,Number,rpt_date
0,,Active,248,01/04/2023
1,,Deceased,401,01/04/2023
2,,Recovered*,35163,01/04/2023
3,Achille,Active,1 to 4,01/04/2023
4,Achille,Deceased,1 to 4,01/04/2023
5,Achille,Recovered*,136,01/04/2023
6,Ada,Active,134,01/04/2023
7,Ada,Deceased,136,01/04/2023
8,Ada,Recovered*,12925,01/04/2023
9,Adair,Active,1 to 4,01/04/2023
10,Adair,Deceased,5,01/04/2023
11,Adair,Recovered*,865,01/04/2023
12,Addington,Deceased,1 to 4,01/04/2023
13,Addington,Recovered*,15,01/04/2023
14,Afton,Active,11,01/04/2023
15,Afton,Deceased,16,01/04/2023
16,Afton,Recovered*,1703,01/04/2023
17,Agra,Active,1 to 4,01/04/2023
18,Agra,Deceased,1 to 4,01/04/2023
19,Agra,Recovered*,291,01/04/2023
20,Albion,Recovered*,41,01/04/2023
21,Alderson,Deceased,1 to 4,01/04/2023
22,Alderson,Recovered*,119,01/04/2023
23,Alex,Active,1 to 4,01/04/2023
24,Alex,Deceased,8,01/04/2023
25,Alex,Recovered*,320,01/04/2023
26,Aline,Active,1 to 4,01/04/2023
27,Aline,Deceased,1 to 4,01/04/2023
28,Aline,Recovered*,138,01/04/2023
29,Allen,Active,5,01/04/2023
30,Allen,Deceased,6,01/04/2023
31,Allen,Recovered*,689,01/04/2023
32,Altus,Active,38,01/04/2023
33,Altus,Deceased,95,01/04/2023
34,Altus,Recovered*,6462,01/04/2023
35,Alva,Active,12,01/04/2023
36,Alva,Deceased,40,01/04/2023
37,Alva,Recovered*,2148,01/04/2023
38,Amber,Active,1 to 4,01/04/2023
39,Amber,Deceased,8,01/04/2023
40,Amber,Recovered*,271,01/04/2023
41,Ames,Active,1 to 4,01/04/2023
42,Ames,Recovered*,142,01/04/2023
43,Amorita,Recovered*,33,01/04/2023
44,Anadarko,Active,18,01/04/2023
45,Anadarko,Deceased,64,01/04/2023
46,Anadarko,Recovered*,3613,01/04/2023
47,Antlers,Active,12,01/04/2023
48,Antlers,Deceased,28,01/04/2023
49,Antlers,Recovered*,1681,01/04/2023
50,Apache,Active,6,01/04/2023
51,Apache,Deceased,14,01/04/2023
52,Apache,Recovered*,1184,01/04/2023
53,Arapaho,Active,5,01/04/2023
54,Arapaho,Deceased,5,01/04/2023
55,Arapaho,Recovered*,347,01/04/2023
56,Arcadia,Active,6,01/04/2023
57,Arcadia,Deceased,1 to 4,01/04/2023
58,Arcadia,Recovered*,951,01/04/2023
59,Ardmore,Active,292,01/04/2023
60,Ardmore,Deceased,175,01/04/2023
61,Ardmore,Recovered*,13864,01/04/2023
62,Arkoma,Deceased,1 to 4,01/04/2023
63,Arkoma,Recovered*,432,01/04/2023
64,Arnett,Deceased,1 to 4,01/04/2023
65,Arnett,Recovered*,178,01/04/2023
66,Asher,Deceased,6,01/04/2023
67,Asher,Recovered*,353,01/04/2023
68,Atoka,Active,18,01/04/2023
69,Atoka,Deceased,42,01/04/2023
70,Atoka,Recovered*,3425,01/04/2023
71,Atwood,Deceased,1 to 4,01/04/2023
72,Atwood,Recovered*,88,01/04/2023
73,Avant,Active,1 to 4,01/04/2023
74,Avant,Deceased,1 to 4,01/04/2023
75,Avant,Recovered*,73,01/04/2023
76,Barnsdall,Active,6,01/04/2023
77,Barnsdall,Deceased,12,01/04/2023
78,Barnsdall,Recovered*,639,01/04/2023
79,Bartlesville,Active,88,01/04/2023
80,Bartlesville,Deceased,219,01/04/2023
81,Bartlesville,Recovered*,11537,01/04/2023
82,Bearden,Recovered*,1 to 4,01/04/2023
83,Beaver,Active,1 to 4,01/04/2023
84,Beaver,Deceased,7,01/04/2023
85,Beaver,Recovered*,561,01/04/2023
86,Beggs,Active,7,01/04/2023
87,Beggs,Deceased,13,01/04/2023
88,Beggs,Recovered*,1368,01/04/2023
89,Bennington,Active,6,01/04/2023
90,Bennington,Deceased,6,01/04/2023
91,Bennington,Recovered*,436,01/04/2023
92,Bernice,Active,1 to 4,01/04/2023
93,Bernice,Deceased,1 to 4,01/04/2023
94,Bernice,Recovered*,139,01/04/2023
95,Bessie,Deceased,1 to 4,01/04/2023
96,Bessie,Recovered*,74,01/04/2023
97,Bethany,Active,36,01/04/2023
98,Bethany,Deceased,75,01/04/2023
99,Bethany,Recovered*,5705,01/04/2023
100,Bethel Acres,Recovered*,13,01/04/2023
101,Big Cabin,Active,1 to 4,01/04/2023
102,Big Cabin,Deceased,8,01/04/2023
103,Big Cabin,Recovered*,599,01/04/2023
104,Billings,Deceased,5,01/04/2023
105,Billings,Recovered*,323,01/04/2023
106,Binger,Deceased,17,01/04/2023
107,Binger,Recovered*,408,01/04/2023
108,Bixby,Active,67,01/04/2023
109,Bixby,Deceased,80,01/04/2023
110,Bixby,Recovered*,10413,01/04/2023
111,Blackburn,Recovered*,15,01/04/2023
112,Blackwell,Active,9,01/04/2023
113,Blackwell,Deceased,44,01/04/2023
114,Blackwell,Recovered*,1783,01/04/2023
115,Blair,Active,1 to 4,01/04/2023
116,Blair,Deceased,8,01/04/2023
117,Blair,Recovered*,659,01/04/2023
118,Blanchard,Active,45,01/04/2023
119,Blanchard,Deceased,69,01/04/2023
120,Blanchard,Recovered*,6591,01/04/2023
121,Bluejacket,Active,1 to 4,01/04/2023
122,Bluejacket,Deceased,1 to 4,01/04/2023
123,Bluejacket,Recovered*,394,01/04/2023
124,Boise City,Active,1 to 4,01/04/2023
125,Boise City,Deceased,7,01/04/2023
126,Boise City,Recovered*,474,01/04/2023
127,Bokchito,Active,6,01/04/2023
128,Bokchito,Deceased,1 to 4,01/04/2023
129,Bokchito,Recovered*,676,01/04/2023
130,Bokoshe,Active,6,01/04/2023
131,Bokoshe,Deceased,5,01/04/2023
132,Bokoshe,Recovered*,602,01/04/2023
133,Boley,Active,1 to 4,01/04/2023
134,Boley,Deceased,11,01/04/2023
135,Boley,Recovered*,648,01/04/2023
136,Boswell,Active,5,01/04/2023
137,Boswell,Deceased,6,01/04/2023
138,Boswell,Recovered*,716,01/04/2023
139,Bowlegs,Active,1 to 4,01/04/2023
140,Bowlegs,Deceased,1 to 4,01/04/2023
141,Bowlegs,Recovered*,44,01/04/2023
142,Boynton,Deceased,1 to 4,01/04/2023
143,Boynton,Recovered*,183,01/04/2023
144,Bradley,Deceased,1 to 4,01/04/2023
145,Bradley,Recovered*,98,01/04/2023
146,Braggs,Active,6,01/04/2023
147,Braggs,Deceased,1 to 4,01/04/2023
148,Braggs,Recovered*,301,01/04/2023
149,Braman,Deceased,1 to 4,01/04/2023
150,Braman,Recovered*,97,01/04/2023
151,Bray,Recovered*,5,01/04/2023
152,Bridge Creek,Recovered*,1 to 4,01/04/2023
153,Bridgeport,Recovered*,1 to 4,01/04/2023
154,Bristow,Active,14,01/04/2023
155,Bristow,Deceased,62,01/04/2023
156,Bristow,Recovered*,2678,01/04/2023
157,Broken Arrow,Active,297,01/04/2023
158,Broken Arrow,Deceased,453,01/04/2023
159,Broken Arrow,Recovered*,45670,01/04/2023
160,Broken Bow,Active,12,01/04/2023
161,Broken Bow,Deceased,65,01/04/2023
162,Broken Bow,Recovered*,3035,01/04/2023
163,Bromide,Deceased,1 to 4,01/04/2023
164,Bromide,Recovered*,62,01/04/2023
165,Buffalo,Active,1 to 4,01/04/2023
166,Buffalo,Deceased,7,01/04/2023
167,Buffalo,Recovered*,309,01/04/2023
168,Burbank,Active,1 to 4,01/04/2023
169,Burbank,Deceased,1 to 4,01/04/2023
170,Burbank,Recovered*,117,01/04/2023
171,Burlington,Active,1 to 4,01/04/2023
172,Burlington,Deceased,1 to 4,01/04/2023
173,Burlington,Recovered*,64,01/04/2023
174,Burns Flat,Active,6,01/04/2023
175,Burns Flat,Deceased,7,01/04/2023
176,Burns Flat,Recovered*,411,01/04/2023
177,Butler,Deceased,1 to 4,01/04/2023
178,Butler,Recovered*,124,01/04/2023
