,Reporting period end date,Weekly total
0,11/29/2020,36
1,12/06/2020,42
2,12/13/2020,9201
3,12/20/2020,29621
4,12/27/2020,44150
5,01/03/2021,56670
6,01/10/2021,55857
7,01/17/2021,87177
8,01/24/2021,77430
9,01/31/2021,50548
10,02/07/2021,74313
11,02/14/2021,84796
12,02/21/2021,86572
13,02/28/2021,149955
14,03/07/2021,149281
15,03/14/2021,129756
16,03/21/2021,149811
17,03/28/2021,157766
18,04/04/2021,200963
19,04/11/2021,170075
20,04/18/2021,131974
21,04/25/2021,92389
22,05/02/2021,52262
23,05/09/2021,65111
24,05/16/2021,81790
25,05/23/2021,43918
26,05/30/2021,26595
27,06/06/2021,24147
28,06/13/2021,21086
29,06/20/2021,19829
30,06/27/2021,18185
31,07/04/2021,15803
32,07/11/2021,18246
33,07/18/2021,22477
34,07/25/2021,26276
35,08/01/2021,29480
36,08/08/2021,26440
37,08/15/2021,25340
38,08/22/2021,24718
39,08/29/2021,21408
40,09/05/2021,15933
41,09/12/2021,16563
42,09/19/2021,16113
43,09/26/2021,15370
44,10/03/2021,12645
45,10/10/2021,11172
46,10/17/2021,11769
47,10/24/2021,15452
48,10/31/2021,20640
49,11/07/2021,43541
50,11/14/2021,38313
51,11/21/2021,22427
52,11/28/2021,22573
53,12/05/2021,26383
54,12/12/2021,26211
55,12/19/2021,22033
56,12/26/2021,22195
57,01/02/2022,23453
58,01/09/2022,20621
59,01/16/2022,14973
60,01/23/2022,11009
61,01/30/2022,8844
62,02/06/2022,7935
63,02/13/2022,6289
64,02/20/2022,4874
65,02/27/2022,4595
66,03/06/2022,3279
67,03/13/2022,2930
68,03/20/2022,2853
69,03/27/2022,2948
70,04/03/2022,2966
71,04/10/2022,2972
72,04/17/2022,2691
73,04/24/2022,2750
74,05/01/2022,2515
75,05/08/2022,2650
76,05/15/2022,2781
77,05/22/2022,2765
78,05/29/2022,1944
79,06/05/2022,2073
80,06/12/2022,1836
81,06/19/2022,4222
82,06/26/2022,4299
83,07/03/2022,3473
84,07/10/2022,4203
85,07/17/2022,3781
86,07/24/2022,3354
87,07/31/2022,3074
88,08/07/2022,2930
89,08/14/2022,2839
90,08/21/2022,3075
91,08/28/2022,1936
92,09/04/2022,1249
93,09/11/2022,1335
94,09/18/2022,1331
95,09/25/2022,1157
96,10/02/2022,1147
97,10/09/2022,1130
98,10/16/2022,1216
99,10/23/2022,988
100,10/30/2022,942
101,11/06/2022,999
102,11/13/2022,1017
103,11/20/2022,438
104,11/27/2022,601
105,12/04/2022,662
106,12/11/2022,708
107,12/18/2022,555
108,12/25/2022,454
109,01/01/2023,116
