,City,status,Number,rpt_date
0,,Active,2224,01/11/2022
1,,Deceased,171,01/11/2022
2,,Recovered*,17880,01/11/2022
3,Achille,Active,1 to 4,01/11/2022
4,Achille,Deceased,1 to 4,01/11/2022
5,Achille,Recovered*,83,01/11/2022
6,Ada,Active,490,01/11/2022
7,Ada,Deceased,90,01/11/2022
8,Ada,Recovered*,6121,01/11/2022
9,Adair,Active,25,01/11/2022
10,Adair,Deceased,1 to 4,01/11/2022
11,Adair,Recovered*,489,01/11/2022
12,Addington,Recovered*,13,01/11/2022
13,Afton,Active,54,01/11/2022
14,Afton,Deceased,14,01/11/2022
15,Afton,Recovered*,1037,01/11/2022
16,Agra,Active,1 to 4,01/11/2022
17,Agra,Deceased,1 to 4,01/11/2022
18,Agra,Recovered*,171,01/11/2022
19,Albion,Active,1 to 4,01/11/2022
20,Albion,Recovered*,22,01/11/2022
21,Alderson,Active,7,01/11/2022
22,Alderson,Deceased,1 to 4,01/11/2022
23,Alderson,Recovered*,46,01/11/2022
24,Alex,Active,13,01/11/2022
25,Alex,Deceased,6,01/11/2022
26,Alex,Recovered*,201,01/11/2022
27,Aline,Active,1 to 4,01/11/2022
28,Aline,Deceased,1 to 4,01/11/2022
29,Aline,Recovered*,94,01/11/2022
30,Allen,Active,24,01/11/2022
31,Allen,Deceased,1 to 4,01/11/2022
32,Allen,Recovered*,373,01/11/2022
33,Altus,Active,254,01/11/2022
34,Altus,Deceased,79,01/11/2022
35,Altus,Recovered*,3561,01/11/2022
36,Alva,Active,44,01/11/2022
37,Alva,Deceased,27,01/11/2022
38,Alva,Recovered*,1478,01/11/2022
39,Amber,Active,14,01/11/2022
40,Amber,Deceased,7,01/11/2022
41,Amber,Recovered*,161,01/11/2022
42,Ames,Active,1 to 4,01/11/2022
43,Ames,Recovered*,76,01/11/2022
44,Amorita,Active,1 to 4,01/11/2022
45,Amorita,Recovered*,20,01/11/2022
46,Anadarko,Active,182,01/11/2022
47,Anadarko,Deceased,49,01/11/2022
48,Anadarko,Recovered*,1903,01/11/2022
49,Antlers,Active,36,01/11/2022
50,Antlers,Deceased,25,01/11/2022
51,Antlers,Recovered*,989,01/11/2022
52,Apache,Active,50,01/11/2022
53,Apache,Deceased,10,01/11/2022
54,Apache,Recovered*,713,01/11/2022
55,Arapaho,Active,1 to 4,01/11/2022
56,Arapaho,Deceased,5,01/11/2022
57,Arapaho,Recovered*,224,01/11/2022
58,Arcadia,Active,71,01/11/2022
59,Arcadia,Deceased,1 to 4,01/11/2022
60,Arcadia,Recovered*,492,01/11/2022
61,Ardmore,Active,541,01/11/2022
62,Ardmore,Deceased,139,01/11/2022
63,Ardmore,Recovered*,7101,01/11/2022
64,Arkoma,Active,10,01/11/2022
65,Arkoma,Deceased,1 to 4,01/11/2022
66,Arkoma,Recovered*,250,01/11/2022
67,Arnett,Active,5,01/11/2022
68,Arnett,Deceased,1 to 4,01/11/2022
69,Arnett,Recovered*,111,01/11/2022
70,Asher,Active,17,01/11/2022
71,Asher,Deceased,1 to 4,01/11/2022
72,Asher,Recovered*,196,01/11/2022
73,Atoka,Active,91,01/11/2022
74,Atoka,Deceased,30,01/11/2022
75,Atoka,Recovered*,2215,01/11/2022
76,Atwood,Active,1 to 4,01/11/2022
77,Atwood,Deceased,1 to 4,01/11/2022
78,Atwood,Recovered*,52,01/11/2022
79,Avant,Active,1 to 4,01/11/2022
80,Avant,Deceased,1 to 4,01/11/2022
81,Avant,Recovered*,58,01/11/2022
82,Barnsdall,Active,9,01/11/2022
83,Barnsdall,Deceased,10,01/11/2022
84,Barnsdall,Recovered*,407,01/11/2022
85,Bartlesville,Active,269,01/11/2022
86,Bartlesville,Deceased,167,01/11/2022
87,Bartlesville,Recovered*,6883,01/11/2022
88,Bearden,Recovered*,1 to 4,01/11/2022
89,Beaver,Active,20,01/11/2022
90,Beaver,Deceased,6,01/11/2022
91,Beaver,Recovered*,322,01/11/2022
92,Beggs,Active,47,01/11/2022
93,Beggs,Deceased,10,01/11/2022
94,Beggs,Recovered*,764,01/11/2022
95,Bennington,Active,13,01/11/2022
96,Bennington,Deceased,1 to 4,01/11/2022
97,Bennington,Recovered*,253,01/11/2022
98,Bernice,Active,1 to 4,01/11/2022
99,Bernice,Deceased,1 to 4,01/11/2022
100,Bernice,Recovered*,73,01/11/2022
101,Bessie,Active,1 to 4,01/11/2022
102,Bessie,Deceased,1 to 4,01/11/2022
103,Bessie,Recovered*,51,01/11/2022
104,Bethany,Active,380,01/11/2022
105,Bethany,Deceased,56,01/11/2022
106,Bethany,Recovered*,3146,01/11/2022
107,Bethel Acres,Recovered*,1 to 4,01/11/2022
108,Big Cabin,Active,23,01/11/2022
109,Big Cabin,Deceased,6,01/11/2022
110,Big Cabin,Recovered*,362,01/11/2022
111,Billings,Active,1 to 4,01/11/2022
112,Billings,Deceased,1 to 4,01/11/2022
113,Billings,Recovered*,220,01/11/2022
114,Binger,Active,8,01/11/2022
115,Binger,Deceased,15,01/11/2022
116,Binger,Recovered*,268,01/11/2022
117,Bixby,Active,445,01/11/2022
118,Bixby,Deceased,60,01/11/2022
119,Bixby,Recovered*,5795,01/11/2022
120,Blackburn,Recovered*,13,01/11/2022
121,Blackwell,Active,57,01/11/2022
122,Blackwell,Deceased,41,01/11/2022
123,Blackwell,Recovered*,1082,01/11/2022
124,Blair,Active,20,01/11/2022
125,Blair,Deceased,6,01/11/2022
126,Blair,Recovered*,382,01/11/2022
127,Blanchard,Active,352,01/11/2022
128,Blanchard,Deceased,49,01/11/2022
129,Blanchard,Recovered*,3715,01/11/2022
130,Bluejacket,Active,11,01/11/2022
131,Bluejacket,Deceased,1 to 4,01/11/2022
132,Bluejacket,Recovered*,252,01/11/2022
133,Boise City,Active,15,01/11/2022
134,Boise City,Deceased,1 to 4,01/11/2022
135,Boise City,Recovered*,281,01/11/2022
136,Bokchito,Active,23,01/11/2022
137,Bokchito,Deceased,1 to 4,01/11/2022
138,Bokchito,Recovered*,403,01/11/2022
139,Bokoshe,Active,20,01/11/2022
140,Bokoshe,Deceased,5,01/11/2022
141,Bokoshe,Recovered*,346,01/11/2022
142,Boley,Active,1 to 4,01/11/2022
143,Boley,Deceased,11,01/11/2022
144,Boley,Recovered*,565,01/11/2022
145,Boswell,Active,12,01/11/2022
146,Boswell,Deceased,5,01/11/2022
147,Boswell,Recovered*,434,01/11/2022
148,Bowlegs,Active,1 to 4,01/11/2022
149,Bowlegs,Deceased,1 to 4,01/11/2022
