,zip,status,Number,rpt_date
0,,Active,487,01/11/2022
1,,Deceased,155,01/11/2022
2,,Recovered*,9177,01/11/2022
3,73002.0,Active,13,01/11/2022
4,73002.0,Deceased,6,01/11/2022
5,73002.0,Recovered*,202,01/11/2022
6,73003.0,Active,493,01/11/2022
7,73003.0,Deceased,38,01/11/2022
8,73003.0,Recovered*,3333,01/11/2022
9,73004.0,Active,14,01/11/2022
10,73004.0,Deceased,7,01/11/2022
11,73004.0,Recovered*,161,01/11/2022
12,73005.0,Active,183,01/11/2022
13,73005.0,Deceased,48,01/11/2022
14,73005.0,Recovered*,1909,01/11/2022
15,73006.0,Active,51,01/11/2022
16,73006.0,Deceased,10,01/11/2022
17,73006.0,Recovered*,718,01/11/2022
18,73007.0,Active,74,01/11/2022
19,73007.0,Deceased,1 to 4,01/11/2022
20,73007.0,Recovered*,486,01/11/2022
21,73008.0,Active,383,01/11/2022
22,73008.0,Deceased,57,01/11/2022
23,73008.0,Recovered*,3130,01/11/2022
24,73009.0,Active,10,01/11/2022
25,73009.0,Deceased,14,01/11/2022
26,73009.0,Recovered*,278,01/11/2022
27,73010.0,Active,353,01/11/2022
28,73010.0,Deceased,49,01/11/2022
29,73010.0,Recovered*,3709,01/11/2022
30,73011.0,Active,6,01/11/2022
31,73011.0,Deceased,1 to 4,01/11/2022
32,73011.0,Recovered*,54,01/11/2022
33,73012.0,Active,888,01/11/2022
34,73012.0,Deceased,57,01/11/2022
35,73012.0,Recovered*,5967,01/11/2022
36,73013.0,Active,1303,01/11/2022
37,73013.0,Deceased,102,01/11/2022
38,73013.0,Recovered*,8377,01/11/2022
39,73014.0,Active,9,01/11/2022
40,73014.0,Deceased,1 to 4,01/11/2022
41,73014.0,Recovered*,219,01/11/2022
42,73015.0,Active,39,01/11/2022
43,73015.0,Deceased,30,01/11/2022
44,73015.0,Recovered*,606,01/11/2022
45,73016.0,Active,32,01/11/2022
46,73016.0,Deceased,1 to 4,01/11/2022
47,73016.0,Recovered*,363,01/11/2022
48,73017.0,Active,14,01/11/2022
49,73017.0,Deceased,1 to 4,01/11/2022
50,73017.0,Recovered*,345,01/11/2022
51,73018.0,Active,252,01/11/2022
52,73018.0,Deceased,109,01/11/2022
53,73018.0,Recovered*,3559,01/11/2022
54,73019.0,Active,6,01/11/2022
55,73019.0,Recovered*,49,01/11/2022
56,73020.0,Active,413,01/11/2022
57,73020.0,Deceased,63,01/11/2022
58,73020.0,Recovered*,3737,01/11/2022
59,73021.0,Deceased,1 to 4,01/11/2022
60,73021.0,Recovered*,60,01/11/2022
61,73024.0,Active,9,01/11/2022
62,73024.0,Deceased,5,01/11/2022
63,73024.0,Recovered*,104,01/11/2022
64,73025.0,Active,324,01/11/2022
65,73025.0,Deceased,19,01/11/2022
66,73025.0,Recovered*,2447,01/11/2022
67,73026.0,Active,232,01/11/2022
68,73026.0,Deceased,19,01/11/2022
69,73026.0,Recovered*,1797,01/11/2022
70,73027.0,Active,16,01/11/2022
71,73027.0,Recovered*,153,01/11/2022
