,RPT_Date,Jurisdictions,Cases,DoD_Cases,DoD_Cases_7dy,DoD_Cases_7dy_ave
92,24DEC2020,,124.0,19.0,38.0,5.4285714286
93,25DEC2020,,137.0,13.0,63.0,9.0
94,26DEC2020,,151.0,14.0,84.0,12.0
95,27DEC2020,,153.0,2.0,63.0,9.0
96,28DEC2020,,184.0,31.0,92.0,13.142857142999999
97,29DEC2020,,209.0,25.0,112.0,16.0
98,30DEC2020,,222.0,13.0,117.0,16.714285714000003
99,31DEC2020,,236.0,14.0,112.0,16.0
100,01JAN2021,,296.0,60.0,159.0,22.714285714000003
101,02JAN2021,,436.0,140.0,285.0,40.714285714
102,03JAN2021,,460.0,24.0,307.0,43.857142857
103,04JAN2021,,456.0,-4.0,272.0,38.857142857
104,05JAN2021,,456.0,0.0,247.0,35.285714286
105,06JAN2021,,461.0,5.0,239.0,34.142857143
106,07JAN2021,,423.0,-38.0,187.0,26.714285714000003
107,08JAN2021,,182.0,-241.0,-114.0,-16.28571429
108,09JAN2021,,101.0,-81.0,-335.0,-47.85714286
109,10JAN2021,,100.0,-1.0,-360.0,-51.42857143
110,11JAN2021,,99.0,-1.0,-357.0,-51.0
111,12JAN2021,,99.0,0.0,-357.0,-51.0
112,13JAN2021,,115.0,16.0,-346.0,-49.42857143
113,14JAN2021,,117.0,2.0,-306.0,-43.71428571
114,15JAN2021,,133.0,16.0,-49.0,-7.0
115,16JAN2021,,143.0,10.0,42.0,6.0
116,17JAN2021,,144.0,1.0,44.0,6.2857142857
117,18JAN2021,,146.0,2.0,47.0,6.7142857143
118,19JAN2021,,146.0,0.0,47.0,6.7142857143
119,20JAN2021,,154.0,8.0,39.0,5.5714285714
120,21JAN2021,,143.0,-11.0,26.0,3.7142857143
121,22JAN2021,,144.0,1.0,11.0,1.5714285713999998
122,23JAN2021,,123.0,-21.0,-20.0,-2.857142857
123,24JAN2021,,89.0,-34.0,-55.0,-7.857142857
124,25JAN2021,,90.0,1.0,-56.0,-8.0
125,26JAN2021,,90.0,0.0,-56.0,-8.0
126,27JAN2021,,94.0,4.0,-60.0,-8.571428571
127,28JAN2021,,89.0,-5.0,-54.0,-7.714285714
128,29JAN2021,,89.0,0.0,-55.0,-7.857142857
129,30JAN2021,,133.0,44.0,10.0,1.4285714286000002
130,31JAN2021,,134.0,1.0,45.0,6.4285714286
131,01FEB2021,,137.0,3.0,47.0,6.7142857143
132,02FEB2021,,135.0,-2.0,45.0,6.4285714286
133,03FEB2021,,139.0,4.0,45.0,6.4285714286
134,04FEB2021,,115.0,-24.0,26.0,3.7142857143
135,05FEB2021,,55.0,-60.0,-34.0,-4.8571428569999995
136,06FEB2021,,32.0,-23.0,-101.0,-14.42857143
137,07FEB2021,,21.0,-11.0,-113.0,-16.14285714
138,08FEB2021,,34.0,13.0,-103.0,-14.71428571
139,09FEB2021,,36.0,2.0,-99.0,-14.14285714
140,10FEB2021,,26.0,-10.0,-113.0,-16.14285714
141,11FEB2021,,13.0,-13.0,-102.0,-14.57142857
142,12FEB2021,,10.0,-3.0,-45.0,-6.428571429
143,13FEB2021,,10.0,0.0,-22.0,-3.142857143
144,14FEB2021,,9.0,-1.0,-12.0,-1.714285714
145,15FEB2021,,13.0,4.0,-21.0,-3.0
146,16FEB2021,,12.0,-1.0,-24.0,-3.428571429
147,17FEB2021,,2.0,-10.0,-24.0,-3.428571429
148,18FEB2021,,11.0,9.0,-2.0,-0.28571428600000004
149,19FEB2021,,4.0,-7.0,-6.0,-0.857142857
150,20FEB2021,,11.0,7.0,1.0,0.14285714289999998
151,21FEB2021,,1.0,-10.0,-8.0,-1.142857143
152,22FEB2021,,1.0,0.0,-12.0,-1.714285714
153,23FEB2021,,2.0,1.0,-10.0,-1.428571429
154,25FEB2021,,1.0,,0.0,0.0
155,26FEB2021,,3.0,2.0,-7.0,-1.0
156,27FEB2021,,2.0,-1.0,-1.0,-0.14285714300000002
157,28FEB2021,,1.0,-1.0,-9.0,-1.285714286
158,01MAR2021,,2.0,1.0,2.0,0.2857142857
159,02MAR2021,,2.0,0.0,2.0,0.2857142857
160,03MAR2021,,2.0,0.0,1.0,0.14285714289999998
161,04MAR2021,,3.0,1.0,2.0,0.2857142857
162,05MAR2021,,4.0,1.0,1.0,0.14285714289999998
163,06MAR2021,,8.0,4.0,6.0,0.8571428570999999
164,07MAR2021,,5.0,-3.0,4.0,0.5714285714
165,08MAR2021,,7.0,2.0,5.0,0.7142857143000001
166,09MAR2021,,7.0,0.0,5.0,0.7142857143000001
167,10MAR2021,,4.0,-3.0,2.0,0.2857142857
168,11MAR2021,,8.0,4.0,5.0,0.7142857143000001
169,12MAR2021,,17.0,9.0,13.0,1.8571428571000002
170,13MAR2021,,7.0,-10.0,-1.0,-0.14285714300000002
171,14MAR2021,,10.0,3.0,5.0,0.7142857143000001
172,15MAR2021,,12.0,2.0,5.0,0.7142857143000001
173,16MAR2021,,13.0,1.0,6.0,0.8571428570999999
174,17MAR2021,,6.0,-7.0,2.0,0.2857142857
175,18MAR2021,,4.0,-2.0,-4.0,-0.571428571
176,19MAR2021,,5.0,1.0,-12.0,-1.714285714
177,20MAR2021,,10.0,5.0,3.0,0.42857142859999997
178,21MAR2021,,5.0,-5.0,-5.0,-0.7142857140000001
179,22MAR2021,,5.0,0.0,-7.0,-1.0
180,23MAR2021,,6.0,1.0,-7.0,-1.0
181,24MAR2021,,7.0,1.0,1.0,0.14285714289999998
182,25MAR2021,,4.0,-3.0,0.0,0.0
183,26MAR2021,,8.0,4.0,3.0,0.42857142859999997
184,27MAR2021,,1.0,-7.0,-9.0,-1.285714286
185,31MAR2021,,2.0,,-4.0,-0.571428571
186,01APR2021,,2.0,0.0,-4.0,-0.571428571
187,02APR2021,,4.0,2.0,-3.0,-0.428571429
188,03APR2021,,2.0,-2.0,-6.0,-0.857142857
189,04APR2021,,2.0,0.0,-3.0,-0.428571429
190,05APR2021,,2.0,0.0,-7.0,-1.0
191,06APR2021,,2.0,0.0,0.0,0.0
192,07APR2021,,2.0,0.0,0.0,0.0
193,08APR2021,,3.0,1.0,1.0,0.14285714289999998
194,09APR2021,,4.0,1.0,0.0,0.0
195,10APR2021,,4.0,0.0,2.0,0.2857142857
196,11APR2021,,2.0,-2.0,0.0,0.0
197,12APR2021,,2.0,0.0,0.0,0.0
198,13APR2021,,2.0,0.0,0.0,0.0
199,14APR2021,,5.0,3.0,3.0,0.42857142859999997
200,15APR2021,,6.0,1.0,3.0,0.42857142859999997
201,16APR2021,,3.0,-3.0,-1.0,-0.14285714300000002
202,17APR2021,,2.0,-1.0,-2.0,-0.28571428600000004
203,18APR2021,,2.0,0.0,0.0,0.0
204,19APR2021,,20.0,18.0,18.0,2.5714285714
205,20APR2021,,20.0,0.0,18.0,2.5714285714
206,21APR2021,,3.0,-17.0,-2.0,-0.28571428600000004
207,22APR2021,,14.0,11.0,8.0,1.1428571429
208,23APR2021,,12.0,-2.0,9.0,1.2857142857
209,28APR2021,,3.0,,10.0,1.4285714286000002
210,29APR2021,,1.0,-2.0,8.0,1.1428571429
211,05MAY2021,,1.0,,-10.0,-1.428571429
212,18MAY2021,,1.0,,-10.0,-1.428571429
213,21MAY2021,,2.0,,7.0,1.0
214,23MAY2021,,2.0,,-4.0,-0.571428571
215,24MAY2021,,2.0,0.0,-2.0,-0.28571428600000004
216,25MAY2021,,1.0,-1.0,-3.0,-0.428571429
217,06JUN2021,,1.0,,-1.0,-0.14285714300000002
218,13JUN2021,,2.0,,-1.0,-0.14285714300000002
219,16JUN2021,,1.0,,-1.0,-0.14285714300000002
220,17JUN2021,,1.0,0.0,-1.0,-0.14285714300000002
221,30JUN2021,,1.0,,-1.0,-0.14285714300000002
222,06JUL2021,,1.0,,-1.0,-0.14285714300000002
223,08JUL2021,,3.0,,0.0,0.0
224,09JUL2021,,4.0,1.0,1.0,0.14285714289999998
225,10JUL2021,,3.0,-1.0,0.0,0.0
226,11JUL2021,,3.0,0.0,0.0,0.0
227,12JUL2021,,8.0,5.0,5.0,0.7142857143000001
228,13JUL2021,,8.0,0.0,5.0,0.7142857143000001
229,14JUL2021,,4.0,-4.0,1.0,0.14285714289999998
230,15JUL2021,,1.0,-3.0,-2.0,-0.28571428600000004
231,16JUL2021,,1.0,0.0,-3.0,-0.428571429
232,17JUL2021,,2.0,1.0,-1.0,-0.14285714300000002
233,18JUL2021,,4.0,2.0,1.0,0.14285714289999998
234,19JUL2021,,6.0,2.0,-2.0,-0.28571428600000004
235,20JUL2021,,6.0,0.0,-2.0,-0.28571428600000004
236,21JUL2021,,12.0,6.0,8.0,1.1428571429
237,22JUL2021,,21.0,9.0,20.0,2.8571428571
238,23JUL2021,,35.0,14.0,34.0,4.8571428570999995
239,24JUL2021,,36.0,1.0,34.0,4.8571428570999995
240,25JUL2021,,49.0,13.0,45.0,6.4285714286
241,26JUL2021,,56.0,7.0,50.0,7.1428571429
242,27JUL2021,,68.0,12.0,62.0,8.857142857100001
243,28JUL2021,,67.0,-1.0,55.0,7.8571428571
244,29JUL2021,,78.0,11.0,57.0,8.142857142899999
245,30JUL2021,,90.0,12.0,55.0,7.8571428571
246,31JUL2021,,97.0,7.0,61.0,8.714285714299999
247,01AUG2021,,101.0,4.0,52.0,7.4285714286
248,02AUG2021,,103.0,2.0,47.0,6.7142857143
249,03AUG2021,,99.0,-4.0,31.0,4.4285714286
250,04AUG2021,,102.0,3.0,35.0,5.0
251,05AUG2021,,95.0,-7.0,17.0,2.4285714286
252,06AUG2021,,107.0,12.0,17.0,2.4285714286
253,07AUG2021,,123.0,16.0,26.0,3.7142857143
254,08AUG2021,,125.0,2.0,24.0,3.4285714286
255,09AUG2021,,127.0,2.0,24.0,3.4285714286
256,10AUG2021,,120.0,-7.0,21.0,3.0
257,11AUG2021,,113.0,-7.0,11.0,1.5714285713999998
258,12AUG2021,,105.0,-8.0,10.0,1.4285714286000002
259,13AUG2021,,111.0,6.0,4.0,0.5714285714
260,14AUG2021,,125.0,14.0,2.0,0.2857142857
261,15AUG2021,,117.0,-8.0,-8.0,-1.142857143
262,16AUG2021,,120.0,3.0,-7.0,-1.0
263,17AUG2021,,121.0,1.0,1.0,0.14285714289999998
264,18AUG2021,,134.0,13.0,21.0,3.0
265,19AUG2021,,137.0,3.0,32.0,4.5714285714
266,20AUG2021,,150.0,13.0,39.0,5.5714285714
267,21AUG2021,,148.0,-2.0,23.0,3.2857142857
268,22AUG2021,,161.0,13.0,44.0,6.2857142857
269,23AUG2021,,183.0,22.0,63.0,9.0
270,24AUG2021,,184.0,1.0,63.0,9.0
271,25AUG2021,,211.0,27.0,77.0,11.0
272,26AUG2021,,213.0,2.0,76.0,10.857142857000001
273,27AUG2021,,228.0,15.0,78.0,11.142857142999999
274,28AUG2021,,248.0,20.0,100.0,14.285714286
275,29AUG2021,,251.0,3.0,90.0,12.857142857000001
276,30AUG2021,,259.0,8.0,76.0,10.857142857000001
277,31AUG2021,,262.0,3.0,78.0,11.142857142999999
278,01SEP2021,,268.0,6.0,57.0,8.142857142899999
279,02SEP2021,,287.0,19.0,74.0,10.571428571
280,03SEP2021,,290.0,3.0,62.0,8.857142857100001
281,04SEP2021,,299.0,9.0,51.0,7.2857142857
282,05SEP2021,,327.0,28.0,76.0,10.857142857000001
283,06SEP2021,,330.0,3.0,71.0,10.142857142999999
284,07SEP2021,,331.0,1.0,69.0,9.857142857100001
285,08SEP2021,,333.0,2.0,65.0,9.285714285700001
286,09SEP2021,,257.0,-76.0,-30.0,-4.285714286
287,10SEP2021,,264.0,7.0,-26.0,-3.714285714
288,11SEP2021,,272.0,8.0,-27.0,-3.857142857
289,12SEP2021,,294.0,22.0,-33.0,-4.714285714
290,13SEP2021,,299.0,5.0,-31.0,-4.428571429
291,14SEP2021,,305.0,6.0,-26.0,-3.714285714
292,15SEP2021,,305.0,0.0,-28.0,-4.0
293,16SEP2021,,288.0,-17.0,31.0,4.4285714286
294,17SEP2021,,284.0,-4.0,20.0,2.8571428571
295,18SEP2021,,294.0,10.0,22.0,3.1428571429
296,19SEP2021,,295.0,1.0,1.0,0.14285714289999998
297,20SEP2021,,239.0,-56.0,-60.0,-8.571428571
298,21SEP2021,,231.0,-8.0,-74.0,-10.57142857
299,22SEP2021,,233.0,2.0,-72.0,-10.28571429
