,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
78,ADAMS,2021-04-27,0.0,4.0,0.0,0.0,4.0
79,ADAMS,2021-04-28,0.0,18.0,6.0,0.0,24.0
80,ADAMS,2021-04-29,0.0,0.0,4.0,0.0,4.0
81,ADAMS,2021-05-02,0.0,0.0,1.0,0.0,1.0
82,ADAMS,2021-05-04,0.0,4.0,0.0,0.0,4.0
83,ADAMS,2021-05-05,1.0,19.0,1.0,0.0,21.0
84,ADAMS,2021-05-06,0.0,0.0,2.0,0.0,2.0
85,ADAMS,2021-05-07,0.0,1.0,0.0,0.0,1.0
86,ADAMS,2021-05-11,0.0,1.0,0.0,0.0,1.0
87,ADAMS,2021-05-12,0.0,0.0,1.0,0.0,1.0
88,ADAMS,2021-05-13,0.0,1.0,2.0,0.0,3.0
89,ADAMS,2021-05-14,0.0,1.0,0.0,0.0,1.0
90,ADAMS,2021-05-17,0.0,3.0,0.0,0.0,3.0
91,ADAMS,2021-05-18,0.0,12.0,7.0,0.0,19.0
92,ADAMS,2021-05-19,0.0,6.0,1.0,0.0,7.0
93,ADAMS,2021-05-20,0.0,0.0,2.0,0.0,2.0
94,ADAMS,2021-05-21,0.0,10.0,1.0,0.0,11.0
95,ADAMS,2021-05-24,0.0,2.0,0.0,0.0,2.0
96,ADAMS,2021-05-26,0.0,11.0,1.0,0.0,12.0
97,ADAMS,2021-05-27,0.0,0.0,1.0,0.0,1.0
98,ADAMS,2021-05-28,0.0,0.0,1.0,0.0,1.0
99,ADAMS,2021-06-01,0.0,2.0,0.0,0.0,2.0
100,ADAMS,2021-06-02,3.0,10.0,1.0,0.0,14.0
101,ADAMS,2021-06-03,0.0,4.0,1.0,0.0,5.0
102,ADAMS,2021-06-07,0.0,0.0,3.0,0.0,3.0
103,ADAMS,2021-06-09,1.0,0.0,0.0,0.0,1.0
104,ADAMS,2021-06-10,0.0,0.0,1.0,0.0,1.0
105,ADAMS,2021-06-11,0.0,2.0,1.0,0.0,3.0
106,ADAMS,2021-06-15,0.0,4.0,6.0,0.0,10.0
107,ADAMS,2021-06-16,0.0,6.0,0.0,0.0,6.0
108,ADAMS,2021-06-21,0.0,1.0,2.0,0.0,3.0
109,ADAMS,2021-06-22,0.0,1.0,0.0,0.0,1.0
110,ADAMS,2021-06-23,0.0,3.0,0.0,0.0,3.0
111,ADAMS,2021-06-24,1.0,0.0,0.0,0.0,1.0
112,ADAMS,2021-06-28,2.0,0.0,4.0,0.0,6.0
113,ADAMS,2021-06-30,0.0,4.0,1.0,0.0,5.0
114,ADAMS,2021-07-01,0.0,1.0,0.0,0.0,1.0
115,ADAMS,2021-07-08,0.0,1.0,0.0,0.0,1.0
116,ADAMS,2021-07-12,0.0,0.0,4.0,0.0,4.0
117,ADAMS,2021-07-14,0.0,0.0,3.0,0.0,3.0
118,ADAMS,2021-07-15,0.0,0.0,1.0,0.0,1.0
119,ADAMS,2021-07-20,0.0,1.0,0.0,0.0,1.0
120,ADAMS,2021-07-21,0.0,1.0,1.0,0.0,2.0
121,ADAMS,2021-07-23,0.0,1.0,0.0,0.0,1.0
122,ADAMS,2021-07-26,0.0,5.0,3.0,0.0,8.0
123,ADAMS,2021-07-27,0.0,0.0,3.0,0.0,3.0
124,ADAMS,2021-08-02,0.0,0.0,2.0,0.0,2.0
125,ADAMS,2021-08-03,0.0,0.0,4.0,0.0,4.0
126,ADAMS,2021-08-04,0.0,1.0,4.0,0.0,5.0
127,ADAMS,2021-08-05,0.0,1.0,2.0,0.0,3.0
128,ADAMS,2021-08-06,0.0,2.0,0.0,0.0,2.0
129,ADAMS,2021-08-07,0.0,0.0,1.0,0.0,1.0
130,ADAMS,2021-08-09,0.0,0.0,1.0,0.0,1.0
131,ADAMS,2021-08-10,0.0,0.0,1.0,0.0,1.0
132,ADAMS,2021-08-11,0.0,0.0,2.0,0.0,2.0
133,ADAMS,2021-08-12,0.0,0.0,3.0,0.0,3.0
134,ADAMS,2021-08-13,0.0,2.0,0.0,0.0,2.0
135,ADAMS,2021-08-17,0.0,3.0,12.0,0.0,15.0
136,ADAMS,2021-08-18,0.0,1.0,0.0,0.0,1.0
137,ADAMS,2021-08-19,0.0,1.0,3.0,0.0,4.0
138,ADAMS,2021-08-20,0.0,4.0,0.0,0.0,4.0
139,ADAMS,2021-08-23,0.0,2.0,2.0,0.0,4.0
140,ADAMS,2021-08-24,0.0,0.0,2.0,0.0,2.0
141,ADAMS,2021-08-25,0.0,11.0,0.0,0.0,11.0
