,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
82,Clinton,45-64,No,4373.0,3013,68.9,1962,44.87,04/21/2021
83,Clinton,65+,No,2391.0,2596,100.0,2313,96.74,04/21/2021
84,Colchester,15-44,No,5920.0,2396,40.47,1131,19.1,04/21/2021
85,Colchester,45-64,No,5117.0,3426,66.95,2350,45.93,04/21/2021
86,Colchester,65+,No,2144.0,2259,100.0,2108,98.32,04/21/2021
87,Colebrook,15-44,No,436.0,129,29.59,57,13.07,04/21/2021
88,Colebrook,45-64,No,555.0,309,55.68,200,36.04,04/21/2021
89,Colebrook,65+,No,261.0,272,100.0,236,90.42,04/21/2021
90,Columbia,15-44,No,1727.0,697,40.36,333,19.28,04/21/2021
91,Columbia,45-64,No,1863.0,1175,63.07,809,43.42,04/21/2021
92,Columbia,65+,No,1018.0,1019,100.0,932,91.55,04/21/2021
93,Cornwall,15-44,No,323.0,136,42.11,37,11.46,04/21/2021
94,Cornwall,45-64,No,553.0,359,64.92,193,34.9,04/21/2021
95,Cornwall,65+,No,360.0,376,100.0,332,92.22,04/21/2021
96,Coventry,15-44,No,4477.0,1823,40.72,813,18.16,04/21/2021
97,Coventry,45-64,No,4160.0,2646,63.61,1736,41.73,04/21/2021
98,Coventry,65+,No,1674.0,1787,100.0,1615,96.48,04/21/2021
99,Cromwell,15-44,No,5030.0,2386,47.44,1124,22.35,04/21/2021
100,Cromwell,45-64,No,4301.0,3129,72.75,2061,47.92,04/21/2021
101,Cromwell,65+,No,2499.0,2743,100.0,2437,97.52,04/21/2021
102,Danbury,15-44,Yes,37157.0,9615,25.88,3626,9.76,04/21/2021
103,Danbury,45-64,Yes,22092.0,13435,60.81,7067,31.99,04/21/2021
104,Danbury,65+,Yes,9823.0,9749,99.25,8116,82.62,04/21/2021
105,Darien,15-44,No,6841.0,3874,56.63,943,13.78,04/21/2021
106,Darien,45-64,No,6257.0,5634,90.04,3145,50.26,04/21/2021
107,Darien,65+,No,2605.0,2594,99.58,2280,87.52,04/21/2021
108,Deep River,15-44,No,1558.0,632,40.56,276,17.72,04/21/2021
