,Reporting period end date,Weekly total
0,12/19/2020,8340
1,12/26/2020,28304
2,01/02/2021,42650
3,01/09/2021,62569
4,01/16/2021,68971
5,01/23/2021,103663
6,01/30/2021,121655
7,02/06/2021,94640
8,02/13/2021,146376
9,02/20/2021,156707
10,02/27/2021,143833
11,03/06/2021,195979
12,03/13/2021,218201
13,03/20/2021,212988
14,03/27/2021,230719
15,04/03/2021,279949
16,04/10/2021,315917
17,04/17/2021,298540
18,04/24/2021,280295
19,05/01/2021,234457
20,05/08/2021,208263
21,05/15/2021,194522
22,05/22/2021,182612
23,05/29/2021,100170
24,06/05/2021,79748
25,06/12/2021,89512
26,06/19/2021,62310
27,06/26/2021,44126
28,07/03/2021,36778
29,07/10/2021,31447
30,07/17/2021,33699
31,07/24/2021,36806
32,07/31/2021,38999
33,08/07/2021,42779
34,08/14/2021,42735
35,08/21/2021,50401
36,08/28/2021,51521
37,09/04/2021,46884
38,09/11/2021,37440
39,09/18/2021,39521
40,09/25/2021,42922
