,zip,status,Number,rpt_date
0,,Active,146,07/06/2022
1,,Deceased,184,07/06/2022
2,,Recovered*,12696,07/06/2022
3,73002.0,Active,1 to 4,07/06/2022
4,73002.0,Deceased,7,07/06/2022
5,73002.0,Recovered*,273,07/06/2022
6,73003.0,Active,112,07/06/2022
7,73003.0,Deceased,52,07/06/2022
8,73003.0,Recovered*,5747,07/06/2022
9,73004.0,Active,7,07/06/2022
10,73004.0,Deceased,8,07/06/2022
11,73004.0,Recovered*,238,07/06/2022
12,73005.0,Active,59,07/06/2022
13,73005.0,Deceased,60,07/06/2022
14,73005.0,Recovered*,3044,07/06/2022
15,73006.0,Active,12,07/06/2022
16,73006.0,Deceased,12,07/06/2022
17,73006.0,Recovered*,1057,07/06/2022
18,73007.0,Active,9,07/06/2022
19,73007.0,Deceased,1 to 4,07/06/2022
20,73007.0,Recovered*,831,07/06/2022
21,73008.0,Active,64,07/06/2022
22,73008.0,Deceased,68,07/06/2022
23,73008.0,Recovered*,4890,07/06/2022
24,73009.0,Active,5,07/06/2022
25,73009.0,Deceased,16,07/06/2022
26,73009.0,Recovered*,394,07/06/2022
27,73010.0,Active,64,07/06/2022
28,73010.0,Deceased,68,07/06/2022
29,73010.0,Recovered*,5701,07/06/2022
30,73011.0,Deceased,1 to 4,07/06/2022
31,73011.0,Recovered*,84,07/06/2022
32,73012.0,Active,177,07/06/2022
33,73012.0,Deceased,64,07/06/2022
34,73012.0,Recovered*,10490,07/06/2022
35,73013.0,Active,297,07/06/2022
36,73013.0,Deceased,129,07/06/2022
37,73013.0,Recovered*,14456,07/06/2022
38,73014.0,Active,1 to 4,07/06/2022
39,73014.0,Deceased,5,07/06/2022
40,73014.0,Recovered*,378,07/06/2022
41,73015.0,Active,10,07/06/2022
42,73015.0,Deceased,36,07/06/2022
43,73015.0,Recovered*,888,07/06/2022
44,73016.0,Active,1 to 4,07/06/2022
45,73016.0,Deceased,5,07/06/2022
46,73016.0,Recovered*,529,07/06/2022
47,73017.0,Active,14,07/06/2022
48,73017.0,Deceased,1 to 4,07/06/2022
49,73017.0,Recovered*,456,07/06/2022
50,73018.0,Active,55,07/06/2022
51,73018.0,Deceased,120,07/06/2022
52,73018.0,Recovered*,5064,07/06/2022
53,73019.0,Active,1 to 4,07/06/2022
54,73019.0,Recovered*,75,07/06/2022
55,73020.0,Active,79,07/06/2022
56,73020.0,Deceased,77,07/06/2022
57,73020.0,Recovered*,5780,07/06/2022
58,73021.0,Deceased,1 to 4,07/06/2022
59,73021.0,Recovered*,77,07/06/2022
60,73024.0,Active,1 to 4,07/06/2022
61,73024.0,Deceased,9,07/06/2022
62,73024.0,Recovered*,149,07/06/2022
63,73025.0,Active,61,07/06/2022
64,73025.0,Deceased,25,07/06/2022
65,73025.0,Recovered*,3867,07/06/2022
66,73026.0,Active,51,07/06/2022
67,73026.0,Deceased,29,07/06/2022
68,73026.0,Recovered*,2996,07/06/2022
69,73027.0,Active,1 to 4,07/06/2022
70,73027.0,Deceased,1 to 4,07/06/2022
71,73027.0,Recovered*,223,07/06/2022
72,73028.0,Active,8,07/06/2022
73,73028.0,Deceased,11,07/06/2022
74,73028.0,Recovered*,669,07/06/2022
75,73029.0,Active,5,07/06/2022
76,73029.0,Deceased,6,07/06/2022
77,73029.0,Recovered*,422,07/06/2022
78,73030.0,Active,20,07/06/2022
79,73030.0,Deceased,23,07/06/2022
80,73030.0,Recovered*,1493,07/06/2022
81,73032.0,Deceased,1 to 4,07/06/2022
82,73032.0,Recovered*,61,07/06/2022
83,73033.0,Deceased,1 to 4,07/06/2022
84,73033.0,Recovered*,99,07/06/2022
85,73034.0,Active,205,07/06/2022
86,73034.0,Deceased,95,07/06/2022
87,73034.0,Recovered*,11713,07/06/2022
88,73036.0,Active,37,07/06/2022
89,73036.0,Deceased,76,07/06/2022
90,73036.0,Recovered*,5322,07/06/2022
91,73038.0,Active,8,07/06/2022
92,73038.0,Deceased,8,07/06/2022
93,73038.0,Recovered*,495,07/06/2022
94,73040.0,Active,1 to 4,07/06/2022
95,73040.0,Deceased,10,07/06/2022
96,73040.0,Recovered*,408,07/06/2022
97,73041.0,Active,1 to 4,07/06/2022
98,73041.0,Deceased,1 to 4,07/06/2022
99,73041.0,Recovered*,70,07/06/2022
100,73042.0,Active,5,07/06/2022
101,73042.0,Deceased,7,07/06/2022
102,73042.0,Recovered*,291,07/06/2022
103,73043.0,Deceased,1 to 4,07/06/2022
104,73043.0,Recovered*,36,07/06/2022
105,73044.0,Active,108,07/06/2022
106,73044.0,Deceased,109,07/06/2022
107,73044.0,Recovered*,6039,07/06/2022
108,73045.0,Active,53,07/06/2022
109,73045.0,Deceased,39,07/06/2022
110,73045.0,Recovered*,3247,07/06/2022
111,73047.0,Active,7,07/06/2022
112,73047.0,Deceased,8,07/06/2022
113,73047.0,Recovered*,896,07/06/2022
114,73048.0,Active,5,07/06/2022
115,73048.0,Deceased,12,07/06/2022
116,73048.0,Recovered*,512,07/06/2022
117,73049.0,Active,23,07/06/2022
118,73049.0,Deceased,27,07/06/2022
119,73049.0,Recovered*,1498,07/06/2022
120,73050.0,Deceased,1 to 4,07/06/2022
121,73050.0,Recovered*,119,07/06/2022
122,73051.0,Active,21,07/06/2022
123,73051.0,Deceased,45,07/06/2022
124,73051.0,Recovered*,2493,07/06/2022
