,City,status,Number,rpt_date
0,,Active,399,07/06/2022
1,,Deceased,239,07/06/2022
2,,Recovered*,32618,07/06/2022
3,Achille,Active,1 to 4,07/06/2022
4,Achille,Deceased,1 to 4,07/06/2022
5,Achille,Recovered*,117,07/06/2022
6,Ada,Active,190,07/06/2022
7,Ada,Deceased,125,07/06/2022
8,Ada,Recovered*,10172,07/06/2022
9,Adair,Active,1 to 4,07/06/2022
10,Adair,Deceased,5,07/06/2022
11,Adair,Recovered*,758,07/06/2022
12,Addington,Deceased,1 to 4,07/06/2022
13,Addington,Recovered*,15,07/06/2022
14,Afton,Active,24,07/06/2022
15,Afton,Deceased,16,07/06/2022
16,Afton,Recovered*,1467,07/06/2022
17,Agra,Deceased,1 to 4,07/06/2022
18,Agra,Recovered*,238,07/06/2022
19,Albion,Recovered*,35,07/06/2022
20,Alderson,Active,5,07/06/2022
21,Alderson,Deceased,1 to 4,07/06/2022
22,Alderson,Recovered*,97,07/06/2022
23,Alex,Active,1 to 4,07/06/2022
24,Alex,Deceased,7,07/06/2022
25,Alex,Recovered*,271,07/06/2022
26,Aline,Deceased,1 to 4,07/06/2022
27,Aline,Recovered*,121,07/06/2022
28,Allen,Active,8,07/06/2022
29,Allen,Deceased,6,07/06/2022
30,Allen,Recovered*,579,07/06/2022
31,Altus,Active,62,07/06/2022
32,Altus,Deceased,92,07/06/2022
33,Altus,Recovered*,5403,07/06/2022
34,Alva,Active,15,07/06/2022
35,Alva,Deceased,33,07/06/2022
36,Alva,Recovered*,1931,07/06/2022
37,Amber,Active,7,07/06/2022
38,Amber,Deceased,8,07/06/2022
39,Amber,Recovered*,230,07/06/2022
40,Ames,Active,1 to 4,07/06/2022
41,Ames,Recovered*,121,07/06/2022
42,Amorita,Recovered*,30,07/06/2022
43,Anadarko,Active,59,07/06/2022
44,Anadarko,Deceased,61,07/06/2022
45,Anadarko,Recovered*,3032,07/06/2022
46,Antlers,Active,14,07/06/2022
47,Antlers,Deceased,27,07/06/2022
48,Antlers,Recovered*,1427,07/06/2022
49,Apache,Active,12,07/06/2022
50,Apache,Deceased,12,07/06/2022
51,Apache,Recovered*,1050,07/06/2022
52,Arapaho,Active,1 to 4,07/06/2022
53,Arapaho,Deceased,5,07/06/2022
54,Arapaho,Recovered*,311,07/06/2022
55,Arcadia,Active,10,07/06/2022
56,Arcadia,Deceased,1 to 4,07/06/2022
57,Arcadia,Recovered*,833,07/06/2022
58,Ardmore,Active,173,07/06/2022
59,Ardmore,Deceased,168,07/06/2022
