,zip,status,Number,rpt_date
0,,Active,116,02/22/2022
1,,Deceased,168,02/22/2022
2,,Recovered*,12164,02/22/2022
3,73002.0,Active,1 to 4,02/22/2022
4,73002.0,Deceased,7,02/22/2022
5,73002.0,Recovered*,264,02/22/2022
6,73003.0,Active,42,02/22/2022
7,73003.0,Deceased,44,02/22/2022
8,73003.0,Recovered*,5181,02/22/2022
9,73004.0,Deceased,7,02/22/2022
10,73004.0,Recovered*,234,02/22/2022
11,73005.0,Active,43,02/22/2022
12,73005.0,Deceased,51,02/22/2022
13,73005.0,Recovered*,2910,02/22/2022
14,73006.0,Active,14,02/22/2022
15,73006.0,Deceased,11,02/22/2022
16,73006.0,Recovered*,1015,02/22/2022
17,73007.0,Active,17,02/22/2022
18,73007.0,Deceased,1 to 4,02/22/2022
19,73007.0,Recovered*,739,02/22/2022
20,73008.0,Active,46,02/22/2022
21,73008.0,Deceased,65,02/22/2022
22,73008.0,Recovered*,4594,02/22/2022
23,73009.0,Active,1 to 4,02/22/2022
24,73009.0,Deceased,15,02/22/2022
25,73009.0,Recovered*,384,02/22/2022
26,73010.0,Active,32,02/22/2022
27,73010.0,Deceased,60,02/22/2022
28,73010.0,Recovered*,5472,02/22/2022
29,73011.0,Active,1 to 4,02/22/2022
30,73011.0,Deceased,1 to 4,02/22/2022
31,73011.0,Recovered*,78,02/22/2022
32,73012.0,Active,85,02/22/2022
33,73012.0,Deceased,58,02/22/2022
34,73012.0,Recovered*,9424,02/22/2022
35,73013.0,Active,113,02/22/2022
36,73013.0,Deceased,120,02/22/2022
37,73013.0,Recovered*,12923,02/22/2022
38,73014.0,Active,1 to 4,02/22/2022
39,73014.0,Deceased,1 to 4,02/22/2022
40,73014.0,Recovered*,366,02/22/2022
41,73015.0,Active,10,02/22/2022
42,73015.0,Deceased,34,02/22/2022
43,73015.0,Recovered*,863,02/22/2022
44,73016.0,Active,1 to 4,02/22/2022
45,73016.0,Deceased,1 to 4,02/22/2022
46,73016.0,Recovered*,504,02/22/2022
47,73017.0,Active,1 to 4,02/22/2022
48,73017.0,Deceased,1 to 4,02/22/2022
49,73017.0,Recovered*,441,02/22/2022
50,73018.0,Active,46,02/22/2022
51,73018.0,Deceased,117,02/22/2022
52,73018.0,Recovered*,4874,02/22/2022
53,73019.0,Active,1 to 4,02/22/2022
54,73019.0,Recovered*,69,02/22/2022
55,73020.0,Active,44,02/22/2022
56,73020.0,Deceased,69,02/22/2022
57,73020.0,Recovered*,5446,02/22/2022
58,73021.0,Deceased,1 to 4,02/22/2022
59,73021.0,Recovered*,75,02/22/2022
60,73024.0,Active,1 to 4,02/22/2022
61,73024.0,Deceased,6,02/22/2022
62,73024.0,Recovered*,144,02/22/2022
63,73025.0,Active,20,02/22/2022
64,73025.0,Deceased,23,02/22/2022
65,73025.0,Recovered*,3575,02/22/2022
66,73026.0,Active,19,02/22/2022
67,73026.0,Deceased,24,02/22/2022
68,73026.0,Recovered*,2821,02/22/2022
69,73027.0,Active,1 to 4,02/22/2022
70,73027.0,Recovered*,219,02/22/2022
71,73028.0,Active,1 to 4,02/22/2022
72,73028.0,Deceased,10,02/22/2022
73,73028.0,Recovered*,646,02/22/2022
74,73029.0,Active,5,02/22/2022
75,73029.0,Deceased,6,02/22/2022
76,73029.0,Recovered*,395,02/22/2022
77,73030.0,Active,15,02/22/2022
78,73030.0,Deceased,21,02/22/2022
79,73030.0,Recovered*,1457,02/22/2022
80,73032.0,Recovered*,60,02/22/2022
81,73033.0,Active,1 to 4,02/22/2022
82,73033.0,Deceased,1 to 4,02/22/2022
83,73033.0,Recovered*,95,02/22/2022
84,73034.0,Active,93,02/22/2022
85,73034.0,Deceased,86,02/22/2022
86,73034.0,Recovered*,10719,02/22/2022
87,73036.0,Active,35,02/22/2022
88,73036.0,Deceased,69,02/22/2022
89,73036.0,Recovered*,5123,02/22/2022
90,73038.0,Active,1 to 4,02/22/2022
91,73038.0,Deceased,7,02/22/2022
92,73038.0,Recovered*,481,02/22/2022
93,73040.0,Active,7,02/22/2022
94,73040.0,Deceased,9,02/22/2022
95,73040.0,Recovered*,390,02/22/2022
96,73041.0,Deceased,1 to 4,02/22/2022
97,73041.0,Recovered*,70,02/22/2022
98,73042.0,Active,1 to 4,02/22/2022
99,73042.0,Deceased,7,02/22/2022
100,73042.0,Recovered*,282,02/22/2022
101,73043.0,Deceased,1 to 4,02/22/2022
102,73043.0,Recovered*,36,02/22/2022
103,73044.0,Active,64,02/22/2022
104,73044.0,Deceased,102,02/22/2022
105,73044.0,Recovered*,5729,02/22/2022
106,73045.0,Active,38,02/22/2022
107,73045.0,Deceased,38,02/22/2022
108,73045.0,Recovered*,3112,02/22/2022
109,73047.0,Active,1 to 4,02/22/2022
110,73047.0,Deceased,7,02/22/2022
111,73047.0,Recovered*,875,02/22/2022
112,73048.0,Active,7,02/22/2022
113,73048.0,Deceased,12,02/22/2022
114,73048.0,Recovered*,479,02/22/2022
115,73049.0,Active,11,02/22/2022
116,73049.0,Deceased,26,02/22/2022
117,73049.0,Recovered*,1409,02/22/2022
118,73050.0,Active,1 to 4,02/22/2022
119,73050.0,Deceased,1 to 4,02/22/2022
120,73050.0,Recovered*,113,02/22/2022
121,73051.0,Active,35,02/22/2022
