,City,status,Number,rpt_date
0,,Active,366,02/22/2022
1,,Deceased,309,02/22/2022
2,,Recovered*,29827,02/22/2022
3,Achille,Deceased,1 to 4,02/22/2022
4,Achille,Recovered*,113,02/22/2022
5,Ada,Active,129,02/22/2022
6,Ada,Deceased,99,02/22/2022
7,Ada,Recovered*,9544,02/22/2022
8,Adair,Active,7,02/22/2022
9,Adair,Deceased,1 to 4,02/22/2022
10,Adair,Recovered*,728,02/22/2022
11,Addington,Deceased,1 to 4,02/22/2022
12,Addington,Recovered*,13,02/22/2022
13,Afton,Active,22,02/22/2022
14,Afton,Deceased,14,02/22/2022
15,Afton,Recovered*,1381,02/22/2022
16,Agra,Active,1 to 4,02/22/2022
17,Agra,Deceased,1 to 4,02/22/2022
18,Agra,Recovered*,230,02/22/2022
19,Albion,Recovered*,32,02/22/2022
20,Alderson,Active,1 to 4,02/22/2022
21,Alderson,Deceased,1 to 4,02/22/2022
22,Alderson,Recovered*,88,02/22/2022
23,Alex,Active,1 to 4,02/22/2022
24,Alex,Deceased,7,02/22/2022
25,Alex,Recovered*,263,02/22/2022
26,Aline,Active,1 to 4,02/22/2022
27,Aline,Deceased,1 to 4,02/22/2022
28,Aline,Recovered*,116,02/22/2022
29,Allen,Active,6,02/22/2022
30,Allen,Deceased,5,02/22/2022
31,Allen,Recovered*,554,02/22/2022
32,Altus,Active,64,02/22/2022
33,Altus,Deceased,84,02/22/2022
34,Altus,Recovered*,5193,02/22/2022
35,Alva,Active,28,02/22/2022
36,Alva,Deceased,30,02/22/2022
37,Alva,Recovered*,1862,02/22/2022
38,Amber,Deceased,7,02/22/2022
39,Amber,Recovered*,226,02/22/2022
40,Ames,Active,1 to 4,02/22/2022
41,Ames,Recovered*,113,02/22/2022
42,Amorita,Recovered*,30,02/22/2022
43,Anadarko,Active,41,02/22/2022
44,Anadarko,Deceased,52,02/22/2022
45,Anadarko,Recovered*,2903,02/22/2022
46,Antlers,Active,14,02/22/2022
47,Antlers,Deceased,25,02/22/2022
48,Antlers,Recovered*,1356,02/22/2022
49,Apache,Active,15,02/22/2022
50,Apache,Deceased,11,02/22/2022
51,Apache,Recovered*,1007,02/22/2022
52,Arapaho,Deceased,5,02/22/2022
53,Arapaho,Recovered*,280,02/22/2022
54,Arcadia,Active,17,02/22/2022
55,Arcadia,Deceased,1 to 4,02/22/2022
56,Arcadia,Recovered*,737,02/22/2022
57,Ardmore,Active,91,02/22/2022
58,Ardmore,Deceased,148,02/22/2022
59,Ardmore,Recovered*,10046,02/22/2022
60,Arkoma,Active,1 to 4,02/22/2022
61,Arkoma,Deceased,1 to 4,02/22/2022
62,Arkoma,Recovered*,356,02/22/2022
63,Arnett,Active,1 to 4,02/22/2022
64,Arnett,Deceased,1 to 4,02/22/2022
65,Arnett,Recovered*,132,02/22/2022
66,Asher,Active,1 to 4,02/22/2022
67,Asher,Deceased,5,02/22/2022
68,Asher,Recovered*,275,02/22/2022
69,Atoka,Active,17,02/22/2022
70,Atoka,Deceased,34,02/22/2022
71,Atoka,Recovered*,2856,02/22/2022
72,Atwood,Deceased,1 to 4,02/22/2022
73,Atwood,Recovered*,69,02/22/2022
74,Avant,Deceased,1 to 4,02/22/2022
75,Avant,Recovered*,67,02/22/2022
76,Barnsdall,Active,12,02/22/2022
77,Barnsdall,Deceased,11,02/22/2022
78,Barnsdall,Recovered*,532,02/22/2022
79,Bartlesville,Active,158,02/22/2022
80,Bartlesville,Deceased,182,02/22/2022
81,Bartlesville,Recovered*,9353,02/22/2022
82,Bearden,Recovered*,1 to 4,02/22/2022
83,Beaver,Active,6,02/22/2022
84,Beaver,Deceased,6,02/22/2022
85,Beaver,Recovered*,438,02/22/2022
86,Beggs,Active,9,02/22/2022
87,Beggs,Deceased,12,02/22/2022
88,Beggs,Recovered*,1146,02/22/2022
89,Bennington,Active,1 to 4,02/22/2022
90,Bennington,Deceased,1 to 4,02/22/2022
91,Bennington,Recovered*,348,02/22/2022
92,Bernice,Active,1 to 4,02/22/2022
93,Bernice,Deceased,1 to 4,02/22/2022
94,Bernice,Recovered*,111,02/22/2022
95,Bessie,Deceased,1 to 4,02/22/2022
96,Bessie,Recovered*,58,02/22/2022
97,Bethany,Active,61,02/22/2022
98,Bethany,Deceased,63,02/22/2022
99,Bethany,Recovered*,4658,02/22/2022
100,Bethel Acres,Recovered*,6,02/22/2022
101,Big Cabin,Active,7,02/22/2022
102,Big Cabin,Deceased,6,02/22/2022
103,Big Cabin,Recovered*,488,02/22/2022
104,Billings,Active,45,02/22/2022
105,Billings,Deceased,1 to 4,02/22/2022
106,Billings,Recovered*,247,02/22/2022
107,Binger,Active,1 to 4,02/22/2022
108,Binger,Deceased,16,02/22/2022
109,Binger,Recovered*,360,02/22/2022
110,Bixby,Active,80,02/22/2022
111,Bixby,Deceased,64,02/22/2022
112,Bixby,Recovered*,8312,02/22/2022
113,Blackburn,Recovered*,14,02/22/2022
114,Blackwell,Active,26,02/22/2022
115,Blackwell,Deceased,42,02/22/2022
116,Blackwell,Recovered*,1460,02/22/2022
117,Blair,Active,1 to 4,02/22/2022
118,Blair,Deceased,6,02/22/2022
119,Blair,Recovered*,535,02/22/2022
120,Blanchard,Active,32,02/22/2022
121,Blanchard,Deceased,58,02/22/2022
122,Blanchard,Recovered*,5469,02/22/2022
123,Bluejacket,Active,1 to 4,02/22/2022
124,Bluejacket,Deceased,1 to 4,02/22/2022
125,Bluejacket,Recovered*,323,02/22/2022
126,Boise City,Active,9,02/22/2022
127,Boise City,Deceased,1 to 4,02/22/2022
128,Boise City,Recovered*,362,02/22/2022
129,Bokchito,Active,1 to 4,02/22/2022
130,Bokchito,Deceased,1 to 4,02/22/2022
131,Bokchito,Recovered*,543,02/22/2022
132,Bokoshe,Active,8,02/22/2022
133,Bokoshe,Deceased,5,02/22/2022
134,Bokoshe,Recovered*,475,02/22/2022
135,Boley,Deceased,11,02/22/2022
