,zip,status,Number,rpt_date
132,73053.0,Active,16,02/01/2022
133,73053.0,Deceased,5,02/01/2022
134,73053.0,Recovered*,157,02/01/2022
135,73054.0,Active,80,02/01/2022
136,73054.0,Deceased,10,02/01/2022
137,73054.0,Recovered*,781,02/01/2022
138,73055.0,Active,107,02/01/2022
139,73055.0,Deceased,35,02/01/2022
140,73055.0,Recovered*,1921,02/01/2022
141,73056.0,Active,8,02/01/2022
142,73056.0,Deceased,1 to 4,02/01/2022
143,73056.0,Recovered*,70,02/01/2022
144,73057.0,Active,47,02/01/2022
145,73057.0,Deceased,11,02/01/2022
146,73057.0,Recovered*,428,02/01/2022
147,73058.0,Active,13,02/01/2022
148,73058.0,Deceased,1 to 4,02/01/2022
149,73058.0,Recovered*,50,02/01/2022
150,73059.0,Active,65,02/01/2022
151,73059.0,Deceased,7,02/01/2022
152,73059.0,Recovered*,639,02/01/2022
153,73061.0,Active,62,02/01/2022
154,73061.0,Deceased,1 to 4,02/01/2022
155,73061.0,Recovered*,329,02/01/2022
156,73062.0,Active,26,02/01/2022
157,73062.0,Deceased,5,02/01/2022
158,73062.0,Recovered*,208,02/01/2022
159,73063.0,Active,14,02/01/2022
160,73063.0,Recovered*,176,02/01/2022
161,73064.0,Active,489,02/01/2022
162,73064.0,Deceased,76,02/01/2022
163,73064.0,Recovered*,5453,02/01/2022
164,73065.0,Active,289,02/01/2022
165,73065.0,Deceased,19,02/01/2022
166,73065.0,Recovered*,2542,02/01/2022
167,73066.0,Active,7,02/01/2022
168,73066.0,Deceased,1 to 4,02/01/2022
169,73066.0,Recovered*,77,02/01/2022
170,73067.0,Active,37,02/01/2022
171,73067.0,Deceased,9,02/01/2022
172,73067.0,Recovered*,354,02/01/2022
173,73068.0,Active,386,02/01/2022
174,73068.0,Deceased,39,02/01/2022
175,73068.0,Recovered*,2947,02/01/2022
176,73069.0,Active,881,02/01/2022
177,73069.0,Deceased,55,02/01/2022
178,73069.0,Recovered*,6134,02/01/2022
179,73071.0,Active,1566,02/01/2022
180,73071.0,Deceased,92,02/01/2022
181,73071.0,Recovered*,9707,02/01/2022
182,73072.0,Active,1544,02/01/2022
183,73072.0,Deceased,96,02/01/2022
184,73072.0,Recovered*,10390,02/01/2022
185,73073.0,Active,24,02/01/2022
186,73073.0,Deceased,1 to 4,02/01/2022
187,73073.0,Recovered*,124,02/01/2022
188,73074.0,Active,34,02/01/2022
189,73074.0,Deceased,1 to 4,02/01/2022
190,73074.0,Recovered*,341,02/01/2022
191,73075.0,Active,220,02/01/2022
192,73075.0,Deceased,46,02/01/2022
193,73075.0,Recovered*,2026,02/01/2022
194,73077.0,Active,266,02/01/2022
195,73077.0,Deceased,22,02/01/2022
196,73077.0,Recovered*,1342,02/01/2022
197,73078.0,Active,317,02/01/2022
