,City,status,Number,rpt_date
0,,Active,3489,02/01/2022
1,,Deceased,253,02/01/2022
2,,Recovered*,25284,02/01/2022
3,Achille,Active,8,02/01/2022
4,Achille,Deceased,1 to 4,02/01/2022
5,Achille,Recovered*,101,02/01/2022
6,Ada,Active,1586,02/01/2022
7,Ada,Deceased,93,02/01/2022
8,Ada,Recovered*,7579,02/01/2022
9,Adair,Active,98,02/01/2022
10,Adair,Deceased,1 to 4,02/01/2022
11,Adair,Recovered*,611,02/01/2022
12,Addington,Active,1 to 4,02/01/2022
13,Addington,Recovered*,13,02/01/2022
14,Afton,Active,123,02/01/2022
15,Afton,Deceased,14,02/01/2022
16,Afton,Recovered*,1218,02/01/2022
17,Agra,Active,33,02/01/2022
18,Agra,Deceased,1 to 4,02/01/2022
19,Agra,Recovered*,192,02/01/2022
20,Albion,Active,7,02/01/2022
21,Albion,Recovered*,24,02/01/2022
22,Alderson,Active,19,02/01/2022
23,Alderson,Deceased,1 to 4,02/01/2022
24,Alderson,Recovered*,68,02/01/2022
25,Alex,Active,19,02/01/2022
26,Alex,Deceased,7,02/01/2022
27,Alex,Recovered*,238,02/01/2022
28,Aline,Active,11,02/01/2022
29,Aline,Deceased,1 to 4,02/01/2022
30,Aline,Recovered*,105,02/01/2022
31,Allen,Active,65,02/01/2022
32,Allen,Deceased,1 to 4,02/01/2022
33,Allen,Recovered*,448,02/01/2022
34,Altus,Active,501,02/01/2022
35,Altus,Deceased,80,02/01/2022
36,Altus,Recovered*,4514,02/01/2022
37,Alva,Active,157,02/01/2022
38,Alva,Deceased,27,02/01/2022
39,Alva,Recovered*,1636,02/01/2022
40,Amber,Active,18,02/01/2022
41,Amber,Deceased,7,02/01/2022
42,Amber,Recovered*,206,02/01/2022
43,Ames,Active,14,02/01/2022
44,Ames,Recovered*,89,02/01/2022
45,Amorita,Active,5,02/01/2022
46,Amorita,Recovered*,25,02/01/2022
47,Anadarko,Active,281,02/01/2022
48,Anadarko,Deceased,50,02/01/2022
49,Anadarko,Recovered*,2559,02/01/2022
50,Antlers,Active,133,02/01/2022
51,Antlers,Deceased,25,02/01/2022
52,Antlers,Recovered*,1145,02/01/2022
53,Apache,Active,103,02/01/2022
54,Apache,Deceased,10,02/01/2022
55,Apache,Recovered*,888,02/01/2022
56,Arapaho,Active,19,02/01/2022
57,Arapaho,Deceased,5,02/01/2022
58,Arapaho,Recovered*,257,02/01/2022
59,Arcadia,Active,73,02/01/2022
60,Arcadia,Deceased,1 to 4,02/01/2022
61,Arcadia,Recovered*,644,02/01/2022
62,Ardmore,Active,1046,02/01/2022
63,Ardmore,Deceased,143,02/01/2022
64,Ardmore,Recovered*,8703,02/01/2022
65,Arkoma,Active,30,02/01/2022
66,Arkoma,Deceased,1 to 4,02/01/2022
67,Arkoma,Recovered*,291,02/01/2022
68,Arnett,Active,6,02/01/2022
69,Arnett,Deceased,1 to 4,02/01/2022
70,Arnett,Recovered*,118,02/01/2022
71,Asher,Active,35,02/01/2022
72,Asher,Deceased,1 to 4,02/01/2022
73,Asher,Recovered*,233,02/01/2022
74,Atoka,Active,220,02/01/2022
75,Atoka,Deceased,31,02/01/2022
76,Atoka,Recovered*,2512,02/01/2022
77,Atwood,Active,8,02/01/2022
78,Atwood,Deceased,1 to 4,02/01/2022
79,Atwood,Recovered*,59,02/01/2022
80,Avant,Active,1 to 4,02/01/2022
81,Avant,Deceased,1 to 4,02/01/2022
82,Avant,Recovered*,65,02/01/2022
83,Barnsdall,Active,41,02/01/2022
84,Barnsdall,Deceased,10,02/01/2022
85,Barnsdall,Recovered*,447,02/01/2022
86,Bartlesville,Active,1001,02/01/2022
87,Bartlesville,Deceased,174,02/01/2022
88,Bartlesville,Recovered*,8029,02/01/2022
89,Bearden,Recovered*,1 to 4,02/01/2022
90,Beaver,Active,42,02/01/2022
91,Beaver,Deceased,6,02/01/2022
92,Beaver,Recovered*,373,02/01/2022
93,Beggs,Active,120,02/01/2022
94,Beggs,Deceased,10,02/01/2022
95,Beggs,Recovered*,991,02/01/2022
96,Bennington,Active,38,02/01/2022
97,Bennington,Deceased,1 to 4,02/01/2022
98,Bennington,Recovered*,298,02/01/2022
99,Bernice,Active,24,02/01/2022
100,Bernice,Deceased,1 to 4,02/01/2022
101,Bernice,Recovered*,83,02/01/2022
102,Bessie,Active,1 to 4,02/01/2022
103,Bessie,Deceased,1 to 4,02/01/2022
104,Bessie,Recovered*,57,02/01/2022
105,Bethany,Active,421,02/01/2022
106,Bethany,Deceased,58,02/01/2022
107,Bethany,Recovered*,4057,02/01/2022
108,Bethel Acres,Active,1 to 4,02/01/2022
109,Bethel Acres,Recovered*,5,02/01/2022
110,Big Cabin,Active,46,02/01/2022
111,Big Cabin,Deceased,6,02/01/2022
112,Big Cabin,Recovered*,429,02/01/2022
113,Billings,Active,9,02/01/2022
114,Billings,Deceased,1 to 4,02/01/2022
115,Billings,Recovered*,226,02/01/2022
116,Binger,Active,40,02/01/2022
117,Binger,Deceased,15,02/01/2022
118,Binger,Recovered*,317,02/01/2022
119,Bixby,Active,793,02/01/2022
120,Bixby,Deceased,61,02/01/2022
121,Bixby,Recovered*,7309,02/01/2022
122,Blackburn,Active,1 to 4,02/01/2022
123,Blackburn,Recovered*,12,02/01/2022
124,Blackwell,Active,127,02/01/2022
125,Blackwell,Deceased,41,02/01/2022
126,Blackwell,Recovered*,1280,02/01/2022
127,Blair,Active,49,02/01/2022
128,Blair,Deceased,6,02/01/2022
129,Blair,Recovered*,475,02/01/2022
130,Blanchard,Active,612,02/01/2022
131,Blanchard,Deceased,52,02/01/2022
132,Blanchard,Recovered*,4695,02/01/2022
133,Bluejacket,Active,40,02/01/2022
134,Bluejacket,Deceased,1 to 4,02/01/2022
135,Bluejacket,Recovered*,281,02/01/2022
136,Boise City,Active,28,02/01/2022
137,Boise City,Deceased,1 to 4,02/01/2022
138,Boise City,Recovered*,322,02/01/2022
139,Bokchito,Active,38,02/01/2022
140,Bokchito,Deceased,1 to 4,02/01/2022
141,Bokchito,Recovered*,484,02/01/2022
142,Bokoshe,Active,39,02/01/2022
143,Bokoshe,Deceased,5,02/01/2022
144,Bokoshe,Recovered*,420,02/01/2022
145,Boley,Active,52,02/01/2022
146,Boley,Deceased,11,02/01/2022
147,Boley,Recovered*,576,02/01/2022
148,Boswell,Active,55,02/01/2022
149,Boswell,Deceased,6,02/01/2022
150,Boswell,Recovered*,494,02/01/2022
151,Bowlegs,Active,1 to 4,02/01/2022
152,Bowlegs,Deceased,1 to 4,02/01/2022
153,Bowlegs,Recovered*,33,02/01/2022
154,Boynton,Active,16,02/01/2022
155,Boynton,Deceased,1 to 4,02/01/2022
156,Boynton,Recovered*,131,02/01/2022
157,Bradley,Active,9,02/01/2022
158,Bradley,Deceased,1 to 4,02/01/2022
159,Bradley,Recovered*,63,02/01/2022
160,Braggs,Active,18,02/01/2022
161,Braggs,Deceased,5,02/01/2022
162,Braggs,Recovered*,217,02/01/2022
163,Braman,Active,6,02/01/2022
164,Braman,Deceased,1 to 4,02/01/2022
165,Braman,Recovered*,65,02/01/2022
166,Bray,Recovered*,1 to 4,02/01/2022
167,Bridge Creek,Recovered*,1 to 4,02/01/2022
168,Bridgeport,Recovered*,1 to 4,02/01/2022
169,Bristow,Active,238,02/01/2022
170,Bristow,Deceased,51,02/01/2022
171,Bristow,Recovered*,1932,02/01/2022
172,Broken Arrow,Active,3875,02/01/2022
173,Broken Arrow,Deceased,377,02/01/2022
174,Broken Arrow,Recovered*,32039,02/01/2022
175,Broken Bow,Active,166,02/01/2022
176,Broken Bow,Deceased,59,02/01/2022
177,Broken Bow,Recovered*,2400,02/01/2022
178,Bromide,Active,5,02/01/2022
179,Bromide,Deceased,1 to 4,02/01/2022
180,Bromide,Recovered*,45,02/01/2022
181,Buffalo,Active,12,02/01/2022
182,Buffalo,Deceased,7,02/01/2022
183,Buffalo,Recovered*,244,02/01/2022
184,Burbank,Active,16,02/01/2022
185,Burbank,Recovered*,84,02/01/2022
186,Burlington,Active,1 to 4,02/01/2022
187,Burlington,Recovered*,54,02/01/2022
188,Burns Flat,Active,57,02/01/2022
189,Burns Flat,Deceased,1 to 4,02/01/2022
190,Burns Flat,Recovered*,277,02/01/2022
191,Butler,Active,6,02/01/2022
192,Butler,Recovered*,81,02/01/2022
193,Byars,Active,21,02/01/2022
194,Byars,Deceased,1 to 4,02/01/2022
195,Byars,Recovered*,181,02/01/2022
196,Byng,Active,1 to 4,02/01/2022
197,Byng,Recovered*,7,02/01/2022
198,Byron,Recovered*,7,02/01/2022
199,Cache,Active,100,02/01/2022
200,Cache,Deceased,14,02/01/2022
201,Cache,Recovered*,1324,02/01/2022
202,Caddo,Active,54,02/01/2022
203,Caddo,Deceased,5,02/01/2022
204,Caddo,Recovered*,637,02/01/2022
205,Calera,Active,144,02/01/2022
206,Calera,Deceased,16,02/01/2022
207,Calera,Recovered*,1488,02/01/2022
208,Calumet,Active,29,02/01/2022
209,Calumet,Deceased,1 to 4,02/01/2022
210,Calumet,Recovered*,310,02/01/2022
211,Calvin,Active,26,02/01/2022
212,Calvin,Deceased,1 to 4,02/01/2022
213,Calvin,Recovered*,120,02/01/2022
214,Camargo,Active,1 to 4,02/01/2022
215,Camargo,Recovered*,41,02/01/2022
216,Cameron,Active,44,02/01/2022
217,Cameron,Deceased,1 to 4,02/01/2022
218,Cameron,Recovered*,447,02/01/2022
219,Canadian,Active,24,02/01/2022
220,Canadian,Deceased,1 to 4,02/01/2022
221,Canadian,Recovered*,166,02/01/2022
222,Caney,Active,18,02/01/2022
223,Caney,Deceased,1 to 4,02/01/2022
224,Caney,Recovered*,192,02/01/2022
225,Canton,Active,35,02/01/2022
226,Canton,Deceased,1 to 4,02/01/2022
227,Canton,Recovered*,288,02/01/2022
228,Canute,Active,26,02/01/2022
229,Canute,Deceased,1 to 4,02/01/2022
230,Canute,Recovered*,252,02/01/2022
231,Carlton Landing,Recovered*,1 to 4,02/01/2022
232,Carmen,Active,10,02/01/2022
233,Carmen,Deceased,1 to 4,02/01/2022
234,Carmen,Recovered*,75,02/01/2022
235,Carnegie,Active,87,02/01/2022
236,Carnegie,Deceased,32,02/01/2022
237,Carnegie,Recovered*,745,02/01/2022
238,Carney,Active,28,02/01/2022
239,Carney,Deceased,1 to 4,02/01/2022
240,Carney,Recovered*,160,02/01/2022
241,Carrier,Active,6,02/01/2022
242,Carrier,Recovered*,42,02/01/2022
243,Carter,Active,7,02/01/2022
244,Carter,Deceased,1 to 4,02/01/2022
245,Carter,Recovered*,105,02/01/2022
246,Cashion,Active,37,02/01/2022
247,Cashion,Deceased,1 to 4,02/01/2022
248,Cashion,Recovered*,435,02/01/2022
249,Castle,Active,14,02/01/2022
250,Castle,Deceased,1 to 4,02/01/2022
251,Castle,Recovered*,123,02/01/2022
252,Catoosa,Active,236,02/01/2022
253,Catoosa,Deceased,27,02/01/2022
254,Catoosa,Recovered*,1646,02/01/2022
255,Cement,Active,32,02/01/2022
256,Cement,Deceased,1 to 4,02/01/2022
257,Cement,Recovered*,383,02/01/2022
258,Centrahoma,Active,10,02/01/2022
259,Centrahoma,Deceased,1 to 4,02/01/2022
260,Centrahoma,Recovered*,58,02/01/2022
261,Central High,Recovered*,1 to 4,02/01/2022
262,Chandler,Active,217,02/01/2022
263,Chandler,Deceased,27,02/01/2022
264,Chandler,Recovered*,1356,02/01/2022
265,Chattanooga,Active,10,02/01/2022
266,Chattanooga,Deceased,1 to 4,02/01/2022
267,Chattanooga,Recovered*,169,02/01/2022
268,Checotah,Active,159,02/01/2022
269,Checotah,Deceased,47,02/01/2022
270,Checotah,Recovered*,1514,02/01/2022
271,Chelsea,Active,162,02/01/2022
272,Chelsea,Deceased,25,02/01/2022
273,Chelsea,Recovered*,1269,02/01/2022
274,Cherokee,Active,34,02/01/2022
275,Cherokee,Deceased,1 to 4,02/01/2022
276,Cherokee,Recovered*,393,02/01/2022
277,Cheyenne,Active,30,02/01/2022
278,Cheyenne,Deceased,5,02/01/2022
279,Cheyenne,Recovered*,367,02/01/2022
280,Chickasha,Active,486,02/01/2022
281,Chickasha,Deceased,118,02/01/2022
282,Chickasha,Recovered*,4431,02/01/2022
283,Choctaw,Active,494,02/01/2022
284,Choctaw,Deceased,64,02/01/2022
285,Choctaw,Recovered*,4847,02/01/2022
286,Chouteau,Active,160,02/01/2022
287,Chouteau,Deceased,31,02/01/2022
288,Chouteau,Recovered*,964,02/01/2022
289,Claremore,Active,1543,02/01/2022
290,Claremore,Deceased,206,02/01/2022
291,Claremore,Recovered*,11539,02/01/2022
292,Clayton,Active,58,02/01/2022
293,Clayton,Deceased,6,02/01/2022
294,Clayton,Recovered*,324,02/01/2022
295,Clearview,Recovered*,5,02/01/2022
296,Cleo Springs,Active,22,02/01/2022
297,Cleo Springs,Deceased,1 to 4,02/01/2022
298,Cleo Springs,Recovered*,128,02/01/2022
299,Cleveland,Active,151,02/01/2022
300,Cleveland,Deceased,29,02/01/2022
301,Cleveland,Recovered*,1563,02/01/2022
302,Clinton,Active,288,02/01/2022
303,Clinton,Deceased,80,02/01/2022
304,Clinton,Recovered*,2723,02/01/2022
305,Coalgate,Active,166,02/01/2022
306,Coalgate,Deceased,17,02/01/2022
307,Coalgate,Recovered*,946,02/01/2022
308,Colbert,Active,40,02/01/2022
309,Colbert,Deceased,12,02/01/2022
310,Colbert,Recovered*,641,02/01/2022
311,Colcord,Active,160,02/01/2022
312,Colcord,Deceased,10,02/01/2022
313,Colcord,Recovered*,955,02/01/2022
314,Cole,Recovered*,1 to 4,02/01/2022
315,Collinsville,Active,602,02/01/2022
316,Collinsville,Deceased,68,02/01/2022
317,Collinsville,Recovered*,4771,02/01/2022
318,Colony,Active,9,02/01/2022
319,Colony,Deceased,1 to 4,02/01/2022
320,Colony,Recovered*,64,02/01/2022
321,Comanche,Active,83,02/01/2022
322,Comanche,Deceased,25,02/01/2022
323,Comanche,Recovered*,1009,02/01/2022
324,Commerce,Active,73,02/01/2022
325,Commerce,Deceased,13,02/01/2022
326,Commerce,Recovered*,660,02/01/2022
327,Copan,Active,36,02/01/2022
