,Reporting period end date,Weekly total
0,12/05/2020,32
1,12/12/2020,36
2,12/19/2020,9075
3,12/26/2020,29466
4,01/02/2021,44236
5,01/09/2021,66200
6,01/16/2021,73267
7,01/23/2021,107763
8,01/30/2021,126154
9,02/06/2021,100177
10,02/13/2021,152599
11,02/20/2021,161763
12,02/27/2021,149713
13,03/06/2021,203914
14,03/13/2021,225206
15,03/20/2021,220228
16,03/27/2021,240438
17,04/03/2021,289236
18,04/10/2021,325400
19,04/17/2021,308338
20,04/24/2021,287502
21,05/01/2021,240944
22,05/08/2021,213854
23,05/15/2021,199171
24,05/22/2021,186622
25,05/29/2021,102827
26,06/05/2021,81988
27,06/12/2021,91774
28,06/19/2021,64083
29,06/26/2021,45484
30,07/03/2021,37989
31,07/10/2021,32345
32,07/17/2021,34704
33,07/24/2021,37762
34,07/31/2021,40005
35,08/07/2021,43988
36,08/14/2021,43850
37,08/21/2021,51762
38,08/28/2021,52984
39,09/04/2021,48608
40,09/11/2021,38808
41,09/18/2021,41185
42,09/25/2021,45104
43,10/02/2021,73819
44,10/09/2021,66692
45,10/16/2021,61578
46,10/23/2021,68719
47,10/30/2021,121781
48,11/06/2021,125249
49,11/13/2021,134158
50,11/20/2021,147347
51,11/27/2021,113844
52,12/04/2021,164054
53,12/11/2021,175513
54,12/18/2021,155357
55,12/25/2021,111452
56,01/01/2022,103949
57,01/08/2022,114449
58,01/15/2022,100303
59,01/22/2022,72279
60,01/29/2022,55642
61,02/05/2022,45478
62,02/12/2022,42207
63,02/19/2022,29181
