,zip,status,Number,rpt_date
0,,Active,7,04/13/2022
1,,Deceased,181,04/13/2022
2,,Recovered*,12518,04/13/2022
3,73002.0,Deceased,7,04/13/2022
4,73002.0,Recovered*,268,04/13/2022
5,73003.0,Active,9,04/13/2022
6,73003.0,Deceased,52,04/13/2022
7,73003.0,Recovered*,5447,04/13/2022
8,73004.0,Deceased,8,04/13/2022
9,73004.0,Recovered*,237,04/13/2022
10,73005.0,Active,1 to 4,04/13/2022
11,73005.0,Deceased,56,04/13/2022
12,73005.0,Recovered*,2979,04/13/2022
13,73006.0,Active,1 to 4,04/13/2022
14,73006.0,Deceased,12,04/13/2022
15,73006.0,Recovered*,1047,04/13/2022
16,73007.0,Active,1 to 4,04/13/2022
17,73007.0,Deceased,1 to 4,04/13/2022
18,73007.0,Recovered*,777,04/13/2022
19,73008.0,Active,1 to 4,04/13/2022
20,73008.0,Deceased,68,04/13/2022
21,73008.0,Recovered*,4753,04/13/2022
22,73009.0,Deceased,16,04/13/2022
23,73009.0,Recovered*,389,04/13/2022
24,73010.0,Active,1 to 4,04/13/2022
25,73010.0,Deceased,65,04/13/2022
26,73010.0,Recovered*,5576,04/13/2022
27,73011.0,Deceased,1 to 4,04/13/2022
28,73011.0,Recovered*,82,04/13/2022
29,73012.0,Active,13,04/13/2022
30,73012.0,Deceased,64,04/13/2022
31,73012.0,Recovered*,9954,04/13/2022
32,73013.0,Active,17,04/13/2022
33,73013.0,Deceased,128,04/13/2022
34,73013.0,Recovered*,13708,04/13/2022
35,73014.0,Deceased,1 to 4,04/13/2022
36,73014.0,Recovered*,373,04/13/2022
37,73015.0,Deceased,35,04/13/2022
38,73015.0,Recovered*,877,04/13/2022
39,73016.0,Deceased,1 to 4,04/13/2022
40,73016.0,Recovered*,521,04/13/2022
41,73017.0,Deceased,1 to 4,04/13/2022
42,73017.0,Recovered*,445,04/13/2022
43,73018.0,Active,7,04/13/2022
44,73018.0,Deceased,119,04/13/2022
45,73018.0,Recovered*,4960,04/13/2022
46,73019.0,Recovered*,74,04/13/2022
47,73020.0,Active,6,04/13/2022
48,73020.0,Deceased,75,04/13/2022
49,73020.0,Recovered*,5560,04/13/2022
50,73021.0,Deceased,1 to 4,04/13/2022
51,73021.0,Recovered*,77,04/13/2022
