,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
683,Woodstock,No,7858.0,5477,69.7,4928,62.71,,,12/22/2021
684,Address pending validation,,,14105,,12030,,,,12/29/2021
685,Andover,No,3236.0,2371,73.27,2206,68.17,,,12/29/2021
686,Ansonia,Yes,18654.0,12458,66.78,11407,61.15,,,12/29/2021
687,Ashford,No,4255.0,2963,69.64,2747,64.56,,,12/29/2021
688,Avon,No,18276.0,16977,92.89,15339,83.93,,,12/29/2021
689,Barkhamsted,No,3606.0,2747,76.18,2549,70.69,,,12/29/2021
690,Beacon Falls,No,6222.0,4416,70.97,4079,65.56,,,12/29/2021
691,Berlin,No,20436.0,15621,76.44,14480,70.86,,,12/29/2021
692,Bethany,No,5548.0,4378,78.91,4006,72.21,,,12/29/2021
693,Bethel,No,19800.0,15077,76.15,13311,67.23,,,12/29/2021
694,Bethlehem,No,3402.0,2383,70.05,2195,64.52,,,12/29/2021
695,Bloomfield,No,21211.0,17176,80.98,15476,72.96,,,12/29/2021
696,Bolton,No,4884.0,3813,78.07,3475,71.15,,,12/29/2021
697,Bozrah,No,2726.0,1794,65.81,1668,61.19,,,12/29/2021
698,Branford,No,27900.0,22813,81.77,20746,74.36,,,12/29/2021
699,Bridgeport,Yes,144399.0,96101,66.55,84174,58.29,,,12/29/2021
700,Bridgewater,No,1635.0,1362,83.3,1226,74.98,,,12/29/2021
701,Bristol,Yes,59947.0,44123,73.6,40314,67.25,,,12/29/2021
702,Brookfield,No,16973.0,13759,81.06,12362,72.83,,,12/29/2021
703,Brooklyn,No,8272.0,5511,66.62,4980,60.2,,,12/29/2021
704,Burlington,No,9704.0,7600,78.32,6990,72.03,,,12/29/2021
705,Canaan,No,1053.0,1282,100.0,1158,100.0,,,12/29/2021
706,Canterbury,No,5079.0,3364,66.23,3115,61.33,,,12/29/2021
707,Canton,No,10254.0,8259,80.54,7563,73.76,,,12/29/2021
708,Chaplin,No,2239.0,1486,66.37,1370,61.19,,,12/29/2021
709,Cheshire,No,28937.0,24352,84.16,22388,77.37,,,12/29/2021
710,Chester,No,4213.0,3311,78.59,3019,71.66,,,12/29/2021
711,Clinton,No,12925.0,11039,85.41,10030,77.6,,,12/29/2021
712,Colchester,No,15809.0,12382,78.32,11328,71.66,,,12/29/2021
713,Colebrook,No,1400.0,1100,78.57,1006,71.86,,,12/29/2021
714,Columbia,No,5379.0,4042,75.14,3754,69.79,,,12/29/2021
715,Cornwall,No,1362.0,1223,89.79,1069,78.49,,,12/29/2021
716,Coventry,No,12407.0,9341,75.29,8673,69.9,,,12/29/2021
717,Cromwell,No,13839.0,11913,86.08,10922,78.92,,,12/29/2021
