,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
1518,Warren,No,1395.0,777,55.7,562,40.29,,,04/21/2021
1519,Washington,No,3428.0,2141,62.46,1495,43.61,,,04/21/2021
1520,Waterbury,Yes,107568.0,32931,30.61,21367,19.86,,,04/21/2021
1521,Waterford,Yes,18746.0,10962,58.48,8004,42.7,,,04/21/2021
1522,Watertown,No,21578.0,10866,50.36,7278,33.73,,,04/21/2021
1523,West Hartford,Yes,62965.0,38446,61.06,25543,40.57,,,04/21/2021
1524,West Haven,Yes,54620.0,22371,40.96,14155,25.92,,,04/21/2021
1525,Westbrook,No,6869.0,3910,56.92,2738,39.86,,,04/21/2021
1526,Weston,No,10252.0,6042,58.93,3488,34.02,,,04/21/2021
1527,Westport,No,28491.0,16615,58.32,9759,34.25,,,04/21/2021
1528,Wethersfield,No,26008.0,15230,58.56,10631,40.88,,,04/21/2021
1529,Willington,No,5864.0,2622,44.71,1686,28.75,,,04/21/2021
1530,Wilton,No,18343.0,11211,61.12,6348,34.61,,,04/21/2021
1531,Winchester,Yes,10604.0,4500,42.44,3139,29.6,,,04/21/2021
1532,Windham,Yes,24561.0,8452,34.41,5329,21.7,,,04/21/2021
1533,Windsor,No,28733.0,14845,51.67,10249,35.67,,,04/21/2021
1534,Windsor Locks,Yes,12854.0,5971,46.45,4079,31.73,,,04/21/2021
1535,Wolcott,No,16587.0,8140,49.07,5687,34.29,,,04/21/2021
1536,Woodbridge,No,8750.0,5547,63.39,3914,44.73,,,04/21/2021
1537,Woodbury,No,9502.0,5246,55.21,3624,38.14,,,04/21/2021
1538,Woodstock,No,7858.0,3724,47.39,2706,34.44,,,04/21/2021
1539,Address pending validation,,,4113,,2541,,,,04/28/2021
1540,Andover,No,3236.0,1700,52.53,1238,38.26,,,04/28/2021
1541,Ansonia,Yes,18654.0,7412,39.73,4950,26.54,,,04/28/2021
1542,Ashford,No,4255.0,2074,48.74,1533,36.03,,,04/28/2021
1543,Avon,No,18276.0,11959,65.44,8982,49.15,,,04/28/2021
1544,Barkhamsted,No,3606.0,1940,53.8,1491,41.35,,,04/28/2021
1545,Beacon Falls,No,6222.0,3127,50.26,2334,37.51,,,04/28/2021
1546,Berlin,No,20436.0,11592,56.72,8997,44.03,,,04/28/2021
1547,Bethany,No,5548.0,3168,57.1,2414,43.51,,,04/28/2021
1548,Bethel,No,19800.0,9491,47.93,6219,31.41,,,04/28/2021
1549,Bethlehem,No,3402.0,1692,49.74,1265,37.18,,,04/28/2021
1550,Bloomfield,No,21211.0,11819,55.72,9005,42.45,,,04/28/2021
1551,Bolton,No,4884.0,2705,55.38,2017,41.3,,,04/28/2021
1552,Bozrah,No,2726.0,1275,46.77,1027,37.67,,,04/28/2021
1553,Branford,No,27900.0,17068,61.18,12982,46.53,,,04/28/2021
1554,Bridgeport,Yes,144399.0,47787,33.09,30571,21.17,,,04/28/2021
1555,Bridgewater,No,1635.0,1041,63.67,792,48.44,,,04/28/2021
1556,Bristol,Yes,59947.0,28596,47.7,20377,33.99,,,04/28/2021
1557,Brookfield,No,16973.0,9374,55.23,6654,39.2,,,04/28/2021
1558,Brooklyn,No,8272.0,3482,42.09,2736,33.08,,,04/28/2021
1559,Burlington,No,9704.0,5430,55.96,4080,42.04,,,04/28/2021
1560,Canaan,No,1053.0,803,76.26,511,48.53,,,04/28/2021
1561,Canterbury,No,5079.0,2208,43.47,1679,33.06,,,04/28/2021
1562,Canton,No,10254.0,5885,57.39,4453,43.43,,,04/28/2021
1563,Chaplin,No,2239.0,977,43.64,731,32.65,,,04/28/2021
1564,Cheshire,No,28937.0,17614,60.87,13760,47.55,,,04/28/2021
1565,Chester,No,4213.0,2468,58.58,1906,45.24,,,04/28/2021
1566,Clinton,No,12925.0,7760,60.04,5632,43.57,,,04/28/2021
1567,Colchester,No,15809.0,8292,52.45,6225,39.38,,,04/28/2021
1568,Colebrook,No,1400.0,720,51.43,542,38.71,,,04/28/2021
1569,Columbia,No,5379.0,2936,54.58,2264,42.09,,,04/28/2021
1570,Cornwall,No,1362.0,908,66.67,624,45.81,,,04/28/2021
1571,Coventry,No,12407.0,6425,51.79,4685,37.76,,,04/28/2021
1572,Cromwell,No,13839.0,8524,61.59,6341,45.82,,,04/28/2021
1573,Danbury,Yes,84694.0,36755,43.4,21785,25.72,,,04/28/2021
1574,Darien,No,21728.0,12573,57.87,8167,37.59,,,04/28/2021
1575,Deep River,No,4443.0,2678,60.27,1963,44.18,,,04/28/2021
1576,Derby,Yes,12339.0,5626,45.6,3733,30.25,,,04/28/2021
1577,Durham,No,7165.0,4196,58.56,3174,44.3,,,04/28/2021
1578,East Granby,No,5140.0,2837,55.19,2035,39.59,,,04/28/2021
1579,East Haddam,No,8997.0,4425,49.18,3023,33.6,,,04/28/2021
1580,East Hampton,No,12800.0,6681,52.2,4953,38.7,,,04/28/2021
1581,East Hartford,Yes,49872.0,21077,42.26,13578,27.23,,,04/28/2021
1582,East Haven,Yes,28569.0,12951,45.33,9350,32.73,,,04/28/2021
1583,East Lyme,No,18462.0,11299,61.2,9002,48.76,,,04/28/2021
1584,East Windsor,No,11668.0,5304,45.46,3685,31.58,,,04/28/2021
1585,Eastford,No,1790.0,799,44.64,614,34.3,,,04/28/2021
1586,Easton,No,7521.0,4266,56.72,3142,41.78,,,04/28/2021
1587,Ellington,No,16467.0,8637,52.45,6114,37.13,,,04/28/2021
1588,Enfield,Yes,43659.0,18986,43.49,13147,30.11,,,04/28/2021
1589,Essex,No,6668.0,4545,68.16,3616,54.23,,,04/28/2021
1590,Fairfield,No,62045.0,34362,55.38,23617,38.06,,,04/28/2021
1591,Farmington,No,25497.0,16582,65.04,12340,48.4,,,04/28/2021
1592,Franklin,No,1920.0,990,51.56,767,39.95,,,04/28/2021
1593,Glastonbury,No,34482.0,21783,63.17,15978,46.34,,,04/28/2021
1594,Goshen,No,2863.0,1607,56.13,1243,43.42,,,04/28/2021
1595,Granby,No,11507.0,6390,55.53,4758,41.35,,,04/28/2021
1596,Greenwich,No,62840.0,34088,54.25,22643,36.03,,,04/28/2021
1597,Griswold,Yes,11534.0,4627,40.12,3521,30.53,,,04/28/2021
1598,Groton,Yes,38436.0,16429,42.74,11900,30.96,,,04/28/2021
1599,Guilford,No,22133.0,14310,64.65,10949,49.47,,,04/28/2021
1600,Haddam,No,8193.0,4969,60.65,3815,46.56,,,04/28/2021
1601,Hamden,No,60556.0,30380,50.17,22016,36.36,,,04/28/2021
1602,Hampton,No,1842.0,897,48.7,718,38.98,,,04/28/2021
1603,Hartford,Yes,122105.0,37886,31.03,24227,19.84,,,04/28/2021
1604,Hartland,No,2120.0,951,44.86,749,35.33,,,04/28/2021
1605,Harwinton,No,5420.0,2876,53.06,2219,40.94,,,04/28/2021
1606,Hebron,No,9504.0,5316,55.93,3995,42.03,,,04/28/2021
1607,Kent,No,2777.0,1947,70.11,1464,52.72,,,04/28/2021
1608,Killingly,Yes,17336.0,6658,38.41,5133,29.61,,,04/28/2021
1609,Killingworth,No,6364.0,3827,60.14,2919,45.87,,,04/28/2021
1610,Lebanon,No,7144.0,3663,51.27,2792,39.08,,,04/28/2021
1611,Ledyard,No,14621.0,7167,49.02,5298,36.24,,,04/28/2021
1612,Lisbon,No,4220.0,1979,46.9,1561,36.99,,,04/28/2021
1613,Litchfield,No,8094.0,4509,55.71,3265,40.34,,,04/28/2021
1614,Lyme,No,2316.0,1669,72.06,1329,57.38,,,04/28/2021
1615,Madison,No,18030.0,11769,65.27,9035,50.11,,,04/28/2021
1616,Manchester,Yes,57584.0,27299,47.41,17712,30.76,,,04/28/2021
1617,Mansfield,No,25487.0,7449,29.23,5022,19.7,,,04/28/2021
1618,Marlborough,No,6335.0,3548,56.01,2639,41.66,,,04/28/2021
1619,Meriden,Yes,59395.0,25363,42.7,17381,29.26,,,04/28/2021
1620,Middlebury,No,7798.0,4571,58.62,3472,44.52,,,04/28/2021
1621,Middlefield,No,4374.0,2420,55.33,1831,41.86,,,04/28/2021
1622,Middletown,Yes,46258.0,25440,55.0,16833,36.39,,,04/28/2021
1623,Milford,Yes,54747.0,30067,54.92,21691,39.62,,,04/28/2021
1624,Monroe,No,19434.0,10427,53.65,7402,38.09,,,04/28/2021
1625,Montville,Yes,18508.0,8251,44.58,6240,33.72,,,04/28/2021
1626,Morris,No,2254.0,1081,47.96,791,35.09,,,04/28/2021
1627,Naugatuck,No,31108.0,13463,43.28,9068,29.15,,,04/28/2021
1628,New Britain,Yes,72495.0,24761,34.16,16963,23.4,,,04/28/2021
1629,New Canaan,No,20233.0,12231,60.45,7697,38.04,,,04/28/2021
1630,New Fairfield,No,13878.0,6989,50.36,4858,35.01,,,04/28/2021
1631,New Hartford,No,6656.0,3575,53.71,2751,41.33,,,04/28/2021
1632,New Haven,Yes,130250.0,52180,40.06,33240,25.52,,,04/28/2021
1633,New London,Yes,26858.0,10243,38.14,6679,24.87,,,04/28/2021
1634,New Milford,No,26805.0,14570,54.36,10043,37.47,,,04/28/2021
1635,Newington,No,30014.0,17305,57.66,12857,42.84,,,04/28/2021
1636,Newtown,No,27891.0,15760,56.51,11174,40.06,,,04/28/2021
1637,Norfolk,No,1630.0,820,50.31,605,37.12,,,04/28/2021
1638,North Branford,No,14146.0,8331,58.89,6402,45.26,,,04/28/2021
1639,North Canaan,No,3251.0,1140,35.07,685,21.07,,,04/28/2021
1640,North Haven,No,23683.0,14986,63.28,11382,48.06,,,04/28/2021
1641,North Stonington,No,5196.0,2412,46.42,1828,35.18,,,04/28/2021
1642,Norwalk,Yes,88816.0,44816,50.46,27878,31.39,,,04/28/2021
1643,Norwich,Yes,38768.0,15689,40.47,11002,28.38,,,04/28/2021
1644,Old Lyme,No,7306.0,4668,63.89,3670,50.23,,,04/28/2021
1645,Old Saybrook,No,10061.0,7103,70.6,5487,54.54,,,04/28/2021
1646,Orange,Yes,13926.0,8339,59.88,6312,45.33,,,04/28/2021
1647,Oxford,No,13255.0,7073,53.36,5326,40.18,,,04/28/2021
1648,Plainfield,Yes,15125.0,5717,37.8,4216,27.87,,,04/28/2021
1649,Plainville,No,17534.0,8766,49.99,6318,36.03,,,04/28/2021
1650,Plymouth,No,11598.0,4795,41.34,3328,28.69,,,04/28/2021
1651,Pomfret,No,4203.0,2057,48.94,1598,38.02,,,04/28/2021
1652,Portland,No,9267.0,5255,56.71,3890,41.98,,,04/28/2021
1653,Preston,No,4625.0,2302,49.77,1842,39.83,,,04/28/2021
1654,Prospect,No,9702.0,5136,52.94,4036,41.6,,,04/28/2021
1655,Putnam,No,9389.0,3702,39.43,2705,28.81,,,04/28/2021
1656,Redding,No,9116.0,4954,54.34,3323,36.45,,,04/28/2021
1657,Resident out of state,,,50400,,31231,,,,04/28/2021
1658,Ridgefield,No,24959.0,14737,59.04,10117,40.53,,,04/28/2021
1659,Rocky Hill,No,20115.0,11909,59.2,8405,41.78,,,04/28/2021
1660,Roxbury,No,2152.0,1398,64.96,1043,48.47,,,04/28/2021
1661,Salem,No,4083.0,2056,50.36,1560,38.21,,,04/28/2021
1662,Salisbury,No,3600.0,2565,71.25,1796,49.89,,,04/28/2021
1663,Scotland,No,1672.0,729,43.6,563,33.67,,,04/28/2021
1664,Seymour,No,16437.0,7909,48.12,5546,33.74,,,04/28/2021
1665,Sharon,No,2689.0,1563,58.13,1071,39.83,,,04/28/2021
1666,Shelton,No,41129.0,22004,53.5,15910,38.68,,,04/28/2021
1667,Sherman,No,3630.0,1877,51.71,1367,37.66,,,04/28/2021
1668,Simsbury,No,25395.0,15474,60.93,11429,45.0,,,04/28/2021
1669,Somers,No,10784.0,5080,47.11,3983,36.93,,,04/28/2021
1670,South Windsor,No,26162.0,15673,59.91,10993,42.02,,,04/28/2021
1671,Southbury,No,19571.0,11974,61.18,9426,48.16,,,04/28/2021
1672,Southington,No,43834.0,24501,55.89,18733,42.74,,,04/28/2021
1673,Sprague,No,2859.0,1087,38.02,832,29.1,,,04/28/2021
1674,Stafford,No,11893.0,4955,41.66,3573,30.04,,,04/28/2021
1675,Stamford,Yes,129638.0,66228,51.09,39431,30.42,,,04/28/2021
1676,Sterling,No,3782.0,1175,31.07,871,23.03,,,04/28/2021
1677,Stonington,No,18559.0,10786,58.12,8558,46.11,,,04/28/2021
1678,Stratford,No,51849.0,24086,46.45,16463,31.75,,,04/28/2021
1679,Suffield,No,15814.0,8310,52.55,6125,38.73,,,04/28/2021
1680,Thomaston,No,7535.0,3583,47.55,2424,32.17,,,04/28/2021
1681,Thompson,No,9379.0,3227,34.41,2467,26.3,,,04/28/2021
1682,Tolland,No,14618.0,8206,56.14,5991,40.98,,,04/28/2021
1683,Torrington,Yes,34044.0,15800,46.41,11315,33.24,,,04/28/2021
1684,Trumbull,No,35673.0,20963,58.76,14876,41.7,,,04/28/2021
1685,Union,No,839.0,435,51.85,340,40.52,,,04/28/2021
1686,Vernon,Yes,29359.0,15201,51.78,10665,36.33,,,04/28/2021
1687,Voluntown,No,2510.0,1132,45.1,879,35.02,,,04/28/2021
1688,Wallingford,No,44326.0,25331,57.15,18962,42.78,,,04/28/2021
1689,Warren,No,1395.0,792,56.77,613,43.94,,,04/28/2021
1690,Washington,No,3428.0,2172,63.36,1646,48.02,,,04/28/2021
1691,Waterbury,Yes,107568.0,36103,33.56,24343,22.63,,,04/28/2021
1692,Waterford,Yes,18746.0,11201,59.75,8686,46.34,,,04/28/2021
1693,Watertown,No,21578.0,11270,52.23,8089,37.49,,,04/28/2021
1694,West Hartford,Yes,62965.0,39905,63.38,28825,45.78,,,04/28/2021
1695,West Haven,Yes,54620.0,23824,43.62,15812,28.95,,,04/28/2021
1696,Westbrook,No,6869.0,4092,59.57,2999,43.66,,,04/28/2021
1697,Weston,No,10252.0,6110,59.6,4263,41.58,,,04/28/2021
1698,Westport,No,28491.0,16858,59.17,11872,41.67,,,04/28/2021
1699,Wethersfield,No,26008.0,15676,60.27,11805,45.39,,,04/28/2021
1700,Willington,No,5864.0,2736,46.66,1888,32.2,,,04/28/2021
1701,Wilton,No,18343.0,11276,61.47,7676,41.85,,,04/28/2021
1702,Winchester,Yes,10604.0,4723,44.54,3511,33.11,,,04/28/2021
1703,Windham,Yes,24561.0,8928,36.35,6078,24.75,,,04/28/2021
1704,Windsor,No,28733.0,15642,54.44,11294,39.31,,,04/28/2021
1705,Windsor Locks,Yes,12854.0,6277,48.83,4490,34.93,,,04/28/2021
1706,Wolcott,No,16587.0,8310,50.1,6277,37.84,,,04/28/2021
1707,Woodbridge,No,8750.0,5650,64.57,4304,49.19,,,04/28/2021
1708,Woodbury,No,9502.0,5371,56.52,4012,42.22,,,04/28/2021
1709,Woodstock,No,7858.0,3800,48.36,2917,37.12,,,04/28/2021
1710,Address pending validation,,,4151,,2757,,,,05/05/2021
1711,Andover,No,3236.0,1767,54.6,1361,42.06,,,05/05/2021
1712,Ansonia,Yes,18654.0,7867,42.17,5423,29.07,,,05/05/2021
1713,Ashford,No,4255.0,2153,50.6,1661,39.04,,,05/05/2021
1714,Avon,No,18276.0,12223,66.88,9747,53.33,,,05/05/2021
1715,Barkhamsted,No,3606.0,1988,55.13,1579,43.79,,,05/05/2021
1716,Beacon Falls,No,6222.0,3244,52.14,2517,40.45,,,05/05/2021
1717,Berlin,No,20436.0,11972,58.58,9764,47.78,,,05/05/2021
1718,Bethany,No,5548.0,3247,58.53,2616,47.15,,,05/05/2021
1719,Bethel,No,19800.0,9860,49.8,7026,35.48,,,05/05/2021
1720,Bethlehem,No,3402.0,1756,51.62,1376,40.45,,,05/05/2021
1721,Bloomfield,No,21211.0,12169,57.37,9574,45.14,,,05/05/2021
1722,Bolton,No,4884.0,2787,57.06,2231,45.68,,,05/05/2021
1723,Bozrah,No,2726.0,1317,48.31,1087,39.88,,,05/05/2021
1724,Branford,No,27900.0,17452,62.55,14021,50.25,,,05/05/2021
1725,Bridgeport,Yes,144399.0,51014,35.33,34170,23.66,,,05/05/2021
1726,Bridgewater,No,1635.0,1058,64.71,849,51.93,,,05/05/2021
1727,Bristol,Yes,59947.0,29779,49.68,22308,37.21,,,05/05/2021
1728,Brookfield,No,16973.0,9774,57.59,7334,43.21,,,05/05/2021
1729,Brooklyn,No,8272.0,3615,43.7,2884,34.86,,,05/05/2021
1730,Burlington,No,9704.0,5556,57.25,4384,45.18,,,05/05/2021
1731,Canaan,No,1053.0,843,80.06,556,52.8,,,05/05/2021
1732,Canterbury,No,5079.0,2294,45.17,1781,35.07,,,05/05/2021
1733,Canton,No,10254.0,6045,58.95,4779,46.61,,,05/05/2021
1734,Chaplin,No,2239.0,1028,45.91,788,35.19,,,05/05/2021
1735,Cheshire,No,28937.0,18274,63.15,14900,51.49,,,05/05/2021
1736,Chester,No,4213.0,2546,60.43,2097,49.77,,,05/05/2021
1737,Clinton,No,12925.0,8043,62.23,6205,48.01,,,05/05/2021
1738,Colchester,No,15809.0,8537,54.0,6787,42.93,,,05/05/2021
1739,Colebrook,No,1400.0,743,53.07,573,40.93,,,05/05/2021
1740,Columbia,No,5379.0,3033,56.39,2436,45.29,,,05/05/2021
1741,Cornwall,No,1362.0,936,68.72,700,51.4,,,05/05/2021
1742,Coventry,No,12407.0,6633,53.46,5156,41.56,,,05/05/2021
1743,Cromwell,No,13839.0,8912,64.4,7042,50.89,,,05/05/2021
1744,Danbury,Yes,84694.0,39295,46.4,25142,29.69,,,05/05/2021
1745,Darien,No,21728.0,13109,60.33,9546,43.93,,,05/05/2021
1746,Deep River,No,4443.0,2754,61.99,2171,48.86,,,05/05/2021
1747,Derby,Yes,12339.0,6118,49.58,4098,33.21,,,05/05/2021
1748,Durham,No,7165.0,4334,60.49,3463,48.33,,,05/05/2021
1749,East Granby,No,5140.0,2924,56.89,2260,43.97,,,05/05/2021
1750,East Haddam,No,8997.0,4606,51.19,3319,36.89,,,05/05/2021
1751,East Hampton,No,12800.0,6937,54.2,5457,42.63,,,05/05/2021
1752,East Hartford,Yes,49872.0,22618,45.35,15322,30.72,,,05/05/2021
1753,East Haven,Yes,28569.0,13459,47.11,10242,35.85,,,05/05/2021
1754,East Lyme,No,18462.0,11565,62.64,9652,52.28,,,05/05/2021
1755,East Windsor,No,11668.0,5505,47.18,4137,35.46,,,05/05/2021
1756,Eastford,No,1790.0,834,46.59,655,36.59,,,05/05/2021
1757,Easton,No,7521.0,4386,58.32,3393,45.11,,,05/05/2021
1758,Ellington,No,16467.0,8928,54.22,6697,40.67,,,05/05/2021
1759,Enfield,Yes,43659.0,19782,45.31,14489,33.19,,,05/05/2021
1760,Essex,No,6668.0,4640,69.59,3883,58.23,,,05/05/2021
1761,Fairfield,No,62045.0,35423,57.09,26680,43.0,,,05/05/2021
1762,Farmington,No,25497.0,16977,66.58,13327,52.27,,,05/05/2021
1763,Franklin,No,1920.0,1021,53.18,828,43.12,,,05/05/2021
1764,Glastonbury,No,34482.0,22322,64.74,17594,51.02,,,05/05/2021
1765,Goshen,No,2863.0,1650,57.63,1353,47.26,,,05/05/2021
1766,Granby,No,11507.0,6561,57.02,5136,44.63,,,05/05/2021
1767,Greenwich,No,62840.0,35615,56.68,26410,42.03,,,05/05/2021
1768,Griswold,Yes,11534.0,4803,41.64,3798,32.93,,,05/05/2021
1769,Groton,Yes,38436.0,17146,44.61,13189,34.31,,,05/05/2021
1770,Guilford,No,22133.0,14630,66.1,11910,53.81,,,05/05/2021
1771,Haddam,No,8193.0,5165,63.04,4202,51.29,,,05/05/2021
1772,Hamden,No,60556.0,31260,51.62,24332,40.18,,,05/05/2021
1773,Hampton,No,1842.0,929,50.43,757,41.1,,,05/05/2021
1774,Hartford,Yes,122105.0,40247,32.96,27332,22.38,,,05/05/2021
1775,Hartland,No,2120.0,980,46.23,802,37.83,,,05/05/2021
1776,Harwinton,No,5420.0,2946,54.35,2399,44.26,,,05/05/2021
1777,Hebron,No,9504.0,5489,57.75,4377,46.05,,,05/05/2021
1778,Kent,No,2777.0,2006,72.24,1552,55.89,,,05/05/2021
1779,Killingly,Yes,17336.0,7006,40.41,5443,31.4,,,05/05/2021
1780,Killingworth,No,6364.0,3910,61.44,3198,50.25,,,05/05/2021
1781,Lebanon,No,7144.0,3785,52.98,3024,42.33,,,05/05/2021
1782,Ledyard,No,14621.0,7433,50.84,5913,40.44,,,05/05/2021
1783,Lisbon,No,4220.0,2049,48.55,1678,39.76,,,05/05/2021
1784,Litchfield,No,8094.0,4643,57.36,3557,43.95,,,05/05/2021
1785,Lyme,No,2316.0,1729,74.65,1419,61.27,,,05/05/2021
1786,Madison,No,18030.0,12034,66.74,9899,54.9,,,05/05/2021
1787,Manchester,Yes,57584.0,28719,49.87,20051,34.82,,,05/05/2021
1788,Mansfield,No,25487.0,7707,30.24,5656,22.19,,,05/05/2021
1789,Marlborough,No,6335.0,3672,57.96,2881,45.48,,,05/05/2021
1790,Meriden,Yes,59395.0,27164,45.73,19295,32.49,,,05/05/2021
1791,Middlebury,No,7798.0,4702,60.3,3724,47.76,,,05/05/2021
1792,Middlefield,No,4374.0,2532,57.89,2015,46.07,,,05/05/2021
1793,Middletown,Yes,46258.0,26784,57.9,18990,41.05,,,05/05/2021
1794,Milford,Yes,54747.0,30976,56.58,23972,43.79,,,05/05/2021
1795,Monroe,No,19434.0,10782,55.48,8244,42.42,,,05/05/2021
1796,Montville,Yes,18508.0,8536,46.12,6846,36.99,,,05/05/2021
1797,Morris,No,2254.0,1124,49.87,864,38.33,,,05/05/2021
1798,Naugatuck,No,31108.0,14258,45.83,10115,32.52,,,05/05/2021
1799,New Britain,Yes,72495.0,26464,36.5,19000,26.21,,,05/05/2021
1800,New Canaan,No,20233.0,12680,62.67,8880,43.89,,,05/05/2021
1801,New Fairfield,No,13878.0,7295,52.57,5412,39.0,,,05/05/2021
1802,New Hartford,No,6656.0,3678,55.26,2961,44.49,,,05/05/2021
1803,New Haven,Yes,130250.0,54233,41.64,39289,30.16,,,05/05/2021
1804,New London,Yes,26858.0,10894,40.56,7753,28.87,,,05/05/2021
1805,New Milford,No,26805.0,15041,56.11,11055,41.24,,,05/05/2021
1806,Newington,No,30014.0,17931,59.74,13991,46.61,,,05/05/2021
1807,Newtown,No,27891.0,16185,58.03,12295,44.08,,,05/05/2021
1808,Norfolk,No,1630.0,845,51.84,661,40.55,,,05/05/2021
1809,North Branford,No,14146.0,8591,60.73,6888,48.69,,,05/05/2021
1810,North Canaan,No,3251.0,1193,36.7,735,22.61,,,05/05/2021
1811,North Haven,No,23683.0,15352,64.82,12392,52.32,,,05/05/2021
1812,North Stonington,No,5196.0,2486,47.84,2012,38.72,,,05/05/2021
1813,Norwalk,Yes,88816.0,47178,53.12,32277,36.34,,,05/05/2021
1814,Norwich,Yes,38768.0,16476,42.5,12248,31.59,,,05/05/2021
1815,Old Lyme,No,7306.0,4790,65.56,3942,53.96,,,05/05/2021
1816,Old Saybrook,No,10061.0,7314,72.7,5977,59.41,,,05/05/2021
1817,Orange,Yes,13926.0,8511,61.12,6862,49.27,,,05/05/2021
1818,Oxford,No,13255.0,7247,54.67,5762,43.47,,,05/05/2021
1819,Plainfield,Yes,15125.0,5974,39.5,4644,30.7,,,05/05/2021
1820,Plainville,No,17534.0,9131,52.08,6987,39.85,,,05/05/2021
1821,Plymouth,No,11598.0,5004,43.15,3614,31.16,,,05/05/2021
1822,Pomfret,No,4203.0,2132,50.73,1678,39.92,,,05/05/2021
1823,Portland,No,9267.0,5497,59.32,4300,46.4,,,05/05/2021
1824,Preston,No,4625.0,2359,51.01,1970,42.59,,,05/05/2021
1825,Prospect,No,9702.0,5298,54.61,4304,44.36,,,05/05/2021
1826,Putnam,No,9389.0,3859,41.1,2834,30.18,,,05/05/2021
1827,Redding,No,9116.0,5059,55.5,3742,41.05,,,05/05/2021
1828,Resident out of state,,,52570,,34821,,,,05/05/2021
1829,Ridgefield,No,24959.0,15165,60.76,11515,46.14,,,05/05/2021
1830,Rocky Hill,No,20115.0,12298,61.14,9271,46.09,,,05/05/2021
1831,Roxbury,No,2152.0,1435,66.68,1135,52.74,,,05/05/2021
1832,Salem,No,4083.0,2109,51.65,1714,41.98,,,05/05/2021
1833,Salisbury,No,3600.0,2710,75.28,1903,52.86,,,05/05/2021
1834,Scotland,No,1672.0,750,44.86,600,35.89,,,05/05/2021
1835,Seymour,No,16437.0,8358,50.85,6119,37.23,,,05/05/2021
1836,Sharon,No,2689.0,1618,60.17,1195,44.44,,,05/05/2021
1837,Shelton,No,41129.0,22839,55.53,17575,42.73,,,05/05/2021
1838,Sherman,No,3630.0,1935,53.31,1481,40.8,,,05/05/2021
1839,Simsbury,No,25395.0,15845,62.39,12399,48.82,,,05/05/2021
1840,Somers,No,10784.0,5311,49.25,4237,39.29,,,05/05/2021
1841,South Windsor,No,26162.0,16161,61.77,12292,46.98,,,05/05/2021
1842,Southbury,No,19571.0,12251,62.6,10030,51.25,,,05/05/2021
1843,Southington,No,43834.0,25225,57.55,20247,46.19,,,05/05/2021
1844,Sprague,No,2859.0,1143,39.98,905,31.65,,,05/05/2021
1845,Stafford,No,11893.0,5135,43.18,3901,32.8,,,05/05/2021
1846,Stamford,Yes,129638.0,70863,54.66,47074,36.31,,,05/05/2021
1847,Sterling,No,3782.0,1228,32.47,947,25.04,,,05/05/2021
1848,Stonington,No,18559.0,11012,59.34,9272,49.96,,,05/05/2021
1849,Stratford,No,51849.0,25155,48.52,18246,35.19,,,05/05/2021
1850,Suffield,No,15814.0,8553,54.08,6587,41.65,,,05/05/2021
1851,Thomaston,No,7535.0,3690,48.97,2669,35.42,,,05/05/2021
1852,Thompson,No,9379.0,3333,35.54,2580,27.51,,,05/05/2021
1853,Tolland,No,14618.0,8455,57.84,6520,44.6,,,05/05/2021
1854,Torrington,Yes,34044.0,16535,48.57,12320,36.19,,,05/05/2021
1855,Trumbull,No,35673.0,21704,60.84,16535,46.35,,,05/05/2021
1856,Union,No,839.0,447,53.28,355,42.31,,,05/05/2021
1857,Vernon,Yes,29359.0,15775,53.73,11665,39.73,,,05/05/2021
1858,Voluntown,No,2510.0,1177,46.89,947,37.73,,,05/05/2021
1859,Wallingford,No,44326.0,26184,59.07,20683,46.66,,,05/05/2021
1860,Warren,No,1395.0,815,58.42,651,46.67,,,05/05/2021
1861,Washington,No,3428.0,2259,65.9,1753,51.14,,,05/05/2021
1862,Waterbury,Yes,107568.0,38447,35.74,26771,24.89,,,05/05/2021
1863,Waterford,Yes,18746.0,11482,61.25,9425,50.28,,,05/05/2021
1864,Watertown,No,21578.0,11613,53.82,8757,40.58,,,05/05/2021
1865,West Hartford,Yes,62965.0,40944,65.03,31790,50.49,,,05/05/2021
1866,West Haven,Yes,54620.0,24963,45.7,18033,33.02,,,05/05/2021
1867,Westbrook,No,6869.0,4241,61.74,3317,48.29,,,05/05/2021
1868,Weston,No,10252.0,6271,61.17,4828,47.09,,,05/05/2021
1869,Westport,No,28491.0,17258,60.57,13285,46.63,,,05/05/2021
1870,Wethersfield,No,26008.0,16133,62.03,12909,49.63,,,05/05/2021
1871,Willington,No,5864.0,2823,48.14,2062,35.16,,,05/05/2021
1872,Wilton,No,18343.0,11617,63.33,8724,47.56,,,05/05/2021
1873,Winchester,Yes,10604.0,4858,45.81,3844,36.25,,,05/05/2021
1874,Windham,Yes,24561.0,9608,39.12,6725,27.38,,,05/05/2021
1875,Windsor,No,28733.0,16206,56.4,12311,42.85,,,05/05/2021
1876,Windsor Locks,Yes,12854.0,6460,50.26,4914,38.23,,,05/05/2021
1877,Wolcott,No,16587.0,8679,52.32,6734,40.6,,,05/05/2021
1878,Woodbridge,No,8750.0,5785,66.11,4659,53.25,,,05/05/2021
