,Reporting period end date,Weekly total
0,11/29/2020,31
1,12/06/2020,37
2,12/13/2020,9061
3,12/20/2020,29424
4,12/27/2020,43926
5,01/03/2021,56535
6,01/10/2021,55610
7,01/17/2021,87027
8,01/24/2021,77287
9,01/31/2021,50339
10,02/07/2021,74175
11,02/14/2021,84815
12,02/21/2021,86396
13,02/28/2021,149741
14,03/07/2021,148987
15,03/14/2021,129664
16,03/21/2021,149676
17,03/28/2021,157599
18,04/04/2021,200606
19,04/11/2021,170009
20,04/18/2021,131919
21,04/25/2021,92298
22,05/02/2021,52307
23,05/09/2021,65133
24,05/16/2021,81864
25,05/23/2021,44018
26,05/30/2021,26663
27,06/06/2021,24269
28,06/13/2021,21164
29,06/20/2021,19877
30,06/27/2021,18232
31,07/04/2021,15861
32,07/11/2021,18270
33,07/18/2021,22469
34,07/25/2021,26259
35,08/01/2021,29412
36,08/08/2021,26375
37,08/15/2021,25421
38,08/22/2021,24801
39,08/29/2021,21486
40,09/05/2021,16025
41,09/12/2021,16638
42,09/19/2021,16282
43,09/26/2021,16055
44,10/03/2021,13225
45,10/10/2021,11735
46,10/17/2021,12450
47,10/24/2021,17330
48,10/31/2021,22541
49,11/07/2021,45122
50,11/14/2021,40468
51,11/21/2021,24412
52,11/28/2021,25089
53,12/05/2021,29195
54,12/12/2021,28715
55,12/19/2021,23691
56,12/26/2021,23809
57,01/02/2022,25319
58,01/09/2022,22078
59,01/16/2022,15961
60,01/23/2022,11503
61,01/30/2022,9264
62,02/06/2022,8507
63,02/13/2022,6637
64,02/20/2022,5127
65,02/27/2022,4785
66,03/06/2022,3472
67,03/13/2022,3070
68,03/20/2022,3055
69,03/27/2022,3188
70,04/03/2022,3399
71,04/10/2022,3370
72,04/17/2022,2987
73,04/24/2022,3073
74,05/01/2022,2881
75,05/08/2022,3064
76,05/15/2022,3056
77,05/22/2022,3061
78,05/29/2022,2084
79,06/05/2022,2286
80,06/12/2022,2028
81,06/19/2022,4258
82,06/26/2022,4301
83,07/03/2022,597
