,City,status,Number,rpt_date
0,,Active,28,03/23/2022
1,,Deceased,221,03/23/2022
2,,Recovered*,31593,03/23/2022
3,Achille,Deceased,1 to 4,03/23/2022
4,Achille,Recovered*,114,03/23/2022
5,Ada,Active,13,03/23/2022
6,Ada,Deceased,115,03/23/2022
7,Ada,Recovered*,9812,03/23/2022
8,Adair,Deceased,5,03/23/2022
9,Adair,Recovered*,740,03/23/2022
10,Addington,Deceased,1 to 4,03/23/2022
11,Addington,Recovered*,13,03/23/2022
12,Afton,Active,1 to 4,03/23/2022
13,Afton,Deceased,15,03/23/2022
14,Afton,Recovered*,1407,03/23/2022
15,Agra,Active,1 to 4,03/23/2022
16,Agra,Deceased,1 to 4,03/23/2022
17,Agra,Recovered*,231,03/23/2022
18,Albion,Recovered*,34,03/23/2022
19,Alderson,Deceased,1 to 4,03/23/2022
20,Alderson,Recovered*,90,03/23/2022
21,Alex,Active,1 to 4,03/23/2022
22,Alex,Deceased,7,03/23/2022
23,Alex,Recovered*,266,03/23/2022
24,Aline,Active,1 to 4,03/23/2022
25,Aline,Deceased,1 to 4,03/23/2022
26,Aline,Recovered*,120,03/23/2022
27,Allen,Active,1 to 4,03/23/2022
28,Allen,Deceased,5,03/23/2022
29,Allen,Recovered*,564,03/23/2022
30,Altus,Active,5,03/23/2022
31,Altus,Deceased,89,03/23/2022
32,Altus,Recovered*,5288,03/23/2022
33,Alva,Active,1 to 4,03/23/2022
34,Alva,Deceased,33,03/23/2022
35,Alva,Recovered*,1902,03/23/2022
36,Amber,Deceased,8,03/23/2022
37,Amber,Recovered*,225,03/23/2022
38,Ames,Recovered*,121,03/23/2022
39,Amorita,Recovered*,30,03/23/2022
40,Anadarko,Active,5,03/23/2022
41,Anadarko,Deceased,55,03/23/2022
42,Anadarko,Recovered*,2958,03/23/2022
43,Antlers,Active,1 to 4,03/23/2022
44,Antlers,Deceased,26,03/23/2022
45,Antlers,Recovered*,1402,03/23/2022
46,Apache,Deceased,12,03/23/2022
47,Apache,Recovered*,1037,03/23/2022
48,Arapaho,Deceased,5,03/23/2022
49,Arapaho,Recovered*,286,03/23/2022
50,Arcadia,Active,1 to 4,03/23/2022
51,Arcadia,Deceased,1 to 4,03/23/2022
52,Arcadia,Recovered*,765,03/23/2022
53,Ardmore,Active,9,03/23/2022
54,Ardmore,Deceased,160,03/23/2022
55,Ardmore,Recovered*,10654,03/23/2022
56,Arkoma,Active,1 to 4,03/23/2022
57,Arkoma,Deceased,1 to 4,03/23/2022
58,Arkoma,Recovered*,366,03/23/2022
59,Arnett,Deceased,1 to 4,03/23/2022
60,Arnett,Recovered*,137,03/23/2022
61,Asher,Deceased,6,03/23/2022
62,Asher,Recovered*,288,03/23/2022
63,Atoka,Active,10,03/23/2022
64,Atoka,Deceased,37,03/23/2022
65,Atoka,Recovered*,2913,03/23/2022
66,Atwood,Deceased,1 to 4,03/23/2022
67,Atwood,Recovered*,71,03/23/2022
68,Avant,Deceased,1 to 4,03/23/2022
69,Avant,Recovered*,68,03/23/2022
70,Barnsdall,Active,1 to 4,03/23/2022
71,Barnsdall,Deceased,11,03/23/2022
72,Barnsdall,Recovered*,546,03/23/2022
73,Bartlesville,Active,8,03/23/2022
74,Bartlesville,Deceased,201,03/23/2022
75,Bartlesville,Recovered*,9567,03/23/2022
76,Bearden,Recovered*,1 to 4,03/23/2022
77,Beaver,Deceased,7,03/23/2022
78,Beaver,Recovered*,449,03/23/2022
79,Beggs,Active,1 to 4,03/23/2022
80,Beggs,Deceased,12,03/23/2022
81,Beggs,Recovered*,1160,03/23/2022
82,Bennington,Deceased,5,03/23/2022
83,Bennington,Recovered*,354,03/23/2022
84,Bernice,Deceased,1 to 4,03/23/2022
85,Bernice,Recovered*,113,03/23/2022
86,Bessie,Deceased,1 to 4,03/23/2022
87,Bessie,Recovered*,60,03/23/2022
88,Bethany,Active,6,03/23/2022
89,Bethany,Deceased,66,03/23/2022
